Time,{},{},{}
2025-07-16 09:01:00,50021.2,,
2025-07-16 09:01:05,50017.28333333333,,
2025-07-16 09:01:10,50013.333333333336,,
2025-07-16 09:01:15,50023.333333333336,,
2025-07-16 09:01:20,50017.28333333333,,
2025-07-16 09:01:25,50017.28333333333,,
2025-07-16 09:01:30,50019.11666666667,,
2025-07-16 09:01:35,50013.683333333334,,
2025-07-16 09:01:40,50018.9,,
2025-07-16 09:01:45,51017.73333333333,,
2025-07-16 09:01:50,50017.78333333333,,
2025-07-16 09:01:55,50017.9,,
2025-07-16 09:02:00,50010.0,,
2025-07-16 09:02:05,50013.88333333333,,
2025-07-16 09:02:10,50022.666666666664,,
2025-07-16 09:02:15,49840.916666666664,,
2025-07-16 09:02:20,50017.96666666667,,
2025-07-16 09:02:25,50017.816666666666,,
2025-07-16 09:02:30,50010.083333333336,,
2025-07-16 09:02:35,50022.9,,
2025-07-16 09:02:40,50021.38333333333,,
2025-07-16 09:02:45,49635.166666666664,,
2025-07-16 09:02:50,50011.683333333334,,
2025-07-16 09:02:55,50014.21666666667,,
2025-07-16 09:03:00,50018.13333333333,,
2025-07-16 09:03:05,50022.166666666664,,
2025-07-16 09:03:10,50017.11666666667,,
2025-07-16 09:03:15,50189.9,,
2025-07-16 09:03:20,50014.05,,
2025-07-16 09:03:25,50014.15,,
2025-07-16 09:03:30,50019.65,,
2025-07-16 09:03:35,50016.833333333336,,
2025-07-16 09:03:40,50015.38333333333,,
2025-07-16 09:03:45,50396.53333333333,,
2025-07-16 09:03:50,50020.05,,
2025-07-16 09:03:55,50017.51666666667,,
2025-07-16 09:04:00,50017.583333333336,,
2025-07-16 09:04:05,50021.28333333333,,
2025-07-16 09:04:10,50021.55,,
2025-07-16 09:04:15,50025.45,,
2025-07-16 09:04:20,50023.0,,
2025-07-16 09:04:25,50029.316666666666,,
2025-07-16 09:04:30,50027.583333333336,,
2025-07-16 09:04:35,50021.45,,
2025-07-16 09:04:40,50016.15,,
2025-07-16 09:04:45,49394.566666666666,,
2025-07-16 09:04:50,50023.76666666667,,
2025-07-16 09:04:55,50025.416666666664,,
2025-07-16 09:05:00,50029.4,,
2025-07-16 09:10:00,,50017.5,
2025-07-16 09:10:05,,50017.566666666666,
2025-07-16 09:10:10,,50017.0,
2025-07-16 09:10:15,,50011.25,
2025-07-16 09:10:20,,49996.05,
2025-07-16 09:10:25,,50013.05,
2025-07-16 09:10:30,,50013.9,
2025-07-16 09:10:35,,50013.85,
2025-07-16 09:10:40,,50013.73333333333,
2025-07-16 09:10:45,,50009.4,
2025-07-16 09:10:50,,50004.166666666664,
2025-07-16 09:10:55,,50013.583333333336,
2025-07-16 09:11:00,,50009.78333333333,
2025-07-16 09:11:05,,50009.583333333336,
2025-07-16 09:11:10,,50013.96666666667,
2025-07-16 09:11:15,,50015.86666666667,
2025-07-16 09:11:20,,50015.45,
2025-07-16 09:11:25,,50009.433333333334,
2025-07-16 09:11:30,,50012.9,
2025-07-16 09:11:35,,50013.433333333334,
2025-07-16 09:11:40,,50013.53333333333,
2025-07-16 09:11:45,,50013.61666666667,
2025-07-16 09:11:50,,50004.3,
2025-07-16 09:11:55,,50009.916666666664,
2025-07-16 09:12:00,,50013.816666666666,
2025-07-16 09:12:05,,50010.083333333336,
2025-07-16 09:12:10,,50010.2,
2025-07-16 09:12:15,,50010.26666666667,
2025-07-16 09:12:20,,49996.53333333333,
2025-07-16 09:12:25,,50014.36666666667,
2025-07-16 09:12:30,,50008.36666666667,
2025-07-16 09:12:35,,50012.63333333333,
2025-07-16 09:12:40,,50014.51666666667,
2025-07-16 09:12:45,,50014.45,
2025-07-16 09:12:50,,50004.4,
2025-07-16 09:12:55,,50014.53333333333,
2025-07-16 09:13:00,,50010.55,
2025-07-16 09:13:05,,50018.333333333336,
2025-07-16 09:13:10,,50018.23333333333,
2025-07-16 09:13:15,,50014.333333333336,
2025-07-16 09:13:20,,50014.666666666664,
2025-07-16 09:13:25,,50024.316666666666,
