Time,{},{},{},{}
2025-07-17 08:41:00,152063034.0,,,
2025-07-17 08:41:05,151999619.0,,,
2025-07-17 08:41:10,157826996.0,,,
2025-07-17 08:41:15,142235501.0,,,
2025-07-17 08:41:20,151913570.0,,,
2025-07-17 08:41:25,191739036.0,,,
2025-07-17 08:41:30,152049516.0,,,
2025-07-17 08:41:35,151992633.0,,,
2025-07-17 08:41:40,133544327.0,,,
2025-07-17 08:41:45,181938202.0,,,
2025-07-17 08:41:50,191713283.0,,,
2025-07-17 08:41:55,161980946.0,,,
2025-07-17 08:42:00,152177140.0,,,
2025-07-17 08:42:05,191655350.0,,,
2025-07-17 08:42:10,126800259.0,,,
2025-07-17 08:42:15,166264461.0,,,
2025-07-17 08:42:20,141822778.0,,,
2025-07-17 08:42:25,142144207.0,,,
2025-07-17 08:42:30,182204029.0,,,
2025-07-17 08:42:35,142025794.0,,,
2025-07-17 08:42:40,147582756.0,,,
2025-07-17 08:42:45,164589348.0,,,
2025-07-17 08:42:50,142049162.0,,,
2025-07-17 08:42:55,191804509.0,,,
2025-07-17 08:43:00,142244788.0,,,
2025-07-17 08:43:05,142393189.0,,,
2025-07-17 08:43:10,157543017.0,,,
2025-07-17 08:43:15,141799567.0,,,
2025-07-17 08:43:20,181522412.0,,,
2025-07-17 08:43:25,191674693.0,,,
2025-07-17 08:43:30,142175995.0,,,
2025-07-17 08:43:35,181568304.0,,,
2025-07-17 08:43:40,123345884.0,,,
2025-07-17 08:43:45,171856087.0,,,
2025-07-17 08:43:50,181868409.0,,,
2025-07-17 08:43:55,151990369.0,,,
2025-07-17 08:44:00,182190682.0,,,
2025-07-17 08:44:05,181755328.0,,,
2025-07-17 08:44:10,116976958.0,,,
2025-07-17 08:44:15,195648042.0,,,
2025-07-17 08:44:20,131902088.0,,,
2025-07-17 08:44:25,132323816.0,,,
2025-07-17 08:44:30,212080136.0,,,
2025-07-17 08:44:35,132171351.0,,,
2025-07-17 08:44:40,138066092.0,,,
2025-07-17 08:44:45,185019903.0,,,
2025-07-17 08:44:50,132580914.0,,,
2025-07-17 08:44:55,182102733.0,,,
2025-07-17 08:45:00,171913727.0,,,
2025-07-17 08:45:05,132146795.0,,,
2025-07-17 08:45:10,177621807.0,,,
2025-07-17 08:45:15,161867119.0,,,
2025-07-17 08:45:20,162149728.0,,,
2025-07-17 08:45:25,211942109.0,,,
2025-07-17 08:45:30,161787547.0,,,
2025-07-17 08:45:35,161742485.0,,,
2025-07-17 08:45:40,143036885.0,,,
2025-07-17 08:45:45,161554740.0,,,
2025-07-17 08:45:50,201246739.0,,,
2025-07-17 08:45:55,161840259.0,,,
2025-07-17 08:46:00,162380057.0,,,
2025-07-17 08:46:05,201867696.0,,,
2025-07-17 08:46:10,106518467.0,,,
