Time,"flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.4.20:9249"",job=""default/flink-pod-monitor"",job_id=""7da1a93015518ac82c9bb9f41a9bd7ac"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-5466f6df9f-zdvnq""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.4.21:9249"",job=""default/flink-pod-monitor"",job_id=""a2dc101249952ef8fe69f74a0d5cc992"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-5466f6df9f-9g475""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.4.22:9249"",job=""default/flink-pod-monitor"",job_id=""7fdc5182fe84d9bc4f3bcbbc9eae15b9"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-5466f6df9f-drjm2""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.4.23:9249"",job=""default/flink-pod-monitor"",job_id=""a9b1c74ee244abbe0eeb054728c3c1f4"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-5466f6df9f-xj6kb""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.4.24:9249"",job=""default/flink-pod-monitor"",job_id=""a27d6ca4eaaa553bef5a8be544c17fc9"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-5466f6df9f-hmsm5""}"
2025-07-17 13:35:00,1751.0,,,,
2025-07-17 13:35:30,1093.0,,,,
2025-07-17 13:36:00,1255.0,,,,
2025-07-17 13:36:30,1594.0,,,,
2025-07-17 13:37:00,1752.0,,,,
2025-07-17 13:37:30,1141.0,,,,
2025-07-17 13:38:00,1021.0,,,,
2025-07-17 13:38:30,1713.0,,,,
2025-07-17 13:39:00,1921.0,,,,
2025-07-17 13:39:30,1423.0,,,,
2025-07-17 13:40:00,1170.0,,,,
2025-07-17 13:45:00,,799.0,,,
2025-07-17 13:45:30,,579.0,,,
2025-07-17 13:46:00,,615.0,,,
2025-07-17 13:46:30,,708.0,,,
2025-07-17 13:47:00,,773.0,,,
2025-07-17 13:47:30,,750.0,,,
2025-07-17 13:48:00,,606.0,,,
2025-07-17 13:48:30,,874.0,,,
2025-07-17 13:49:00,,583.0,,,
2025-07-17 13:49:30,,701.0,,,
2025-07-17 13:50:00,,671.0,,,
2025-07-17 13:55:00,,,339.0,,
2025-07-17 13:55:30,,,333.0,,
2025-07-17 13:56:00,,,375.0,,
2025-07-17 13:56:30,,,451.0,,
2025-07-17 13:57:00,,,360.0,,
2025-07-17 13:57:30,,,374.0,,
2025-07-17 13:58:00,,,467.0,,
2025-07-17 13:58:30,,,601.0,,
2025-07-17 13:59:00,,,378.0,,
2025-07-17 13:59:30,,,340.0,,
2025-07-17 14:00:00,,,421.0,,
2025-07-17 14:05:00,,,,462.0,
2025-07-17 14:05:30,,,,381.0,
2025-07-17 14:06:00,,,,432.0,
2025-07-17 14:06:30,,,,371.0,
2025-07-17 14:07:00,,,,502.0,
2025-07-17 14:07:30,,,,391.0,
2025-07-17 14:08:00,,,,379.0,
2025-07-17 14:08:30,,,,303.0,
2025-07-17 14:09:00,,,,516.0,
2025-07-17 14:09:30,,,,336.0,
2025-07-17 14:10:00,,,,374.0,
2025-07-17 14:15:00,,,,,2019.0
2025-07-17 14:15:30,,,,,1999.0
2025-07-17 14:16:00,,,,,1504.0
2025-07-17 14:16:30,,,,,1432.0
2025-07-17 14:17:00,,,,,1576.0
2025-07-17 14:17:30,,,,,2312.0
2025-07-17 14:18:00,,,,,1478.0
2025-07-17 14:18:30,,,,,1446.0
2025-07-17 14:19:00,,,,,1429.0
2025-07-17 14:19:30,,,,,2654.0
2025-07-17 14:20:00,,,,,1360.0
