Time,{},{},{},{},{}
2025-07-17 13:35:00,216606580.0,,,,
2025-07-17 13:35:05,107550536.0,,,,
2025-07-17 13:35:10,145610625.0,,,,
2025-07-17 13:35:15,130894485.0,,,,
2025-07-17 13:35:20,130988685.0,,,,
2025-07-17 13:35:25,168951596.0,,,,
2025-07-17 13:35:30,130865019.0,,,,
2025-07-17 13:35:35,134907209.0,,,,
2025-07-17 13:35:40,172944440.0,,,,
2025-07-17 13:35:45,130808206.0,,,,
2025-07-17 13:35:50,169092420.0,,,,
2025-07-17 13:35:55,207231199.0,,,,
2025-07-17 13:36:00,131060493.0,,,,
2025-07-17 13:36:05,173804826.0,,,,
2025-07-17 13:36:10,121727050.0,,,,
2025-07-17 13:36:15,169044720.0,,,,
2025-07-17 13:36:20,207240664.0,,,,
2025-07-17 13:36:25,130879149.0,,,,
2025-07-17 13:36:30,169206567.0,,,,
2025-07-17 13:36:35,121250730.0,,,,
2025-07-17 13:36:40,159396676.0,,,,
2025-07-17 13:36:45,197782642.0,,,,
2025-07-17 13:36:50,121430852.0,,,,
2025-07-17 13:36:55,159574354.0,,,,
2025-07-17 13:37:00,197753950.0,,,,
2025-07-17 13:37:05,126133370.0,,,,
2025-07-17 13:37:10,135569415.0,,,,
2025-07-17 13:37:15,121365420.0,,,,
2025-07-17 13:37:20,159500946.0,,,,
2025-07-17 13:37:25,169080526.0,,,,
2025-07-17 13:37:30,121388841.0,,,,
2025-07-17 13:37:35,135279748.0,,,,
2025-07-17 13:37:40,173298754.0,,,,
2025-07-17 13:37:45,159584551.0,,,,
2025-07-17 13:37:50,159504648.0,,,,
2025-07-17 13:37:55,197542126.0,,,,
2025-07-17 13:38:00,159393006.0,,,,
2025-07-17 13:38:05,164591308.0,,,,
2025-07-17 13:38:10,111874898.0,,,,
2025-07-17 13:38:15,188046485.0,,,,
2025-07-17 13:38:20,188149063.0,,,,
2025-07-17 13:38:25,111816522.0,,,,
2025-07-17 13:38:30,188063177.0,,,,
2025-07-17 13:38:35,164068265.0,,,,
2025-07-17 13:38:40,141226190.0,,,,
2025-07-17 13:38:45,188234227.0,,,,
2025-07-17 13:38:50,111925038.0,,,,
2025-07-17 13:38:55,150030203.0,,,,
2025-07-17 13:39:00,188234984.0,,,,
2025-07-17 13:39:05,116704545.0,,,,
2025-07-17 13:39:10,154848528.0,,,,
2025-07-17 13:39:15,111887139.0,,,,
2025-07-17 13:39:20,150013477.0,,,,
2025-07-17 13:39:25,188197015.0,,,,
2025-07-17 13:39:30,111908659.0,,,,
2025-07-17 13:39:35,154783054.0,,,,
2025-07-17 13:39:40,163647326.0,,,,
2025-07-17 13:39:45,150118108.0,,,,
2025-07-17 13:39:50,188308033.0,,,,
2025-07-17 13:39:55,188477909.0,,,,
2025-07-17 13:40:00,150021930.0,,,,
2025-07-17 13:45:00,,176596939.0,,,
2025-07-17 13:45:05,,186244002.0,,,
2025-07-17 13:45:10,,122511488.0,,,
2025-07-17 13:45:15,,152128577.0,,,
2025-07-17 13:45:20,,211271484.0,,,
2025-07-17 13:45:25,,131941032.0,,,
2025-07-17 13:45:30,,162545596.0,,,
2025-07-17 13:45:35,,185118968.0,,,
2025-07-17 13:45:40,,132280848.0,,,
2025-07-17 13:45:45,,192100219.0,,,
2025-07-17 13:45:50,,171755193.0,,,
2025-07-17 13:45:55,,132231906.0,,,
2025-07-17 13:46:00,,201980294.0,,,
2025-07-17 13:46:05,,152031957.0,,,
2025-07-17 13:46:10,,161346070.0,,,
2025-07-17 13:46:15,,221155542.0,,,
2025-07-17 13:46:20,,122424571.0,,,
2025-07-17 13:46:25,,162184314.0,,,
2025-07-17 13:46:30,,196411721.0,,,
2025-07-17 13:46:35,,135709412.0,,,
2025-07-17 13:46:40,,175890886.0,,,
2025-07-17 13:46:45,,171571893.0,,,
2025-07-17 13:46:50,,151897012.0,,,
2025-07-17 13:46:55,,191703884.0,,,
2025-07-17 13:47:00,,191513624.0,,,
2025-07-17 13:47:05,,166416392.0,,,
2025-07-17 13:47:10,,142363946.0,,,
2025-07-17 13:47:15,,181442340.0,,,
2025-07-17 13:47:20,,191455218.0,,,
2025-07-17 13:47:25,,151816245.0,,,
2025-07-17 13:47:30,,181895099.0,,,
2025-07-17 13:47:35,,133094766.0,,,
2025-07-17 13:47:40,,142632155.0,,,
2025-07-17 13:47:45,,182028136.0,,,
2025-07-17 13:47:50,,151863363.0,,,
2025-07-17 13:47:55,,152074317.0,,,
2025-07-17 13:48:00,,186564288.0,,,
2025-07-17 13:48:05,,141173800.0,,,
2025-07-17 13:48:10,,180656393.0,,,
2025-07-17 13:48:15,,211164006.0,,,
2025-07-17 13:48:20,,142245914.0,,,
2025-07-17 13:48:25,,181684257.0,,,
2025-07-17 13:48:30,,171873116.0,,,
2025-07-17 13:48:35,,156077887.0,,,
2025-07-17 13:48:40,,165683320.0,,,
2025-07-17 13:48:45,,171844221.0,,,
2025-07-17 13:48:50,,182071998.0,,,
2025-07-17 13:48:55,,182036200.0,,,
2025-07-17 13:49:00,,176760073.0,,,
2025-07-17 13:49:05,,156664124.0,,,
2025-07-17 13:49:10,,131835621.0,,,
2025-07-17 13:49:15,,201305593.0,,,
2025-07-17 13:49:20,,171791156.0,,,
2025-07-17 13:49:25,,132420061.0,,,
2025-07-17 13:49:30,,211714648.0,,,
2025-07-17 13:49:35,,152720696.0,,,
2025-07-17 13:49:40,,152970472.0,,,
2025-07-17 13:49:45,,191670044.0,,,
2025-07-17 13:49:50,,161960258.0,,,
2025-07-17 13:49:55,,161880496.0,,,
2025-07-17 13:50:00,,204040908.0,,,
2025-07-17 13:55:00,,,135282262.0,,
2025-07-17 13:55:05,,,126457130.0,,
2025-07-17 13:55:10,,,134437302.0,,
2025-07-17 13:55:15,,,134957330.0,,
2025-07-17 13:55:20,,,160641011.0,,
2025-07-17 13:55:25,,,147763878.0,,
2025-07-17 13:55:30,,,134752477.0,,
2025-07-17 13:55:35,,,144267673.0,,
2025-07-17 13:55:40,,,130430165.0,,
2025-07-17 13:55:45,,,160501134.0,,
2025-07-17 13:55:50,,,134345095.0,,
2025-07-17 13:55:55,,,147581798.0,,
2025-07-17 13:56:00,,,160817058.0,,
2025-07-17 13:56:05,,,121969957.0,,
2025-07-17 13:56:10,,,129535319.0,,
