Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_13"",instance=""10.42.4.13:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_14"",instance=""10.42.4.14:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_15"",instance=""10.42.4.15:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-08-21 09:28:00,0.9815,,
2025-08-21 09:28:05,0.973,,
2025-08-21 09:28:10,0.9765,,
2025-08-21 09:28:15,0.956,,
2025-08-21 09:28:20,0.9695,,
2025-08-21 09:28:25,0.7125,,
2025-08-21 09:28:30,0.9915,,
2025-08-21 09:28:35,0.9765,,
2025-08-21 09:28:40,0.973,,
2025-08-21 09:28:45,1.0,,
2025-08-21 09:28:50,0.9735,,
2025-08-21 09:28:55,0.895,,
2025-08-21 09:29:00,1.0,,
2025-08-21 09:29:05,0.991,,
2025-08-21 09:29:10,0.9645,,
2025-08-21 09:29:15,0.9705,,
2025-08-21 09:29:20,0.992,,
2025-08-21 09:29:25,0.855,,
2025-08-21 09:29:30,0.979,,
2025-08-21 09:29:35,0.97,,
2025-08-21 09:29:40,0.9725,,
2025-08-21 09:29:45,0.995,,
2025-08-21 09:29:50,0.9455,,
2025-08-21 09:29:55,0.855,,
2025-08-21 09:30:00,0.9825,,
2025-08-21 09:30:05,0.9945,,
2025-08-21 09:30:10,0.99,,
2025-08-21 09:30:15,0.9815,,
2025-08-21 09:30:20,0.948,,
2025-08-21 09:30:25,0.81,,
2025-08-21 09:30:30,0.9755,,
2025-08-21 09:30:35,0.992,,
2025-08-21 09:30:40,0.9595,,
2025-08-21 09:30:45,0.984,,
2025-08-21 09:30:50,0.9775,,
2025-08-21 09:30:55,0.8025,,
2025-08-21 09:31:00,0.969,,
2025-08-21 09:31:05,0.986,,
2025-08-21 09:31:10,0.979,,
2025-08-21 09:31:15,0.9745,,
2025-08-21 09:31:20,0.9845,,
2025-08-21 09:31:25,0.791,,
2025-08-21 09:31:30,0.9815,,
2025-08-21 09:31:35,0.9935,,
2025-08-21 09:31:40,0.916,,
2025-08-21 09:31:45,0.95,,
2025-08-21 09:31:50,0.9945,,
2025-08-21 09:31:55,0.755,,
2025-08-21 09:32:00,0.9955,,
2025-08-21 09:32:05,0.997,,
2025-08-21 09:32:10,0.9765,,
2025-08-21 09:32:15,0.976,,
2025-08-21 09:32:20,0.943,,
2025-08-21 09:32:25,0.6175,,
