Time,{},{},{}
2025-08-21 09:28:00,5911756800.0,,
2025-08-21 09:29:00,10859741184.0,,
2025-08-21 09:30:00,15337455616.0,,
2025-08-21 09:31:00,19373850624.0,,
2025-08-21 09:32:00,23754506240.0,,
2025-08-21 09:33:00,7063797760.0,,
2025-08-21 09:34:00,11667668992.0,,
2025-08-21 09:35:00,17157783552.0,,
2025-08-21 09:36:00,23190896640.0,,
2025-08-21 09:37:00,28357443584.0,,
2025-08-21 09:38:00,6478921728.0,,
2025-08-21 09:42:00,,28915908608.0,
2025-08-21 09:43:00,,19772964864.0,
2025-08-21 09:44:00,,34970353664.0,
2025-08-21 09:45:00,,34970353664.0,
2025-08-21 09:46:00,,51146997760.0,
2025-08-21 09:47:00,,65609498624.0,
2025-08-21 09:48:00,,9694281728.0,
2025-08-21 09:49:00,,25492717568.0,
2025-08-21 09:50:00,,40290222080.0,
2025-08-21 09:51:00,,56925913088.0,
2025-08-21 09:52:00,,71956529152.0,
2025-08-21 09:57:00,,,50014011392.0
2025-08-21 09:58:00,,,8450981888.0
2025-08-21 09:59:00,,,8890597376.0
2025-08-21 10:00:00,,,9853222912.0
2025-08-21 10:01:00,,,10296311808.0
2025-08-21 10:02:00,,,11355865088.0
2025-08-21 10:03:00,,,8078049280.0
2025-08-21 10:04:00,,,9200795648.0
2025-08-21 10:05:00,,,9507110912.0
2025-08-21 10:06:00,,,10784538624.0
2025-08-21 10:07:00,,,11116740608.0
