Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadFileStream""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-21 09:28:00,894815.0,256.0,227.0,,343.0,56.0,75.0,60.0,157.0,201.0,201.0,30838.0,2417.0,836.0,3584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 09:29:00,2324747.0,187.0,190.0,642.0,338.0,36.0,1967.0,,139.0,178.0,203.0,284156.0,3566.0,889.0,4527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 09:30:00,1347007.0,340.0,176.0,634.0,346.0,46.0,82.0,,207.0,268.0,176.0,120615.0,3540.0,917.0,3971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 09:31:00,1206899.0,275.0,140.0,650.0,361.0,42.0,114.0,,148.0,189.0,179.0,99346.0,3533.0,833.0,4750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 09:32:00,1215170.0,199.0,183.0,687.0,335.0,25.0,117.0,,144.0,216.0,199.0,94627.0,2653.0,941.0,4105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 09:33:00,1514386.0,197.0,229.0,628.0,335.0,33.0,110.0,,147.0,164.0,208.0,68892.0,2911.0,880.0,4150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 09:34:00,1733111.0,249.0,167.0,750.0,342.0,22.0,131.0,,111.0,164.0,220.0,120591.0,3150.0,927.0,3538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 09:35:00,1316499.0,179.0,184.0,668.0,343.0,23.0,103.0,,268.0,224.0,263.0,78797.0,2925.0,847.0,4069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 09:36:00,1673818.0,219.0,238.0,674.0,296.0,25.0,78.0,,155.0,196.0,237.0,116088.0,3215.0,1005.0,3952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 09:37:00,2066374.0,194.0,182.0,753.0,325.0,26.0,85.0,60.0,172.0,203.0,607.0,63913.0,3255.0,932.0,3554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 09:38:00,1984526.0,217.0,156.0,755.0,315.0,28.0,108.0,,139.0,190.0,190.0,164383.0,2724.0,869.0,2979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 09:42:00,,,,,,,,,,,,,,,,976360.0,163.0,207.0,759.0,454.0,17.0,,75.0,156.0,190.0,224.0,4211.0,2934.0,659.0,3637.0,,,,,,,,,,,,,,,,
2025-08-21 09:43:00,,,,,,,,,,,,,,,,1052182.0,160.0,189.0,714.0,389.0,25.0,95.0,,131.0,208.0,233.0,3768.0,3715.0,806.0,3822.0,,,,,,,,,,,,,,,,
2025-08-21 09:44:00,,,,,,,,,,,,,,,,1198468.0,158.0,138.0,692.0,383.0,23.0,110.0,,127.0,151.0,228.0,4687.0,3257.0,784.0,6753.0,,,,,,,,,,,,,,,,
2025-08-21 09:45:00,,,,,,,,,,,,,,,,1198468.0,158.0,138.0,692.0,383.0,23.0,110.0,,127.0,151.0,228.0,4687.0,3257.0,784.0,6753.0,,,,,,,,,,,,,,,,
2025-08-21 09:46:00,,,,,,,,,,,,,,,,1184582.0,163.0,214.0,718.0,391.0,20.0,99.0,,141.0,172.0,222.0,4084.0,3323.0,844.0,5029.0,,,,,,,,,,,,,,,,
2025-08-21 09:47:00,,,,,,,,,,,,,,,,1203075.0,159.0,197.0,702.0,390.0,25.0,256.0,,172.0,290.0,225.0,4389.0,2807.0,817.0,5471.0,,,,,,,,,,,,,,,,
2025-08-21 09:48:00,,,,,,,,,,,,,,,,1201458.0,157.0,170.0,697.0,375.0,28.0,67.0,84.0,160.0,226.0,227.0,4047.0,2837.0,797.0,3995.0,,,,,,,,,,,,,,,,
2025-08-21 09:49:00,,,,,,,,,,,,,,,,1226194.0,149.0,188.0,966.0,388.0,23.0,242.0,,136.0,152.0,219.0,4737.0,3039.0,817.0,6262.0,,,,,,,,,,,,,,,,
2025-08-21 09:50:00,,,,,,,,,,,,,,,,1297190.0,163.0,158.0,683.0,370.0,24.0,109.0,,102.0,227.0,223.0,4032.0,5127.0,905.0,5186.0,,,,,,,,,,,,,,,,
2025-08-21 09:51:00,,,,,,,,,,,,,,,,1183207.0,156.0,146.0,663.0,371.0,24.0,236.0,,126.0,188.0,210.0,6168.0,2518.0,828.0,5055.0,,,,,,,,,,,,,,,,
2025-08-21 09:52:00,,,,,,,,,,,,,,,,1212329.0,143.0,201.0,670.0,365.0,28.0,92.0,,127.0,181.0,213.0,6031.0,3293.0,842.0,4849.0,,,,,,,,,,,,,,,,
2025-08-21 09:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158982.0,204.0,175.0,937.0,592.0,47.0,114.0,,103.0,162.0,167.0,182.0,5726.0,2181.0,778.0,21111.0
2025-08-21 09:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341266.0,183.0,210.0,753.0,435.0,31.0,328.0,85.0,101.0,169.0,205.0,181.0,9521.0,34227.0,847.0,85330.0
2025-08-21 09:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270183.0,205.0,145.0,776.0,441.0,39.0,463.0,,100.0,139.0,200.0,177.0,4711.0,3080.0,965.0,3681.0
2025-08-21 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342982.0,191.0,210.0,810.0,421.0,45.0,376.0,,98.0,140.0,203.0,176.0,3977.0,4818.0,1334.0,49625.0
2025-08-21 10:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166057.0,183.0,119.0,764.0,426.0,25.0,145.0,,100.0,151.0,238.0,176.0,4677.0,2665.0,933.0,3671.0
2025-08-21 10:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297573.0,187.0,176.0,877.0,411.0,37.0,469.0,,100.0,161.0,196.0,178.0,7087.0,21662.0,872.0,62919.0
2025-08-21 10:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291196.0,170.0,153.0,737.0,435.0,26.0,295.0,,100.0,168.0,232.0,176.0,4699.0,3166.0,1083.0,13636.0
2025-08-21 10:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270282.0,168.0,168.0,732.0,422.0,36.0,84.0,,100.0,146.0,231.0,177.0,4071.0,2574.0,862.0,24743.0
2025-08-21 10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164576.0,172.0,175.0,777.0,471.0,35.0,323.0,,100.0,197.0,218.0,178.0,5437.0,2884.0,1081.0,3528.0
2025-08-21 10:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440588.0,192.0,181.0,826.0,409.0,46.0,280.0,,100.0,155.0,198.0,176.0,4727.0,3401.0,968.0,3588.0
2025-08-21 10:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132042.0,202.0,177.0,694.0,436.0,44.0,279.0,27.0,100.0,164.0,199.0,177.0,6489.0,2429.0,1080.0,4025.0
