Time,{},{},{}
2025-08-21 09:28:00,197322773.0,,
2025-08-21 09:28:05,304337773.0,,
2025-08-21 09:28:10,222382618.0,,
2025-08-21 09:28:15,295463881.0,,
2025-08-21 09:28:20,341474088.0,,
2025-08-21 09:28:25,235980691.0,,
2025-08-21 09:28:30,195262619.0,,
2025-08-21 09:28:35,269871162.0,,
2025-08-21 09:28:40,194248274.0,,
2025-08-21 09:28:45,251121817.0,,
2025-08-21 09:28:50,285539114.0,,
2025-08-21 09:28:55,197410206.0,,
2025-08-21 09:29:00,214156937.0,,
2025-08-21 09:29:05,216302180.0,,
2025-08-21 09:29:10,211604880.0,,
2025-08-21 09:29:15,244529520.0,,
2025-08-21 09:29:20,211292544.0,,
2025-08-21 09:29:25,212683352.0,,
2025-08-21 09:29:30,212063507.0,,
2025-08-21 09:29:35,236329668.0,,
2025-08-21 09:29:40,252489697.0,,
2025-08-21 09:29:45,235745002.0,,
2025-08-21 09:29:50,237336412.0,,
2025-08-21 09:29:55,218612034.0,,
2025-08-21 09:30:00,220057419.0,,
2025-08-21 09:30:05,240063302.0,,
2025-08-21 09:30:10,294563509.0,,
2025-08-21 09:30:15,235969253.0,,
2025-08-21 09:30:20,235507397.0,,
2025-08-21 09:30:25,310302747.0,,
2025-08-21 09:30:30,219268943.0,,
2025-08-21 09:30:35,240134463.0,,
2025-08-21 09:30:40,255951952.0,,
2025-08-21 09:30:45,234771542.0,,
2025-08-21 09:30:50,239102638.0,,
2025-08-21 09:30:55,276794448.0,,
2025-08-21 09:31:00,282990973.0,,
2025-08-21 09:31:05,201411431.0,,
2025-08-21 09:31:10,240502665.0,,
2025-08-21 09:31:15,239641846.0,,
2025-08-21 09:31:20,221434082.0,,
2025-08-21 09:31:25,259706425.0,,
2025-08-21 09:31:30,267610378.0,,
2025-08-21 09:31:35,184055022.0,,
2025-08-21 09:31:40,243670541.0,,
2025-08-21 09:31:45,305503840.0,,
2025-08-21 09:31:50,244311735.0,,
2025-08-21 09:31:55,245630360.0,,
2025-08-21 09:32:00,244455638.0,,
2025-08-21 09:32:05,186214381.0,,
2025-08-21 09:32:10,264531112.0,,
2025-08-21 09:32:15,265193941.0,,
2025-08-21 09:32:20,243780588.0,,
2025-08-21 09:32:25,265796490.0,,
2025-08-21 09:32:30,201686420.0,,
2025-08-21 09:32:35,247323814.0,,
2025-08-21 09:32:40,329583191.0,,
2025-08-21 09:32:45,246906602.0,,
2025-08-21 09:32:50,246189266.0,,
2025-08-21 09:32:55,287425115.0,,
2025-08-21 09:33:00,219263004.0,,
2025-08-21 09:33:05,323556892.0,,
2025-08-21 09:33:10,268096571.0,,
2025-08-21 09:33:15,248462236.0,,
2025-08-21 09:33:20,329911998.0,,
2025-08-21 09:33:25,288261159.0,,
2025-08-21 09:33:30,296037263.0,,
2025-08-21 09:33:35,246710154.0,,
2025-08-21 09:33:40,249095603.0,,
2025-08-21 09:33:45,328456676.0,,
2025-08-21 09:33:50,269841609.0,,
2025-08-21 09:33:55,248208265.0,,
2025-08-21 09:34:00,185169338.0,,
2025-08-21 09:34:05,269757557.0,,
2025-08-21 09:34:10,371484282.0,,
2025-08-21 09:34:15,208923296.0,,
2025-08-21 09:34:20,293022889.0,,
2025-08-21 09:34:25,372354552.0,,
2025-08-21 09:34:30,190012876.0,,
2025-08-21 09:34:35,282499646.0,,
2025-08-21 09:34:40,288612682.0,,
2025-08-21 09:34:45,311529213.0,,
2025-08-21 09:34:50,291490023.0,,
2025-08-21 09:34:55,270380576.0,,
2025-08-21 09:35:00,244503191.0,,
2025-08-21 09:35:05,290528859.0,,
2025-08-21 09:35:10,268617070.0,,
2025-08-21 09:35:15,287406797.0,,
2025-08-21 09:35:20,288081572.0,,
2025-08-21 09:35:25,330153876.0,,
2025-08-21 09:35:30,224959422.0,,
2025-08-21 09:35:35,268969230.0,,
2025-08-21 09:35:40,289710161.0,,
2025-08-21 09:35:45,268879122.0,,
2025-08-21 09:35:50,266305238.0,,
2025-08-21 09:35:55,226635362.0,,
2025-08-21 09:36:00,302736813.0,,
2025-08-21 09:36:05,206334918.0,,
2025-08-21 09:36:10,265437048.0,,
2025-08-21 09:36:15,346329744.0,,
2025-08-21 09:36:20,264369625.0,,
