Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-25 10:04:30,811677.8869565218,,
2025-08-25 10:05:30,2326661.2782608694,,
2025-08-25 10:06:30,3184434.852173913,,
2025-08-25 10:07:30,3376544.739130435,,
2025-08-25 10:08:30,3420447.1739130435,,
2025-08-25 10:09:30,3427442.747826087,,
2025-08-25 10:10:30,3429128.104347826,,
2025-08-25 10:11:30,3431202.504347826,,
2025-08-25 10:12:30,3432159.504347826,,
2025-08-25 10:13:30,3429629.878260869,,
2025-08-25 10:14:30,3429475.634782609,,
2025-08-25 11:27:30,,2132817.756521739,
2025-08-25 11:28:30,,3829614.556521739,
2025-08-25 11:29:30,,4118262.556521739,
2025-08-25 11:30:30,,4169431.8,
2025-08-25 11:31:30,,4180317.5217391304,
2025-08-25 11:32:30,,4182066.2869565217,
2025-08-25 11:33:30,,4182668.556521739,
2025-08-25 11:34:30,,4185501.791304348,
2025-08-25 11:35:30,,4187193.0260869563,
2025-08-25 11:36:30,,4186382.0,
2025-08-25 11:37:30,,4184498.4347826084,
2025-08-25 11:40:30,,,3845834.234782608
2025-08-25 11:41:30,,,8242886.034782608
2025-08-25 11:42:30,,,11027902.730434781
2025-08-25 11:43:30,,,10397598.173913043
2025-08-25 11:44:30,,,11797599.295652173
2025-08-25 11:45:30,,,12727686.243478261
2025-08-25 11:46:30,,,11579254.591304349
2025-08-25 11:47:30,,,10637752.92173913
2025-08-25 11:48:30,,,10519158.930434784
2025-08-25 11:49:30,,,10500323.695652174
2025-08-25 11:50:30,,,10099862.295652173
