Time,"flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.1.19:9249"",job=""default/flink-pod-monitor"",job_id=""9396335f968b7b3839e25ebbf7151130"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-jqh4k""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.1.20:9249"",job=""default/flink-pod-monitor"",job_id=""5c0cdd9da68b9f7a981af39fb731dad9"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-l9x6f""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.1.21:9249"",job=""default/flink-pod-monitor"",job_id=""57ecaee53398e63d91523b2a1f7ebe14"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-vsb4w""}"
2025-08-25 10:04:30,478,,
2025-08-25 10:05:00,842,,
2025-08-25 10:05:30,494,,
2025-08-25 10:06:00,1063,,
2025-08-25 10:06:30,442,,
2025-08-25 10:07:00,760,,
2025-08-25 10:07:30,449,,
2025-08-25 10:08:00,787,,
2025-08-25 10:08:30,480,,
2025-08-25 10:09:00,748,,
2025-08-25 10:09:30,437,,
2025-08-25 10:10:00,790,,
2025-08-25 10:10:30,469,,
2025-08-25 10:11:00,795,,
2025-08-25 10:11:30,460,,
2025-08-25 10:12:00,753,,
2025-08-25 10:12:30,459,,
2025-08-25 10:13:00,736,,
2025-08-25 10:13:30,472,,
2025-08-25 10:14:00,742,,
2025-08-25 10:14:30,490,,
2025-08-25 11:27:30,,575,
2025-08-25 11:28:00,,570,
2025-08-25 11:28:30,,567,
2025-08-25 11:29:00,,579,
2025-08-25 11:29:30,,575,
2025-08-25 11:30:00,,606,
2025-08-25 11:30:30,,579,
2025-08-25 11:31:00,,583,
2025-08-25 11:31:30,,576,
2025-08-25 11:32:00,,578,
2025-08-25 11:32:30,,576,
2025-08-25 11:33:00,,587,
2025-08-25 11:33:30,,558,
2025-08-25 11:34:00,,567,
2025-08-25 11:34:30,,561,
2025-08-25 11:35:00,,580,
2025-08-25 11:35:30,,569,
2025-08-25 11:36:00,,575,
2025-08-25 11:36:30,,560,
2025-08-25 11:37:00,,564,
2025-08-25 11:37:30,,576,
2025-08-25 11:40:30,,,355
2025-08-25 11:41:00,,,333
2025-08-25 11:41:30,,,260
2025-08-25 11:42:00,,,246
2025-08-25 11:42:30,,,294
2025-08-25 11:43:00,,,326
2025-08-25 11:43:30,,,241
2025-08-25 11:44:00,,,247
2025-08-25 11:44:30,,,262
2025-08-25 11:45:00,,,356
2025-08-25 11:45:30,,,234
2025-08-25 11:46:00,,,246
2025-08-25 11:46:30,,,285
2025-08-25 11:47:00,,,287
2025-08-25 11:47:30,,,253
2025-08-25 11:48:00,,,251
2025-08-25 11:48:30,,,251
2025-08-25 11:49:00,,,338
2025-08-25 11:49:30,,,263
2025-08-25 11:50:00,,,268
2025-08-25 11:50:30,,,301
