Time,{},{},{}
2025-08-25 10:04:30,4787093504.0,,
2025-08-25 10:05:30,4599005184.0,,
2025-08-25 10:06:30,6138363904.0,,
2025-08-25 10:07:30,7712325632.0,,
2025-08-25 10:08:30,9292152832.0,,
2025-08-25 10:09:30,9292152832.0,,
2025-08-25 10:10:30,10872520704.0,,
2025-08-25 10:11:30,4782850048.0,,
2025-08-25 10:12:30,6365331456.0,,
2025-08-25 10:13:30,7947485184.0,,
2025-08-25 10:14:30,9527623680.0,,
2025-08-25 11:27:30,,804126720.0,
2025-08-25 11:28:30,,2788769792.0,
2025-08-25 11:29:30,,5041438720.0,
2025-08-25 11:30:30,,2764357632.0,
2025-08-25 11:31:30,,4692459520.0,
2025-08-25 11:32:30,,6618595328.0,
2025-08-25 11:33:30,,8546631680.0,
2025-08-25 11:34:30,,10475683840.0,
2025-08-25 11:35:30,,2778169344.0,
2025-08-25 11:36:30,,5027921920.0,
2025-08-25 11:37:30,,6954909696.0,
2025-08-25 11:40:30,,,4766466048.0
2025-08-25 11:41:30,,,10155474944.0
2025-08-25 11:42:30,,,15056764928.0
2025-08-25 11:43:30,,,20849262592.0
2025-08-25 11:44:30,,,20849262592.0
2025-08-25 11:45:30,,,26803748864.0
2025-08-25 11:46:30,,,6694535168.0
2025-08-25 11:47:30,,,12683198464.0
2025-08-25 11:48:30,,,18589319168.0
2025-08-25 11:49:30,,,24195989504.0
2025-08-25 11:50:30,,,29476945920.0
