Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-25 10:04:30,440705.0,239.0,181.0,658.0,473.0,49.0,215.0,47.0,120.0,292.0,293.0,6073.0,3604.0,669.0,5017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 10:05:30,446721.0,168.0,245.0,768.0,303.0,42.0,107.0,,141.0,277.0,195.0,32818.0,3411.0,792.0,4797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 10:06:30,533178.0,221.0,133.0,641.0,330.0,56.0,202.0,,111.0,221.0,193.0,20044.0,2855.0,794.0,3637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 10:07:30,620001.0,186.0,212.0,690.0,328.0,34.0,105.0,,113.0,164.0,195.0,98795.0,3819.0,781.0,4663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 10:08:30,553332.0,207.0,148.0,674.0,350.0,33.0,168.0,,130.0,163.0,180.0,82398.0,2823.0,785.0,4359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 10:09:30,553332.0,207.0,148.0,674.0,350.0,33.0,168.0,,130.0,163.0,180.0,82398.0,2823.0,785.0,4359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 10:10:30,545392.0,229.0,174.0,704.0,309.0,40.0,,101.0,147.0,172.0,176.0,76227.0,2829.0,841.0,4287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 10:11:30,524950.0,238.0,170.0,697.0,330.0,33.0,,,125.0,182.0,182.0,50417.0,3264.0,810.0,4254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 10:12:30,657824.0,256.0,213.0,624.0,438.0,32.0,,,121.0,229.0,167.0,79796.0,3640.0,744.0,4842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 10:13:30,523702.0,208.0,186.0,651.0,387.0,36.0,,,140.0,181.0,170.0,69725.0,3216.0,740.0,4455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 10:14:30,613498.0,230.0,189.0,635.0,354.0,31.0,,,144.0,170.0,182.0,103475.0,3015.0,720.0,4751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 11:27:30,,,,,,,,,,,,,,,,265866.0,187.0,177.0,770.0,764.0,65.0,128.0,,186.0,229.0,221.0,4543.0,3002.0,717.0,4285.0,,,,,,,,,,,,,,,
2025-08-25 11:28:30,,,,,,,,,,,,,,,,213623.0,230.0,188.0,685.0,393.0,47.0,111.0,,130.0,190.0,231.0,5418.0,3620.0,910.0,4255.0,,,,,,,,,,,,,,,
2025-08-25 11:29:30,,,,,,,,,,,,,,,,249807.0,228.0,187.0,689.0,395.0,40.0,91.0,,156.0,180.0,241.0,6187.0,19474.0,848.0,3969.0,,,,,,,,,,,,,,,
2025-08-25 11:30:30,,,,,,,,,,,,,,,,271210.0,192.0,194.0,663.0,394.0,43.0,73.0,,151.0,167.0,243.0,5158.0,3369.0,868.0,4395.0,,,,,,,,,,,,,,,
2025-08-25 11:31:30,,,,,,,,,,,,,,,,254639.0,168.0,163.0,685.0,382.0,41.0,129.0,,150.0,220.0,239.0,5095.0,2884.0,867.0,19981.0,,,,,,,,,,,,,,,
2025-08-25 11:32:30,,,,,,,,,,,,,,,,259235.0,146.0,189.0,639.0,398.0,34.0,118.0,,136.0,166.0,229.0,6987.0,3201.0,792.0,4198.0,,,,,,,,,,,,,,,
2025-08-25 11:33:30,,,,,,,,,,,,,,,,261680.0,202.0,216.0,660.0,404.0,41.0,124.0,,141.0,212.0,225.0,5531.0,3080.0,787.0,14281.0,,,,,,,,,,,,,,,
2025-08-25 11:34:30,,,,,,,,,,,,,,,,256392.0,195.0,146.0,631.0,376.0,42.0,120.0,54.0,127.0,197.0,231.0,5087.0,2613.0,807.0,4256.0,,,,,,,,,,,,,,,
2025-08-25 11:35:30,,,,,,,,,,,,,,,,256750.0,190.0,192.0,633.0,383.0,40.0,113.0,,274.0,272.0,217.0,5503.0,3067.0,815.0,4197.0,,,,,,,,,,,,,,,
2025-08-25 11:36:30,,,,,,,,,,,,,,,,258765.0,152.0,137.0,655.0,390.0,28.0,102.0,,131.0,206.0,232.0,5354.0,2725.0,766.0,4209.0,,,,,,,,,,,,,,,
2025-08-25 11:37:30,,,,,,,,,,,,,,,,255429.0,178.0,189.0,670.0,393.0,35.0,109.0,,155.0,174.0,227.0,4536.0,3666.0,804.0,4247.0,,,,,,,,,,,,,,,
2025-08-25 11:40:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144320.0,183.0,242.0,724.0,412.0,35.0,123.0,,172.0,152.0,237.0,4479.0,3737.0,765.0,4445.0
2025-08-25 11:41:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193169.0,180.0,205.0,761.0,429.0,23.0,71.0,,173.0,195.0,226.0,6622.0,42033.0,855.0,40326.0
2025-08-25 11:42:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181286.0,171.0,126.0,679.0,396.0,31.0,87.0,,158.0,181.0,232.0,5539.0,2678.0,808.0,4017.0
2025-08-25 11:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201405.0,164.0,160.0,712.0,391.0,27.0,112.0,,146.0,302.0,221.0,7718.0,2861.0,796.0,4369.0
2025-08-25 11:44:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201405.0,164.0,160.0,712.0,391.0,27.0,112.0,,146.0,302.0,221.0,7718.0,2861.0,796.0,4369.0
2025-08-25 11:45:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197954.0,170.0,175.0,722.0,394.0,25.0,,95.0,126.0,184.0,217.0,6888.0,3624.0,816.0,4586.0
2025-08-25 11:46:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192869.0,162.0,150.0,689.0,399.0,24.0,,,217.0,244.0,223.0,4763.0,3090.0,813.0,4414.0
2025-08-25 11:47:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183013.0,170.0,157.0,692.0,379.0,26.0,69.0,,161.0,163.0,218.0,7312.0,3149.0,796.0,4390.0
2025-08-25 11:48:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188424.0,175.0,175.0,677.0,376.0,22.0,351.0,,147.0,215.0,218.0,7515.0,3043.0,837.0,3977.0
2025-08-25 11:49:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196647.0,166.0,178.0,677.0,381.0,28.0,68.0,,141.0,187.0,209.0,7369.0,2663.0,839.0,4157.0
2025-08-25 11:50:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184961.0,155.0,200.0,672.0,375.0,26.0,103.0,117.0,122.0,209.0,228.0,6414.0,2983.0,822.0,5503.0
