Time,{},{},{}
2025-08-25 10:04:30,101958510.23614511,,
2025-08-25 10:04:35,119852976.36401938,,
2025-08-25 10:04:40,136024476.62904784,,
2025-08-25 10:04:45,136926709.81908122,,
2025-08-25 10:04:50,134884524.88648692,,
2025-08-25 10:04:55,132490256.41480468,,
2025-08-25 10:05:00,142199181.27615434,,
2025-08-25 10:05:05,163722496.69631574,,
2025-08-25 10:05:10,166908620.34556693,,
2025-08-25 10:05:15,167989605.74382934,,
2025-08-25 10:05:20,168617513.33890995,,
2025-08-25 10:05:25,169162599.74005926,,
2025-08-25 10:05:30,169624745.1308577,,
2025-08-25 10:05:35,170295710.99170107,,
2025-08-25 10:05:40,170952014.77524862,,
2025-08-25 10:05:45,171536245.34445575,,
2025-08-25 10:05:50,171854170.44313985,,
2025-08-25 10:05:55,167427346.57896528,,
2025-08-25 10:06:00,170077454.02415335,,
2025-08-25 10:06:05,175586754.23225898,,
2025-08-25 10:06:10,175712176.31355876,,
2025-08-25 10:06:15,175712153.44731653,,
2025-08-25 10:06:20,175712146.09017465,,
2025-08-25 10:06:25,167621762.02909583,,
2025-08-25 10:06:30,168100251.27628392,,
2025-08-25 10:06:35,171767670.26675072,,
2025-08-25 10:06:40,172797770.4512228,,
2025-08-25 10:06:45,172797770.4512228,,
2025-08-25 10:06:50,172797770.4512228,,
2025-08-25 10:06:55,168655644.41662157,,
2025-08-25 10:07:00,173371761.58121982,,
2025-08-25 10:07:05,176575780.10184723,,
2025-08-25 10:07:10,176922461.25756964,,
2025-08-25 10:07:15,176922461.25756964,,
2025-08-25 10:07:20,176922461.25756964,,
2025-08-25 10:07:25,168162454.39103332,,
2025-08-25 10:07:30,164849165.11894253,,
2025-08-25 10:07:35,167086205.6332719,,
2025-08-25 10:07:40,173116199.05555815,,
2025-08-25 10:07:45,173116199.05555815,,
2025-08-25 10:07:50,174703062.2749047,,
2025-08-25 10:07:55,174700981.86142612,,
2025-08-25 10:08:00,172756505.93048254,,
2025-08-25 10:08:05,178304347.1471663,,
2025-08-25 10:08:10,178304507.6570549,,
2025-08-25 10:08:15,178304507.6570549,,
2025-08-25 10:08:20,168242159.75507882,,
2025-08-25 10:08:25,161754198.13491538,,
2025-08-25 10:08:30,166049781.73958647,,
2025-08-25 10:08:35,173437198.9656637,,
2025-08-25 10:08:40,173437213.07900593,,
2025-08-25 10:08:45,173437213.07900593,,
2025-08-25 10:08:50,173437213.07900593,,
2025-08-25 10:08:55,164778819.41439748,,
2025-08-25 10:09:00,162047809.63228464,,
2025-08-25 10:09:05,177114641.78568593,,
2025-08-25 10:09:10,177336648.10983297,,
2025-08-25 10:09:15,177336648.10983297,,
2025-08-25 10:09:20,177336648.10983297,,
2025-08-25 10:09:25,177336588.2211926,,
2025-08-25 10:09:30,175322786.11689806,,
2025-08-25 10:09:35,173027881.35981408,,
2025-08-25 10:09:40,172163162.80296642,,
2025-08-25 10:09:45,172163162.80296642,,
2025-08-25 10:09:50,165843592.11086506,,
2025-08-25 10:09:55,170831293.2448697,,
2025-08-25 10:10:00,173214629.8022814,,
2025-08-25 10:10:05,176081647.98510095,,
2025-08-25 10:10:10,176891270.2937979,,
2025-08-25 10:10:15,176891270.2937979,,
2025-08-25 10:10:20,176891270.2937979,,
2025-08-25 10:10:25,172550381.28990006,,
2025-08-25 10:10:30,171046270.43292353,,
2025-08-25 10:10:35,174147529.31825554,,
2025-08-25 10:10:40,174147529.31825554,,
2025-08-25 10:10:45,174147529.31825554,,
2025-08-25 10:10:50,170301527.33923963,,
2025-08-25 10:10:55,174892568.91987717,,
2025-08-25 10:11:00,160261443.2031663,,
2025-08-25 10:11:05,163893243.0896033,,
2025-08-25 10:11:10,178295331.8424182,,
2025-08-25 10:11:15,178295331.8424182,,
2025-08-25 10:11:20,174736718.04116455,,
2025-08-25 10:11:25,169620957.31077385,,
2025-08-25 10:11:30,160488815.7860228,,
2025-08-25 10:11:35,173942818.5391097,,
2025-08-25 10:11:40,173942826.15360433,,
2025-08-25 10:11:45,173942826.15360433,,
2025-08-25 10:11:50,170770309.3995107,,
2025-08-25 10:11:55,170627913.7291062,,
2025-08-25 10:12:00,170805930.223256,,
2025-08-25 10:12:05,176495370.8846454,,
2025-08-25 10:12:10,178268052.4191718,,
2025-08-25 10:12:15,178268052.4191718,,
2025-08-25 10:12:20,172376713.20796683,,
2025-08-25 10:12:25,160544720.97869906,,
2025-08-25 10:12:30,156921874.7972043,,
2025-08-25 10:12:35,159846297.61406705,,
2025-08-25 10:12:40,173604010.0540718,,
2025-08-25 10:12:45,173604010.0540718,,
2025-08-25 10:12:50,174098084.88822147,,
2025-08-25 10:12:55,159909607.43750125,,
2025-08-25 10:13:00,157417187.4415686,,
2025-08-25 10:13:05,166652202.84134915,,
2025-08-25 10:13:10,177489581.51742885,,
2025-08-25 10:13:15,177489581.51742885,,
2025-08-25 10:13:20,166129704.3420293,,
2025-08-25 10:13:25,166125172.25406885,,
2025-08-25 10:13:30,171985693.63077465,,
2025-08-25 10:13:35,172623993.14974716,,
2025-08-25 10:13:40,172624003.72668752,,
2025-08-25 10:13:45,172624003.72668752,,
2025-08-25 10:13:50,168357279.95469466,,
2025-08-25 10:13:55,163688159.856958,,
