Time,{},{},{}
2025-08-25 10:04:30,51689968.98108987,,
2025-08-25 10:04:35,56475108.83031857,,
2025-08-25 10:04:40,64074000.365862206,,
2025-08-25 10:04:45,67028093.17684643,,
2025-08-25 10:04:50,68139679.69038136,,
2025-08-25 10:04:55,71273400.35339603,,
2025-08-25 10:05:00,80039917.61340423,,
2025-08-25 10:05:05,93921836.55452377,,
2025-08-25 10:05:10,97947858.52532093,,
2025-08-25 10:05:15,100917341.91532339,,
2025-08-25 10:05:20,101183682.7317599,,
2025-08-25 10:05:25,101386122.91496718,,
2025-08-25 10:05:30,103780874.40132055,,
2025-08-25 10:05:35,106081879.98597911,,
2025-08-25 10:05:40,106200560.5437786,,
2025-08-25 10:05:45,106319180.29655993,,
2025-08-25 10:05:50,106356179.26319414,,
2025-08-25 10:05:55,104135479.3774063,,
2025-08-25 10:06:00,109168548.99836405,,
2025-08-25 10:06:05,114679619.98664728,,
2025-08-25 10:06:10,114679656.36363512,,
2025-08-25 10:06:15,114679621.97179219,,
2025-08-25 10:06:20,114679610.90632436,,
2025-08-25 10:06:25,109284846.96453154,,
2025-08-25 10:06:30,108465589.2410179,,
2025-08-25 10:06:35,109220938.98915552,,
2025-08-25 10:06:40,108570172.61268857,,
2025-08-25 10:06:45,108570172.61268857,,
2025-08-25 10:06:50,108570172.61268857,,
2025-08-25 10:06:55,108623096.45902203,,
2025-08-25 10:07:00,113469302.93872164,,
2025-08-25 10:07:05,116550571.18804632,,
2025-08-25 10:07:10,117277066.36330931,,
2025-08-25 10:07:15,117277066.36330931,,
2025-08-25 10:07:20,117277066.36330931,,
2025-08-25 10:07:25,110868391.20458098,,
2025-08-25 10:07:30,105720053.77232894,,
2025-08-25 10:07:35,106088545.29903397,,
2025-08-25 10:07:40,108609086.97429895,,
2025-08-25 10:07:45,108609086.97429895,,
2025-08-25 10:07:50,112749821.64426942,,
2025-08-25 10:07:55,113275207.65794598,,
2025-08-25 10:08:00,115312016.3399652,,
