Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_14"",instance=""10.42.2.14:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_15"",instance=""10.42.2.15:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_16"",instance=""10.42.2.16:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_17"",instance=""10.42.2.17:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-08-25 09:11:00,0.046,,,
2025-08-25 09:11:05,0.0545,,,
2025-08-25 09:11:10,0.046,,,
2025-08-25 09:11:15,0.033,,,
2025-08-25 09:11:20,0.03,,,
2025-08-25 09:11:25,0.0255,,,
2025-08-25 09:11:30,0.0425,,,
2025-08-25 09:11:35,0.0265,,,
2025-08-25 09:11:40,0.033,,,
2025-08-25 09:11:45,0.029,,,
2025-08-25 09:11:50,0.0275,,,
2025-08-25 09:11:55,0.0295,,,
2025-08-25 09:12:00,0.0565,,,
2025-08-25 09:12:05,0.0285,,,
2025-08-25 09:12:10,0.0395,,,
2025-08-25 09:12:15,0.036,,,
2025-08-25 09:12:20,0.046,,,
2025-08-25 09:12:25,0.033,,,
2025-08-25 09:12:30,0.076,,,
2025-08-25 09:12:35,0.0275,,,
2025-08-25 09:12:40,0.04,,,
2025-08-25 09:12:45,0.0375,,,
2025-08-25 09:12:50,0.029,,,
2025-08-25 09:12:55,0.0315,,,
2025-08-25 09:13:00,0.0475,,,
2025-08-25 09:13:05,0.029,,,
2025-08-25 09:13:10,0.026,,,
2025-08-25 09:13:15,0.025,,,
2025-08-25 09:13:20,0.0275,,,
2025-08-25 09:13:25,0.028,,,
2025-08-25 09:13:30,0.046,,,
2025-08-25 09:13:35,0.029,,,
2025-08-25 09:13:40,0.0275,,,
2025-08-25 09:13:45,0.028,,,
2025-08-25 09:13:50,0.026,,,
2025-08-25 09:13:55,0.0305,,,
2025-08-25 09:14:00,0.054,,,
2025-08-25 09:14:05,0.028,,,
2025-08-25 09:14:10,0.027,,,
2025-08-25 09:14:15,0.0255,,,
2025-08-25 09:14:20,0.029,,,
2025-08-25 09:14:25,0.029,,,
2025-08-25 09:14:30,0.0655,,,
2025-08-25 09:14:35,0.028,,,
2025-08-25 09:14:40,0.026,,,
2025-08-25 09:14:45,0.024,,,
2025-08-25 09:14:50,0.027,,,
2025-08-25 09:14:55,0.049,,,
2025-08-25 09:15:00,0.037,,,
2025-08-25 09:15:05,0.0275,,,
2025-08-25 09:15:10,0.0265,,,
2025-08-25 09:15:15,0.0265,,,
2025-08-25 09:15:20,0.03,,,
2025-08-25 09:15:25,0.0255,,,
2025-08-25 09:15:30,0.038,,,
2025-08-25 09:15:35,0.0245,,,
2025-08-25 09:15:40,0.024,,,
2025-08-25 09:15:45,0.029,,,
2025-08-25 09:15:50,0.028,,,
2025-08-25 09:15:55,0.0255,,,
