Time,{},{},{},{}
2025-08-25 09:11:00,56360960.0,,,
2025-08-25 09:12:00,181927936.0,,,
2025-08-25 09:13:00,512753664.0,,,
2025-08-25 09:14:00,639107072.0,,,
2025-08-25 09:15:00,1134166016.0,,,
2025-08-25 09:16:00,566493184.0,,,
2025-08-25 09:17:00,1183711232.0,,,
2025-08-25 09:18:00,1309999104.0,,,
2025-08-25 09:19:00,2016804864.0,,,
2025-08-25 09:20:00,2143617024.0,,,
2025-08-25 09:21:00,1549205504.0,,,
2025-08-25 09:24:00,,1817968640.0,,
2025-08-25 09:25:00,,1283850240.0,,
2025-08-25 09:26:00,,1409024000.0,,
2025-08-25 09:27:00,,1885732864.0,,
2025-08-25 09:28:00,,2010251264.0,,
2025-08-25 09:29:00,,2614296576.0,,
2025-08-25 09:30:00,,1507000320.0,,
2025-08-25 09:31:00,,2203713536.0,,
2025-08-25 09:32:00,,2328625152.0,,
2025-08-25 09:33:00,,3095281664.0,,
2025-08-25 09:34:00,,3219996672.0,,
2025-08-25 09:38:00,,,1733378048.0,
2025-08-25 09:39:00,,,1884241920.0,
2025-08-25 09:40:00,,,2197307392.0,
2025-08-25 09:41:00,,,2106277888.0,
2025-08-25 09:42:00,,,2587049984.0,
2025-08-25 09:43:00,,,2713141248.0,
2025-08-25 09:44:00,,,3318562816.0,
2025-08-25 09:45:00,,,3444588544.0,
2025-08-25 09:46:00,,,3095740416.0,
2025-08-25 09:47:00,,,3222093824.0,
2025-08-25 09:48:00,,,3990274048.0,
2025-08-25 09:53:00,,,,2668380160.0
2025-08-25 09:54:00,,,,3002220544.0
2025-08-25 09:55:00,,,,2883207168.0
2025-08-25 09:56:00,,,,3380625408.0
2025-08-25 09:57:00,,,,3506520064.0
2025-08-25 09:58:00,,,,3506520064.0
2025-08-25 09:59:00,,,,4124262400.0
2025-08-25 10:00:00,,,,4249829376.0
2025-08-25 10:01:00,,,,3134554112.0
