Time,{},{},{},{}
2025-08-25 09:11:00,21362285.683659118,,,
2025-08-25 09:11:05,23939810.617450938,,,
2025-08-25 09:11:10,24730386.070794497,,,
2025-08-25 09:11:15,24813861.628084164,,,
2025-08-25 09:11:20,24628099.727751065,,,
2025-08-25 09:11:25,21409643.535894,,,
2025-08-25 09:11:30,17787457.952212088,,,
2025-08-25 09:11:35,15960227.12809467,,,
2025-08-25 09:11:40,15838699.141371485,,,
2025-08-25 09:11:45,15894454.781932805,,,
2025-08-25 09:11:50,15970898.831470743,,,
2025-08-25 09:11:55,15742730.957004607,,,
2025-08-25 09:12:00,16297768.992268084,,,
2025-08-25 09:12:05,17394909.997992765,,,
2025-08-25 09:12:10,17454443.937944315,,,
2025-08-25 09:12:15,17497915.023255713,,,
2025-08-25 09:12:20,17544303.379110806,,,
2025-08-25 09:12:25,17493965.558221012,,,
2025-08-25 09:12:30,17638641.46934442,,,
2025-08-25 09:12:35,17887130.012528345,,,
2025-08-25 09:12:40,17912652.950894214,,,
2025-08-25 09:12:45,17922005.508177277,,,
2025-08-25 09:12:50,17921984.4087506,,,
2025-08-25 09:12:55,16524945.22212368,,,
2025-08-25 09:13:00,18249625.362929318,,,
2025-08-25 09:13:05,18688129.231030256,,,
2025-08-25 09:13:10,19147338.213892616,,,
2025-08-25 09:13:15,19147338.213892616,,,
2025-08-25 09:13:20,18934410.311206903,,,
2025-08-25 09:13:25,17879129.36007987,,,
2025-08-25 09:13:30,16945697.79472565,,,
2025-08-25 09:13:35,18960905.85251571,,,
2025-08-25 09:13:40,19038188.58620244,,,
2025-08-25 09:13:45,19038188.58620244,,,
2025-08-25 09:13:50,19038145.083315134,,,
2025-08-25 09:13:55,18938449.596044414,,,
2025-08-25 09:14:00,18742333.0233022,,,
2025-08-25 09:14:05,18461531.009830806,,,
2025-08-25 09:14:10,18712406.630838953,,,
2025-08-25 09:14:15,18712406.630838953,,,
2025-08-25 09:14:20,18711802.98966298,,,
2025-08-25 09:14:25,17036739.899379656,,,
2025-08-25 09:14:30,16356154.431850178,,,
2025-08-25 09:14:35,17651537.376199383,,,
2025-08-25 09:14:40,18852412.8550232,,,
2025-08-25 09:14:45,18852412.8550232,,,
2025-08-25 09:14:50,18554694.587303076,,,
2025-08-25 09:14:55,15785824.58719155,,,
2025-08-25 09:15:00,17173435.9524324,,,
2025-08-25 09:15:05,20623918.096668344,,,
2025-08-25 09:15:10,20623921.895965338,,,
2025-08-25 09:15:15,20623921.895965338,,,
2025-08-25 09:15:20,20133917.72528505,,,
2025-08-25 09:15:25,20120471.61317283,,,
2025-08-25 09:15:30,20404746.49209091,,,
2025-08-25 09:15:35,20534125.713841405,,,
2025-08-25 09:15:40,20534126.048694048,,,
2025-08-25 09:15:45,20534126.048694048,,,
2025-08-25 09:15:50,20534126.048694048,,,
2025-08-25 09:15:55,19075219.671540756,,,
2025-08-25 09:16:00,18145602.925161816,,,
2025-08-25 09:16:05,18422781.22319237,,,
2025-08-25 09:16:10,18825751.037857916,,,
2025-08-25 09:16:15,18825751.037857916,,,
2025-08-25 09:16:20,18094831.32727133,,,
2025-08-25 09:16:25,14554271.91138084,,,
2025-08-25 09:16:30,17050096.139771048,,,
2025-08-25 09:16:35,17775081.379772417,,,
2025-08-25 09:16:40,19333073.837288,,,
2025-08-25 09:16:45,19333073.837288,,,
2025-08-25 09:16:50,18946752.564363778,,,
2025-08-25 09:16:55,19466866.500887915,,,
2025-08-25 09:17:00,19338086.517363727,,,
2025-08-25 09:17:05,21555573.34537521,,,
2025-08-25 09:17:10,21555575.441684797,,,
2025-08-25 09:17:15,21555575.441684797,,,
2025-08-25 09:17:20,21555575.441684797,,,
2025-08-25 09:17:25,21086746.843231764,,,
2025-08-25 09:17:30,20576924.202540025,,,
2025-08-25 09:17:35,21153448.507722933,,,
2025-08-25 09:17:40,21547359.000898782,,,
2025-08-25 09:17:45,21547359.000898782,,,
2025-08-25 09:17:50,21547359.000898782,,,
2025-08-25 09:17:55,19882052.405789115,,,
2025-08-25 09:18:00,18446555.637801673,,,
2025-08-25 09:18:05,18956023.129807256,,,
2025-08-25 09:18:10,19363700.88081753,,,
2025-08-25 09:18:15,19363700.88081753,,,
2025-08-25 09:18:20,18793987.724750966,,,
2025-08-25 09:18:25,16377263.029199043,,,
2025-08-25 09:18:30,19261283.61228763,,,
