Time,{},{},{},{}
2025-08-25 09:11:00,5372159.698015005,,,
2025-08-25 09:11:05,5786437.655659145,,,
2025-08-25 09:11:10,6105889.9848648915,,,
2025-08-25 09:11:15,6491651.3427117765,,,
2025-08-25 09:11:20,6504586.960141902,,,
2025-08-25 09:11:25,6984664.227388462,,,
2025-08-25 09:11:30,8518150.59423366,,,
2025-08-25 09:11:35,8547299.481550694,,,
2025-08-25 09:11:40,9499763.0346351,,,
2025-08-25 09:11:45,9507124.88545651,,,
2025-08-25 09:11:50,9707393.144232538,,,
2025-08-25 09:11:55,9621304.876906045,,,
2025-08-25 09:12:00,10222323.146651955,,,
2025-08-25 09:12:05,10897242.86221233,,,
2025-08-25 09:12:10,11002275.260148847,,,
2025-08-25 09:12:15,11002275.260148847,,,
2025-08-25 09:12:20,11101325.272691632,,,
2025-08-25 09:12:25,11005469.746484134,,,
2025-08-25 09:12:30,11275527.522329243,,,
2025-08-25 09:12:35,11816098.505309064,,,
2025-08-25 09:12:40,12102364.662391337,,,
2025-08-25 09:12:45,12102364.662391337,,,
2025-08-25 09:12:50,12102344.200462729,,,
2025-08-25 09:12:55,11766411.548227271,,,
2025-08-25 09:13:00,13521492.69773505,,,
2025-08-25 09:13:05,14208019.244008332,,,
2025-08-25 09:13:10,14635472.304747531,,,
2025-08-25 09:13:15,14635472.304747531,,,
2025-08-25 09:13:20,14779526.455242982,,,
2025-08-25 09:13:25,13920588.570540776,,,
2025-08-25 09:13:30,13218849.205502417,,,
2025-08-25 09:13:35,14252864.133486992,,,
2025-08-25 09:13:40,14413095.58951017,,,
2025-08-25 09:13:45,14413095.58951017,,,
2025-08-25 09:13:50,14413027.948191816,,,
2025-08-25 09:13:55,14207045.6275033,,,
2025-08-25 09:14:00,13748514.8219856,,,
2025-08-25 09:14:05,13236376.27359221,,,
2025-08-25 09:14:10,13462503.374060111,,,
2025-08-25 09:14:15,13462503.374060111,,,
2025-08-25 09:14:20,13396843.377348633,,,
