Time,"flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.1.11:9249"",job=""default/flink-pod-monitor"",job_id=""0e7895291349e88f3f0535a8c6861aaa"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-2plcx""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.1.12:9249"",job=""default/flink-pod-monitor"",job_id=""116502ab18511b2d62208bb843685e6f"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-z68f5""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.1.13:9249"",job=""default/flink-pod-monitor"",job_id=""125e76857ba07eefedca41d431661aa1"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-gtfwz""}"
2025-08-25 08:04:00,396.0,,
2025-08-25 08:04:30,416.0,,
2025-08-25 08:05:00,832.0,,
2025-08-25 08:05:30,586.0,,
2025-08-25 08:06:00,357.0,,
2025-08-25 08:06:30,424.0,,
2025-08-25 08:07:00,435.0,,
2025-08-25 08:07:30,465.0,,
2025-08-25 08:08:00,406.0,,
2025-08-25 08:08:30,357.0,,
2025-08-25 08:09:00,440.0,,
2025-08-25 08:09:30,463.0,,
2025-08-25 08:10:00,434.0,,
2025-08-25 08:10:30,378.0,,
2025-08-25 08:11:00,500.0,,
2025-08-25 08:11:30,421.0,,
2025-08-25 08:12:00,359.0,,
2025-08-25 08:12:30,369.0,,
2025-08-25 08:13:00,458.0,,
2025-08-25 08:13:30,492.0,,
2025-08-25 08:14:00,352.0,,
2025-08-25 08:24:00,,685.0,
2025-08-25 08:24:30,,370.0,
2025-08-25 08:25:00,,417.0,
2025-08-25 08:25:30,,389.0,
2025-08-25 08:26:00,,415.0,
2025-08-25 08:26:30,,407.0,
2025-08-25 08:27:00,,409.0,
2025-08-25 08:27:30,,413.0,
2025-08-25 08:28:00,,454.0,
2025-08-25 08:28:30,,436.0,
2025-08-25 08:29:00,,355.0,
2025-08-25 08:29:30,,355.0,
2025-08-25 08:30:00,,366.0,
2025-08-25 08:30:30,,364.0,
2025-08-25 08:31:00,,459.0,
2025-08-25 08:31:30,,342.0,
2025-08-25 08:32:00,,353.0,
2025-08-25 08:32:30,,355.0,
2025-08-25 08:33:00,,447.0,
2025-08-25 08:33:30,,423.0,
2025-08-25 08:34:00,,395.0,
2025-08-25 08:43:00,,,2146.0
2025-08-25 08:43:30,,,369.0
2025-08-25 08:44:00,,,650.0
2025-08-25 08:44:30,,,351.0
2025-08-25 08:45:00,,,481.0
2025-08-25 08:45:30,,,337.0
2025-08-25 08:46:00,,,783.0
2025-08-25 08:46:30,,,260.0
2025-08-25 08:47:00,,,671.0
2025-08-25 08:47:30,,,278.0
2025-08-25 08:48:00,,,400.0
2025-08-25 08:48:30,,,318.0
2025-08-25 08:49:00,,,366.0
2025-08-25 08:49:30,,,361.0
2025-08-25 08:50:00,,,376.0
2025-08-25 08:50:30,,,680.0
2025-08-25 08:51:00,,,273.0
2025-08-25 08:51:30,,,382.0
2025-08-25 08:52:00,,,286.0
2025-08-25 08:52:30,,,308.0
2025-08-25 08:53:00,,,395.0
