Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_25"",instance=""10.42.2.25:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_26"",instance=""10.42.2.26:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_17"",instance=""10.42.2.17:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_15"",instance=""10.42.2.15:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_2_16"",instance=""10.42.2.16:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-08-08 12:46:00,,,,0.058,
2025-08-08 12:46:05,,,,0.0775,
2025-08-08 12:46:10,,,,0.0885,
2025-08-08 12:46:15,,,,0.0545,
2025-08-08 12:46:20,,,,0.1105,
2025-08-08 12:46:25,,,,0.035,
2025-08-08 12:46:30,,,,0.033,
2025-08-08 12:46:35,,,,0.0335,
2025-08-08 12:46:40,,,,0.0485,
2025-08-08 12:46:45,,,,0.032,
2025-08-08 12:46:50,,,,0.0705,
2025-08-08 12:46:55,,,,0.045,
2025-08-08 12:47:00,,,,0.0285,
2025-08-08 12:47:05,,,,0.0335,
2025-08-08 12:47:10,,,,0.0865,
2025-08-08 12:47:15,,,,0.058,
2025-08-08 12:47:20,,,,0.0885,
2025-08-08 12:47:25,,,,0.0395,
2025-08-08 12:47:30,,,,0.056,
2025-08-08 12:47:35,,,,0.03,
2025-08-08 12:47:40,,,,0.0415,
2025-08-08 12:47:45,,,,0.0435,
2025-08-08 12:47:50,,,,0.119,
2025-08-08 12:47:55,,,,0.0275,
2025-08-08 12:48:00,,,,0.0275,
2025-08-08 12:48:05,,,,0.0365,
2025-08-08 12:48:10,,,,0.0395,
2025-08-08 12:48:15,,,,0.029,
2025-08-08 12:48:20,,,,0.0785,
2025-08-08 12:48:25,,,,0.049,
2025-08-08 12:48:30,,,,0.0305,
2025-08-08 12:48:35,,,,0.028,
2025-08-08 12:48:40,,,,0.04,
2025-08-08 12:48:45,,,,0.033,
2025-08-08 12:48:50,,,,0.0775,
2025-08-08 12:48:55,,,,0.0255,
2025-08-08 12:49:00,,,,0.0285,
2025-08-08 12:49:05,,,,0.03,
2025-08-08 12:49:10,,,,0.121,
2025-08-08 12:49:15,,,,0.035,
2025-08-08 12:49:20,,,,0.0625,
2025-08-08 12:49:25,,,,0.028,
2025-08-08 12:49:30,,,,0.028,
2025-08-08 12:49:35,,,,0.03,
2025-08-08 12:49:40,,,,0.0395,
2025-08-08 12:49:45,,,,0.0305,
2025-08-08 12:49:50,,,,0.1075,
2025-08-08 12:49:55,,,,0.026,
2025-08-08 12:50:00,,,,0.0285,
2025-08-08 12:50:05,,,,0.045,
2025-08-08 12:50:10,,,,0.043,
2025-08-08 12:50:15,,,,0.0295,
2025-08-08 12:50:20,,,,0.075,
2025-08-08 12:50:25,,,,0.072,
2025-08-08 12:50:30,,,,0.026,
2025-08-08 12:50:35,,,,0.027,
2025-08-08 12:50:40,,,,0.039,
2025-08-08 12:50:45,,,,0.0325,
2025-08-08 12:50:50,,,,0.0565,
2025-08-08 12:50:55,,,,0.026,
2025-08-08 12:51:00,,,,0.0325,
2025-08-08 12:51:05,,,,0.0295,
2025-08-08 12:51:10,,,,0.088,
2025-08-08 12:51:15,,,,0.029,
2025-08-08 12:51:20,,,,0.056,
2025-08-08 12:51:25,,,,0.0265,
2025-08-08 12:51:30,,,,0.0315,
2025-08-08 12:51:35,,,,0.028,
2025-08-08 12:51:40,,,,0.037,
2025-08-08 12:51:45,,,,0.041,
2025-08-08 12:51:50,,,,0.12,
2025-08-08 12:51:55,,,,0.027,
2025-08-08 12:52:00,,,,0.0265,
