Time,{},{},{}
2025-08-25 08:04:00,4444684288.0,,
2025-08-25 08:05:00,13358710784.0,,
2025-08-25 08:06:00,12078612480.0,,
2025-08-25 08:07:00,21416132608.0,,
2025-08-25 08:08:00,30338236416.0,,
2025-08-25 08:09:00,40297431040.0,,
2025-08-25 08:10:00,4355506176.0,,
2025-08-25 08:11:00,13288849408.0,,
2025-08-25 08:12:00,22626844672.0,,
2025-08-25 08:13:00,32088965120.0,,
2025-08-25 08:14:00,42066886656.0,,
2025-08-25 08:24:00,,16547446784.0,
2025-08-25 08:25:00,,16547446784.0,
2025-08-25 08:26:00,,7901224960.0,
2025-08-25 08:27:00,,21175951360.0,
2025-08-25 08:28:00,,34636021760.0,
2025-08-25 08:29:00,,49379885056.0,
2025-08-25 08:30:00,,63801982976.0,
2025-08-25 08:31:00,,9660809216.0,
2025-08-25 08:32:00,,24352194560.0,
2025-08-25 08:33:00,,38818234368.0,
2025-08-25 08:34:00,,51934937088.0,
2025-08-25 08:43:00,,,12625559552.0
2025-08-25 08:44:00,,,35915448320.0
2025-08-25 08:45:00,,,12929409024.0
2025-08-25 08:46:00,,,30498750464.0
2025-08-25 08:47:00,,,56544100352.0
2025-08-25 08:48:00,,,82346622976.0
2025-08-25 08:49:00,,,110010957824.0
2025-08-25 08:50:00,,,6108020736.0
2025-08-25 08:51:00,,,31860883456.0
2025-08-25 08:52:00,,,57847431168.0
2025-08-25 08:53:00,,,85697003520.0
