Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-25 08:04:00,467123.0,152.0,170.0,671.0,495.0,16.0,,,143.0,279.0,222.0,4088.0,2677.0,670.0,4429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 08:05:00,317919.0,178.0,184.0,680.0,383.0,26.0,,84.0,132.0,161.0,228.0,3995.0,2988.0,792.0,3361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 08:06:00,320555.0,138.0,232.0,678.0,379.0,22.0,242.0,,151.0,144.0,221.0,5215.0,3439.0,776.0,3685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 08:07:00,318870.0,164.0,150.0,663.0,392.0,22.0,335.0,,139.0,211.0,217.0,4869.0,2851.0,749.0,3845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 08:08:00,330358.0,147.0,196.0,702.0,381.0,22.0,83.0,,139.0,262.0,224.0,8132.0,2900.0,791.0,4530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 08:09:00,322189.0,177.0,189.0,696.0,375.0,29.0,132.0,,142.0,164.0,216.0,5456.0,7440.0,793.0,3755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 08:10:00,338476.0,156.0,178.0,702.0,389.0,25.0,172.0,117.0,136.0,179.0,213.0,6870.0,2750.0,752.0,3716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 08:11:00,317457.0,169.0,216.0,686.0,362.0,25.0,108.0,,114.0,192.0,210.0,6902.0,3528.0,858.0,3431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 08:12:00,319001.0,161.0,266.0,678.0,370.0,22.0,77.0,,220.0,202.0,215.0,7001.0,3406.0,794.0,3686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 08:13:00,330276.0,164.0,212.0,661.0,372.0,24.0,102.0,,139.0,205.0,215.0,5886.0,2954.0,838.0,4615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 08:14:00,317330.0,152.0,178.0,710.0,368.0,23.0,60.0,,126.0,213.0,201.0,6015.0,3285.0,852.0,3147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25 08:24:00,,,,,,,,,,,,,,,,322503.0,162.0,148.0,704.0,399.0,17.0,970.0,,159.0,326.0,228.0,6202.0,2790.0,883.0,4470.0,,,,,,,,,,,,,,,
2025-08-25 08:25:00,,,,,,,,,,,,,,,,322503.0,162.0,148.0,704.0,399.0,17.0,970.0,,159.0,326.0,228.0,6202.0,2790.0,883.0,4470.0,,,,,,,,,,,,,,,
2025-08-25 08:26:00,,,,,,,,,,,,,,,,259797.0,158.0,145.0,687.0,390.0,18.0,100.0,,129.0,328.0,218.0,5403.0,3179.0,795.0,3501.0,,,,,,,,,,,,,,,
