Time,{},{},{}
2025-08-25 08:04:00,146023392.0,,
2025-08-25 08:04:05,154899999.0,,
2025-08-25 08:04:10,195068172.0,,
2025-08-25 08:04:15,114796915.0,,
2025-08-25 08:04:20,175282898.0,,
2025-08-25 08:04:25,207694405.0,,
2025-08-25 08:04:30,148221441.0,,
2025-08-25 08:04:35,188439908.0,,
2025-08-25 08:04:40,194755487.0,,
2025-08-25 08:04:45,155011752.0,,
2025-08-25 08:04:50,215406974.0,,
2025-08-25 08:04:55,168160565.0,,
2025-08-25 08:05:00,164895186.0,,
2025-08-25 08:05:05,170969179.0,,
2025-08-25 08:05:10,145111309.0,,
2025-08-25 08:05:15,185526508.0,,
2025-08-25 08:05:20,205569149.0,,
2025-08-25 08:05:25,157737532.0,,
2025-08-25 08:05:30,162682270.0,,
2025-08-25 08:05:35,136793090.0,,
2025-08-25 08:05:40,185174566.0,,
2025-08-25 08:05:45,185034160.0,,
2025-08-25 08:05:50,165281579.0,,
2025-08-25 08:05:55,197972946.0,,
2025-08-25 08:06:00,136453629.0,,
2025-08-25 08:06:05,144681629.0,,
2025-08-25 08:06:10,185135582.0,,
2025-08-25 08:06:15,144989469.0,,
2025-08-25 08:06:20,165242947.0,,
2025-08-25 08:06:25,197840834.0,,
2025-08-25 08:06:30,138524910.0,,
2025-08-25 08:06:35,178628113.0,,
2025-08-25 08:06:40,184761875.0,,
2025-08-25 08:06:45,145110121.0,,
2025-08-25 08:06:50,205465414.0,,
2025-08-25 08:06:55,158337175.0,,
2025-08-25 08:07:00,165130866.0,,
2025-08-25 08:07:05,171036031.0,,
2025-08-25 08:07:10,185124482.0,,
2025-08-25 08:07:15,185140042.0,,
2025-08-25 08:07:20,205472964.0,,
2025-08-25 08:07:25,157549463.0,,
2025-08-25 08:07:30,163208444.0,,
2025-08-25 08:07:35,136862253.0,,
2025-08-25 08:07:40,185332838.0,,
2025-08-25 08:07:45,185185225.0,,
2025-08-25 08:07:50,165063947.0,,
2025-08-25 08:07:55,198292650.0,,
2025-08-25 08:08:00,136472219.0,,
2025-08-25 08:08:05,144631208.0,,
2025-08-25 08:08:10,185111164.0,,
2025-08-25 08:08:15,145032535.0,,
2025-08-25 08:08:20,165202312.0,,
2025-08-25 08:08:25,165171940.0,,
2025-08-25 08:08:30,138962223.0,,
2025-08-25 08:08:35,179192148.0,,
2025-08-25 08:08:40,184852896.0,,
2025-08-25 08:08:45,145103886.0,,
2025-08-25 08:08:50,205403623.0,,
2025-08-25 08:08:55,157713928.0,,
2025-08-25 08:09:00,165054642.0,,
2025-08-25 08:09:05,171010112.0,,
2025-08-25 08:09:10,184837013.0,,
2025-08-25 08:09:15,185175644.0,,
2025-08-25 08:09:20,205380780.0,,
2025-08-25 08:09:25,157534495.0,,
2025-08-25 08:09:30,163209275.0,,
2025-08-25 08:09:35,136988807.0,,
2025-08-25 08:09:40,185536880.0,,
2025-08-25 08:09:45,185358860.0,,
2025-08-25 08:09:50,165128313.0,,
2025-08-25 08:09:55,163782178.0,,
2025-08-25 08:10:00,136850813.0,,
2025-08-25 08:10:05,145044278.0,,
2025-08-25 08:10:10,185348206.0,,
2025-08-25 08:10:15,144898328.0,,
2025-08-25 08:10:20,165504068.0,,
2025-08-25 08:10:25,163792829.0,,
2025-08-25 08:10:30,138517321.0,,
2025-08-25 08:10:35,178964192.0,,
2025-08-25 08:10:40,184973227.0,,
2025-08-25 08:10:45,145013753.0,,
2025-08-25 08:10:50,205329211.0,,
2025-08-25 08:10:55,157402365.0,,
2025-08-25 08:11:00,164492538.0,,
2025-08-25 08:11:05,170741640.0,,
2025-08-25 08:11:10,144963529.0,,
2025-08-25 08:11:15,185311830.0,,
2025-08-25 08:11:20,205242611.0,,
2025-08-25 08:11:25,157587040.0,,
2025-08-25 08:11:30,162559648.0,,
2025-08-25 08:11:35,137317921.0,,
2025-08-25 08:11:40,185262566.0,,
2025-08-25 08:11:45,185040436.0,,
2025-08-25 08:11:50,165126398.0,,
