Time,{},{},{}
2025-08-25 08:04:00,449945152.4652545,,
2025-08-25 08:04:05,557582409.2756293,,
2025-08-25 08:04:10,572559877.7733889,,
2025-08-25 08:04:15,587537390.2763025,,
2025-08-25 08:04:20,602514902.840665,,
2025-08-25 08:04:25,674981014.8314983,,
2025-08-25 08:04:30,701393735.4193699,,
2025-08-25 08:04:35,805320129.9878674,,
2025-08-25 08:04:40,826778848.3177496,,
2025-08-25 08:04:45,848237568.2631216,,
2025-08-25 08:04:50,861039686.6024876,,
2025-08-25 08:04:55,882057786.5100387,,
2025-08-25 08:05:00,832730479.0245289,,
2025-08-25 08:05:05,894994221.9556779,,
2025-08-25 08:05:10,894994221.9556779,,
2025-08-25 08:05:15,894994221.9556779,,
2025-08-25 08:05:20,894994179.6065767,,
2025-08-25 08:05:25,895041116.5174209,,
2025-08-25 08:05:30,863632658.7539097,,
2025-08-25 08:05:35,896395159.7674446,,
2025-08-25 08:05:40,896395159.7674445,,
2025-08-25 08:05:45,896395159.7674445,,
2025-08-25 08:05:50,896395000.5099269,,
2025-08-25 08:05:55,871153241.0774939,,
2025-08-25 08:06:00,867638291.6382034,,
2025-08-25 08:06:05,875669411.750883,,
2025-08-25 08:06:10,895620449.7528801,,
2025-08-25 08:06:15,895620449.7528801,,
2025-08-25 08:06:20,857151378.1882505,,
2025-08-25 08:06:25,845571729.2384758,,
2025-08-25 08:06:30,813597090.4480902,,
2025-08-25 08:06:35,821146702.2171851,,
2025-08-25 08:06:40,894824320.9171331,,
2025-08-25 08:06:45,894824320.9171331,,
2025-08-25 08:06:50,894824320.9171331,,
2025-08-25 08:06:55,852627164.9763914,,
2025-08-25 08:07:00,871110507.2844949,,
2025-08-25 08:07:05,893592053.4557891,,
2025-08-25 08:07:10,893592043.8728973,,
2025-08-25 08:07:15,893592043.8728973,,
2025-08-25 08:07:20,893592043.8728973,,
2025-08-25 08:07:25,893600513.0942837,,
2025-08-25 08:07:30,872653801.066954,,
2025-08-25 08:07:35,894086364.6693968,,
2025-08-25 08:07:40,894086411.7210907,,
2025-08-25 08:07:45,894086411.7210907,,
2025-08-25 08:07:50,894221782.6793038,,
2025-08-25 08:07:55,813580107.090037,,
2025-08-25 08:08:00,838500468.5221708,,
2025-08-25 08:08:05,872683821.2903277,,
2025-08-25 08:08:10,894105628.1198368,,
2025-08-25 08:08:15,894105628.1198368,,
2025-08-25 08:08:20,872861000.548669,,
2025-08-25 08:08:25,868033947.2035226,,
2025-08-25 08:08:30,861821047.9955081,,
2025-08-25 08:08:35,855645351.1235107,,
2025-08-25 08:08:40,894235651.6767924,,
2025-08-25 08:08:45,894235651.6767924,,
2025-08-25 08:08:50,894235653.2265565,,
2025-08-25 08:08:55,894513694.9820818,,
2025-08-25 08:09:00,870298853.5198255,,
2025-08-25 08:09:05,893800497.4658822,,
2025-08-25 08:09:10,893800514.128942,,
2025-08-25 08:09:15,893800514.128942,,
2025-08-25 08:09:20,873840945.4304628,,
2025-08-25 08:09:25,842694424.8393395,,
2025-08-25 08:09:30,842732729.2521495,,
2025-08-25 08:09:35,892898015.2986094,,
2025-08-25 08:09:40,892898200.095207,,
2025-08-25 08:09:45,892898200.095207,,
2025-08-25 08:09:50,855777886.8222061,,
2025-08-25 08:09:55,839124729.7957208,,
2025-08-25 08:10:00,796909819.6889843,,
2025-08-25 08:10:05,813612539.7028799,,
2025-08-25 08:10:10,892016809.26655,,
2025-08-25 08:10:15,892016809.26655,,
2025-08-25 08:10:20,892256705.3959222,,
2025-08-25 08:10:25,871251905.9818926,,
2025-08-25 08:10:30,892716286.3248173,,
2025-08-25 08:10:35,893287386.2460933,,
2025-08-25 08:10:40,893055061.1311039,,
2025-08-25 08:10:45,893055061.1311039,,
2025-08-25 08:10:50,893055023.8645893,,
2025-08-25 08:10:55,828150859.4961026,,
2025-08-25 08:11:00,843818633.7083968,,
2025-08-25 08:11:05,843902653.7129716,,
2025-08-25 08:11:10,894387602.3382688,,
2025-08-25 08:11:15,894387602.3382688,,
2025-08-25 08:11:20,874358832.3770142,,
2025-08-25 08:11:25,806517329.0537642,,
2025-08-25 08:11:30,803770337.3453616,,
2025-08-25 08:11:35,875918310.7349081,,
2025-08-25 08:11:40,895666763.4738225,,
2025-08-25 08:11:45,895666763.4738225,,
2025-08-25 08:11:50,895666763.4738225,,
2025-08-25 08:11:55,895181114.8306514,,
2025-08-25 08:12:00,872017808.36763,,
2025-08-25 08:12:05,885169090.8723572,,
2025-08-25 08:12:10,894023209.0078701,,
2025-08-25 08:12:15,894023209.0078701,,
2025-08-25 08:12:20,894231149.2383416,,
2025-08-25 08:12:25,799716338.0115551,,
2025-08-25 08:12:30,840519572.5350057,,
2025-08-25 08:12:35,839141396.4319912,,
2025-08-25 08:12:40,892358569.5043206,,
2025-08-25 08:12:45,892358569.5043206,,
2025-08-25 08:12:50,891898116.8283236,,
2025-08-25 08:12:55,881741802.8719541,,
2025-08-25 08:13:00,891460471.8423259,,
2025-08-25 08:13:05,891782087.8606035,,
2025-08-25 08:13:10,891799676.2334838,,
2025-08-25 08:13:15,891799676.2334838,,
2025-08-25 08:13:20,891799504.8309513,,
2025-08-25 08:13:25,866862979.0457923,,
2025-08-25 08:13:30,820209890.1583251,,
2025-08-25 08:13:35,893470871.4512515,,
2025-08-25 08:13:40,893470834.4754584,,
2025-08-25 08:13:45,893470834.4754584,,
2025-08-25 08:13:50,893479488.7034557,,
2025-08-25 08:13:55,859515405.984665,,
2025-08-25 08:14:00,866052138.5088844,,
2025-08-25 08:24:00,,720060766.9516437,
2025-08-25 08:24:05,,789547474.6455148,
2025-08-25 08:24:10,,826261031.3233494,
2025-08-25 08:24:15,,835504419.9404767,
2025-08-25 08:24:20,,837458664.4937276,
2025-08-25 08:24:25,,873210106.42901,
2025-08-25 08:24:30,,917779514.0638047,
2025-08-25 08:24:35,,948020363.5830293,
2025-08-25 08:24:40,,958987278.3342116,
2025-08-25 08:24:45,,965663619.5647335,
2025-08-25 08:24:50,,967430785.001173,
2025-08-25 08:24:55,,907412570.5003133,
2025-08-25 08:25:00,,952646849.0583397,
2025-08-25 08:25:05,,950700958.5422308,
2025-08-25 08:25:10,,950700962.0594763,
2025-08-25 08:25:15,,950700962.0594763,
2025-08-25 08:25:20,,950700962.0594763,
2025-08-25 08:25:25,,926865509.5463027,
2025-08-25 08:25:30,,916442214.8982537,
2025-08-25 08:25:35,,949432141.3212347,
2025-08-25 08:25:40,,949432141.3212347,
2025-08-25 08:25:45,,949432141.3212347,
2025-08-25 08:25:50,,949477915.3249376,
2025-08-25 08:25:55,,949689734.9823579,
2025-08-25 08:26:00,,949600010.3389798,
2025-08-25 08:26:05,,949975015.7505682,
2025-08-25 08:26:10,,950059841.3430101,
2025-08-25 08:26:15,,950059841.3430101,
2025-08-25 08:26:20,,941267560.8828225,
2025-08-25 08:26:25,,938503656.3701419,
2025-08-25 08:26:30,,924054950.5293355,
2025-08-25 08:26:35,,948645519.3756888,
2025-08-25 08:26:40,,948888733.3043405,
2025-08-25 08:26:45,,948888733.3043405,
2025-08-25 08:26:50,,926289890.9955149,
2025-08-25 08:26:55,,920352211.8672401,
2025-08-25 08:27:00,,888167946.339234,
2025-08-25 08:27:05,,949285788.2025841,
2025-08-25 08:27:10,,949484871.6970531,
2025-08-25 08:27:15,,949484871.6970531,
2025-08-25 08:27:20,,949484867.1969129,
2025-08-25 08:27:25,,949461480.9451575,
2025-08-25 08:27:30,,927587520.9049362,
2025-08-25 08:27:35,,949224267.1172292,
2025-08-25 08:27:40,,949112519.5935583,
2025-08-25 08:27:45,,949112519.5935583,
2025-08-25 08:27:50,,936872402.3559159,
2025-08-25 08:27:55,,914080173.9747702,
2025-08-25 08:28:00,,895970085.7957147,
2025-08-25 08:28:05,,949472125.3695737,
2025-08-25 08:28:10,,949286003.1286615,
2025-08-25 08:28:15,,949286003.1286615,
2025-08-25 08:28:20,,915710943.1380856,
2025-08-25 08:28:25,,919592658.5517415,
2025-08-25 08:28:30,,903567477.7213348,
2025-08-25 08:28:35,,949655199.1829793,
2025-08-25 08:28:40,,949521607.3180206,
2025-08-25 08:28:45,,949521607.3180206,
2025-08-25 08:28:50,,949521603.4506953,
2025-08-25 08:28:55,,901352589.4210038,
2025-08-25 08:29:00,,923629289.9398516,
2025-08-25 08:29:05,,949623571.0137012,
2025-08-25 08:29:10,,949563293.8818887,
2025-08-25 08:29:15,,949563293.8818887,
2025-08-25 08:29:20,,949589217.8105568,
2025-08-25 08:29:25,,919035191.4421028,
2025-08-25 08:29:30,,897993246.425768,
2025-08-25 08:29:35,,928585169.9759972,
2025-08-25 08:29:40,,949648498.2618495,
2025-08-25 08:29:45,,929646153.319828,
2025-08-25 08:29:50,,923455010.2772313,
2025-08-25 08:29:55,,917263867.2346346,
2025-08-25 08:30:00,,885486335.2766583,
2025-08-25 08:30:05,,949599700.2854055,
2025-08-25 08:30:10,,949633306.9985574,
2025-08-25 08:30:15,,949633306.9985574,
2025-08-25 08:30:20,,949568798.4627751,
2025-08-25 08:30:25,,925357513.6263422,
2025-08-25 08:30:30,,907890938.6154883,
2025-08-25 08:30:35,,940531165.0522132,
2025-08-25 08:30:40,,949625331.523367,
2025-08-25 08:30:45,,949625331.523367,
2025-08-25 08:30:50,,925955406.1265455,
2025-08-25 08:30:55,,850747151.4083753,
2025-08-25 08:31:00,,893286628.8501937,
2025-08-25 08:31:05,,949868943.2634969,
2025-08-25 08:31:10,,949824953.2333322,
2025-08-25 08:31:15,,949824953.2333322,
2025-08-25 08:31:20,,913761387.3476822,
2025-08-25 08:31:25,,890910156.4212283,
2025-08-25 08:31:30,,878338811.6170658,
2025-08-25 08:31:35,,948662236.4771409,
2025-08-25 08:31:40,,948521647.696708,
2025-08-25 08:31:45,,948521647.696708,
2025-08-25 08:31:50,,948521612.1683612,
2025-08-25 08:31:55,,905182269.7828069,
2025-08-25 08:32:00,,922503463.6276425,
2025-08-25 08:32:05,,948089048.4712328,
2025-08-25 08:32:10,,948156928.331104,
2025-08-25 08:32:15,,948156928.3311039,
2025-08-25 08:32:20,,923201489.0208967,
2025-08-25 08:32:25,,887879617.2739767,
2025-08-25 08:32:30,,923205640.7317499,
2025-08-25 08:32:35,,948015002.2800163,
2025-08-25 08:32:40,,948272867.339189,
2025-08-25 08:32:45,,948272867.339189,
2025-08-25 08:32:50,,948272858.5804021,
2025-08-25 08:32:55,,948297174.5685447,
2025-08-25 08:33:00,,904687185.192637,
2025-08-25 08:33:05,,922305175.9729823,
2025-08-25 08:33:10,,949621741.0157171,
2025-08-25 08:33:15,,949621741.0157171,
2025-08-25 08:33:20,,949621669.6938597,
2025-08-25 08:33:25,,949910750.7882589,
2025-08-25 08:33:30,,949825173.7741021,
