Time,{},{},{}
2025-08-25 08:04:00,262176385.53735554,,
2025-08-25 08:04:05,327641494.72466016,,
2025-08-25 08:04:10,344499443.10456693,,
2025-08-25 08:04:15,361357389.5872345,,
2025-08-25 08:04:20,378178915.2195235,,
2025-08-25 08:04:25,403803400.06154954,,
2025-08-25 08:04:30,430880333.8529793,,
2025-08-25 08:04:35,487720361.65203965,,
2025-08-25 08:04:40,512586218.82553184,,
2025-08-25 08:04:45,537452076.2624395,,
2025-08-25 08:04:50,562758167.1062031,,
2025-08-25 08:04:55,587084282.2032864,,
2025-08-25 08:05:00,563148962.3175707,,
2025-08-25 08:05:05,605807771.8141689,,
2025-08-25 08:05:10,605807771.8141689,,
2025-08-25 08:05:15,605807771.8141689,,
2025-08-25 08:05:20,605807660.5800766,,
2025-08-25 08:05:25,605691730.6733831,,
2025-08-25 08:05:30,587652769.0778457,,
2025-08-25 08:05:35,608477709.0443933,,
2025-08-25 08:05:40,608477709.0443933,,
2025-08-25 08:05:45,608477709.0443933,,
2025-08-25 08:05:50,608477675.9487438,,
2025-08-25 08:05:55,590980915.1520332,,
2025-08-25 08:06:00,592183979.5741887,,
2025-08-25 08:06:05,592931332.8502415,,
2025-08-25 08:06:10,606859053.495193,,
2025-08-25 08:06:15,606859053.495193,,
2025-08-25 08:06:20,579868461.0534521,,
2025-08-25 08:06:25,572073158.143974,,
2025-08-25 08:06:30,549642729.9781511,,
2025-08-25 08:06:35,554468236.4789016,,
2025-08-25 08:06:40,606335648.6477628,,
2025-08-25 08:06:45,606335648.6477628,,
2025-08-25 08:06:50,606335648.6477628,,
2025-08-25 08:06:55,576728043.9474158,,
2025-08-25 08:07:00,588139128.5454516,,
2025-08-25 08:07:05,605369247.4568863,,
2025-08-25 08:07:10,605369244.0306805,,
2025-08-25 08:07:15,605369244.0306805,,
2025-08-25 08:07:20,605369244.0306805,,
2025-08-25 08:07:25,605484154.1836861,,
2025-08-25 08:07:30,590703608.4593759,,
2025-08-25 08:07:35,607125243.835003,,
2025-08-25 08:07:40,607125302.1442058,,
2025-08-25 08:07:45,607125302.1442058,,
