Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-25 08:04:00,15532374.701826667,,
2025-08-25 08:05:00,35615257.31363514,,
2025-08-25 08:06:00,39665895.75652174,,
2025-08-25 08:07:00,39663297.77391304,,
2025-08-25 08:08:00,36227094.45217391,,
2025-08-25 08:09:00,39673249.069565214,,
2025-08-25 08:10:00,39676225.29565217,,
2025-08-25 08:11:00,37087548.03478261,,
2025-08-25 08:12:00,36234336.53043478,,
2025-08-25 08:13:00,36526870.73043478,,
2025-08-25 08:14:00,41623941.67826087,,
2025-08-25 08:24:00,,35071627.67826087,
2025-08-25 08:25:00,,57943579.052173905,
2025-08-25 08:26:00,,58352467.60869565,
2025-08-25 08:27:00,,51311173.68695652,
2025-08-25 08:28:00,,55869566.782608695,
2025-08-25 08:29:00,,55892168.16521739,
2025-08-25 08:30:00,,55334267.70434783,
2025-08-25 08:31:00,,56245590.59130435,
2025-08-25 08:32:00,,55864045.71304347,
2025-08-25 08:33:00,,55804604.35652174,
2025-08-25 08:34:00,,55335775.32173912,
2025-08-25 08:43:00,,,35235873.67826087
2025-08-25 08:44:00,,,89849268.7826087
2025-08-25 08:45:00,,,106867262.0
2025-08-25 08:46:00,,,110848965.11304349
2025-08-25 08:47:00,,,106935934.85217391
2025-08-25 08:48:00,,,107347145.50434782
2025-08-25 08:49:00,,,111505673.55652173
2025-08-25 08:50:00,,,98383934.66086957
2025-08-25 08:51:00,,,107499005.67826086
2025-08-25 08:52:00,,,97852277.86956522
2025-08-25 08:53:00,,,111612591.93913044
