Time,"flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.29:9249"",job=""default/flink-pod-monitor"",job_id=""1c6573032ea8459052bec178f46af2ab"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-c4skm""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.20:9249"",job=""default/flink-pod-monitor"",job_id=""59e9ad26abbc610fc3590a439dbbd29e"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-7b7645c9d5-fdz5r""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.28:9249"",job=""default/flink-pod-monitor"",job_id=""3fa9c8bd1c9146b213f6c96c50b02a56"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-2bx9c""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.23:9249"",job=""default/flink-pod-monitor"",job_id=""10d19bf1284db86a0dd531704325d192"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-xbmct""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.26:9249"",job=""default/flink-pod-monitor"",job_id=""0429d5fda0532d1d5e070d772c6162ec"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-27c77""}"
2025-07-23 12:17:30,,806.0,,,
2025-07-23 12:18:00,,752.0,,,
2025-07-23 12:18:30,,763.0,,,
2025-07-23 12:19:00,,752.0,,,
2025-07-23 12:19:30,,952.0,,,
2025-07-23 12:20:00,,711.0,,,
2025-07-23 12:20:30,,675.0,,,
2025-07-23 12:21:00,,776.0,,,
2025-07-23 12:35:00,,,,784.0,
2025-07-23 12:35:30,,,,739.0,
2025-07-23 12:36:00,,,,829.0,
2025-07-23 12:36:30,,,,781.0,
2025-07-23 12:37:00,,,,732.0,
2025-07-23 12:37:30,,,,706.0,
2025-07-23 12:38:00,,,,832.0,
2025-07-23 12:38:30,,,,695.0,
2025-07-23 12:39:00,,,,748.0,
2025-07-23 12:39:30,,,,737.0,
2025-07-23 12:40:00,,,,825.0,
2025-07-23 13:09:00,,,,,593.0
2025-07-23 13:09:30,,,,,695.0
2025-07-23 13:10:00,,,,,775.0
2025-07-23 13:10:30,,,,,649.0
2025-07-23 13:11:00,,,,,753.0
2025-07-23 13:11:30,,,,,656.0
2025-07-23 13:12:00,,,,,916.0
2025-07-23 13:12:30,,,,,689.0
2025-07-23 13:13:00,,,,,765.0
2025-07-23 13:13:30,,,,,689.0
2025-07-23 13:14:00,,,,,797.0
2025-07-23 13:20:00,,,697.0,,
2025-07-23 13:20:30,,,791.0,,
2025-07-23 13:21:00,,,695.0,,
2025-07-23 13:21:30,,,693.0,,
2025-07-23 13:22:00,,,740.0,,
2025-07-23 13:22:30,,,770.0,,
2025-07-23 13:23:00,,,757.0,,
2025-07-23 13:23:30,,,740.0,,
2025-07-23 13:24:00,,,769.0,,
2025-07-23 13:24:30,,,959.0,,
2025-07-23 13:25:00,,,733.0,,
2025-07-23 13:30:00,453.0,,,,
2025-07-23 13:30:30,461.0,,,,
2025-07-23 13:31:00,455.0,,,,
2025-07-23 13:31:30,678.0,,,,
2025-07-23 13:32:00,433.0,,,,
2025-07-23 13:32:30,435.0,,,,
2025-07-23 13:33:00,518.0,,,,
2025-07-23 13:33:30,940.0,,,,
2025-07-23 13:34:00,427.0,,,,
2025-07-23 13:34:30,432.0,,,,
2025-07-23 13:35:00,444.0,,,,
