Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadFileStream""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.StatVol""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadFileStream""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadFileStream""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.StatVol""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-08 12:48:00,268978.0,304.0,271.0,3717.0,838.0,52.0,303.0,84.0,362.0,391.0,363.0,105474.0,82517.0,1780.0,82822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 12:49:00,314786.0,322.0,304.0,1290.0,830.0,71.0,235.0,,410.0,392.0,372.0,102044.0,145545.0,1744.0,122832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 12:50:00,333370.0,299.0,325.0,1296.0,825.0,51.0,194.0,,303.0,376.0,358.0,103591.0,79614.0,1467.0,69188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 12:51:00,313021.0,289.0,241.0,1097.0,767.0,55.0,186.0,,234.0,373.0,358.0,103269.0,71752.0,1262.0,79011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 12:52:00,344852.0,318.0,365.0,2246.0,939.0,50.0,178.0,,406.0,424.0,399.0,108161.0,86213.0,2207.0,66213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 12:53:00,344852.0,318.0,365.0,2246.0,939.0,50.0,178.0,,406.0,424.0,399.0,108161.0,86213.0,2207.0,66213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 12:56:00,,,,,,,,,,,,,,,,378654.0,308.0,281.0,1180.0,836.0,57.0,216.0,,,290.0,376.0,357.0,106717.0,73423.0,,1734.0,108603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 12:57:00,,,,,,,,,,,,,,,,429527.0,295.0,265.0,3198.0,796.0,62.0,229.0,,,274.0,363.0,345.0,109381.0,83959.0,,1485.0,72338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 12:58:00,,,,,,,,,,,,,,,,,321.0,,,960.0,360.0,200.0,,,,,307.0,86563.0,,132.0,3466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 12:59:00,,,,,,,,,,,,,,,,,395.0,,,,235.0,322.0,106.0,,,,445.0,183292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:00:00,,,,,,,,,,,,,,,,,426.0,,,,338.0,338.0,,,,,377.0,175669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:01:00,,,,,,,,,,,,,,,,208522.0,345.0,280.0,,4074.0,26.0,232.0,,174.0,243.0,379.0,321.0,143457.0,143003.0,,1186.0,157168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216216.0,328.0,329.0,1236.0,754.0,112.0,1837.0,,165.0,346.0,322.0,307.0,111431.0,91460.0,2205.0,73408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378132.0,310.0,289.0,1247.0,764.0,46.0,1376.0,,164.0,258.0,377.0,307.0,103799.0,79553.0,2613.0,67178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210007.0,343.0,342.0,1195.0,734.0,73.0,1961.0,,166.0,283.0,332.0,305.0,122864.0,87349.0,1518.0,72648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462040.0,293.0,277.0,1287.0,736.0,48.0,1444.0,,166.0,302.0,361.0,308.0,124454.0,95397.0,2099.0,82301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218558.0,335.0,363.0,1341.0,772.0,93.0,1209.0,80.0,167.0,376.0,368.0,304.0,116912.0,66193.0,1616.0,69292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545022.0,301.0,287.0,1186.0,765.0,48.0,1404.0,,163.0,325.0,353.0,306.0,115729.0,100425.0,2019.0,81725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228915.0,289.0,429.0,1276.0,838.0,65.0,1119.0,,162.0,287.0,356.0,304.0,113120.0,99769.0,171.0,1626.0,78182.0,,,,,,,,,,,,,,,
2025-08-08 13:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,,,,373.0,1417.0,77.0,,,,315.0,97359.0,,,,,,,,,,,,,,,,,,,
2025-08-08 13:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.0,,,,396.0,180.0,,,,,397.0,157636.0,,,,,,,,,,,,,,,,,,,
2025-08-08 13:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.0,,,6636.0,43.0,578.0,,,,,324.0,168225.0,,,1268.0,,,,,,,,,,,,,,,,
2025-08-08 13:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191125.0,331.0,291.0,1213.0,1476.0,36.0,715.0,,,301.0,388.0,325.0,129973.0,90446.0,,1192.0,95551.0,,,,,,,,,,,,,,,
2025-08-08 13:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252475.0,309.0,269.0,1215.0,794.0,92.0,197.0,,,333.0,377.0,362.0,128708.0,74571.0,,1400.0,96199.0,,,,,,,,,,,,,,,
2025-08-08 13:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291372.0,341.0,378.0,1224.0,838.0,67.0,240.0,,275.0,370.0,343.0,108748.0,85125.0,1579.0,239387.0
2025-08-08 13:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291372.0,341.0,378.0,1224.0,838.0,67.0,240.0,,275.0,370.0,343.0,108748.0,85125.0,1579.0,239387.0
2025-08-08 13:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360857.0,295.0,268.0,1443.0,846.0,73.0,230.0,,332.0,414.0,372.0,143890.0,91999.0,1459.0,71356.0
2025-08-08 13:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218623.0,225.0,267.0,1271.0,795.0,54.0,228.0,,386.0,387.0,345.0,82296.0,111767.0,1525.0,94917.0
2025-08-08 13:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461875.0,337.0,318.0,1464.0,823.0,100.0,275.0,113.0,342.0,394.0,355.0,122333.0,80581.0,1627.0,91438.0
2025-08-08 13:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232418.0,318.0,346.0,1405.0,811.0,89.0,186.0,,297.0,377.0,360.0,121803.0,78761.0,1564.0,68148.0
