Time,{},{},{},{},{}
2025-07-23 12:17:30,,10109350.56261002,,,
2025-07-23 12:17:35,,9939332.365869295,,,
2025-07-23 12:17:40,,10202644.736252312,,,
2025-07-23 12:17:45,,10749141.562960586,,,
2025-07-23 12:17:50,,11516963.889958598,,,
2025-07-23 12:17:55,,11740736.940983117,,,
2025-07-23 12:18:00,,11751794.685247358,,,
2025-07-23 12:18:05,,11762852.4295116,,,
2025-07-23 12:18:10,,11678211.338635858,,,
2025-07-23 12:18:15,,12157653.45131107,,,
2025-07-23 12:18:20,,12246070.280695077,,,
2025-07-23 12:18:25,,12483612.933998106,,,
2025-07-23 12:18:30,,12492686.643918952,,,
2025-07-23 12:18:35,,12501760.353839798,,,
2025-07-23 12:18:40,,12568130.72265197,,,
2025-07-23 12:18:45,,12806391.441250704,,,
2025-07-23 12:18:50,,13253894.04826161,,,
2025-07-23 12:18:55,,13583130.07103029,,,
2025-07-23 12:19:00,,13591812.561576607,,,
2025-07-23 12:19:05,,13600495.052122923,,,
2025-07-23 12:19:10,,13496942.529265834,,,
2025-07-23 12:19:15,,14496976.514461523,,,
2025-07-23 12:19:20,,15496663.41481098,,,
2025-07-23 12:19:25,,16680398.753477093,,,
2025-07-23 12:19:30,,16693531.852644887,,,
2025-07-23 12:19:35,,16706664.95181268,,,
2025-07-23 12:19:40,,16201595.489001028,,,
2025-07-23 12:19:45,,16179028.000725273,,,
2025-07-23 12:19:50,,15691020.797836347,,,
2025-07-23 12:19:55,,16146920.27421157,,,
2025-07-23 12:20:00,,16278573.507335667,,,
2025-07-23 12:20:05,,16495178.92836704,,,
2025-07-23 12:20:10,,16648692.188576154,,,
2025-07-23 12:20:15,,16798819.835704647,,,
2025-07-23 12:20:20,,16538731.255991468,,,
2025-07-23 12:20:25,,16407158.671578862,,,
2025-07-23 12:20:30,,16407158.671578862,,,
2025-07-23 12:20:35,,16334913.955541603,,,
2025-07-23 12:20:40,,15490866.177130463,,,
2025-07-23 12:20:45,,15555652.742449436,,,
2025-07-23 12:20:50,,15615288.47663027,,,
2025-07-23 12:20:55,,15813733.804595225,,,
2025-07-23 12:21:00,,15813733.804595225,,,
2025-07-23 12:35:00,,,,10400388.949370189,
2025-07-23 12:35:05,,,,10384897.33758554,
2025-07-23 12:35:10,,,,9853833.835168164,
2025-07-23 12:35:15,,,,9491447.71482255,
2025-07-23 12:35:20,,,,8923919.032308917,
2025-07-23 12:35:25,,,,8080206.878678287,
2025-07-23 12:35:30,,,,8083879.230002911,
2025-07-23 12:35:35,,,,8087937.338670234,
2025-07-23 12:35:40,,,,8059825.805436309,
2025-07-23 12:35:45,,,,7589666.99861752,
2025-07-23 12:35:50,,,,8116028.806501555,
2025-07-23 12:35:55,,,,7542825.69242953,
2025-07-23 12:36:00,,,,7549877.335166947,
2025-07-23 12:36:05,,,,7556928.977904363,
2025-07-23 12:36:10,,,,7626087.03080202,
2025-07-23 12:36:15,,,,7833404.905229884,
2025-07-23 12:36:20,,,,6900400.987156634,
2025-07-23 12:36:25,,,,6869528.534682669,
2025-07-23 12:36:30,,,,6963848.750257125,
2025-07-23 12:36:35,,,,7058168.965831581,
2025-07-23 12:36:40,,,,6866195.378916218,
2025-07-23 12:36:45,,,,7128138.04436278,
2025-07-23 12:36:50,,,,7370929.836034339,
2025-07-23 12:36:55,,,,7680520.83963817,
2025-07-23 12:37:00,,,,7793477.779881517,
2025-07-23 12:37:05,,,,7906434.720124862,
2025-07-23 12:37:10,,,,8103691.089881509,
2025-07-23 12:37:15,,,,8420566.95216375,
2025-07-23 12:37:20,,,,8620347.167593904,
2025-07-23 12:37:25,,,,8835986.197836677,
2025-07-23 12:37:30,,,,8949595.010749819,
2025-07-23 12:37:35,,,,9063203.823662959,
2025-07-23 12:37:40,,,,9220652.333287414,
2025-07-23 12:37:45,,,,10584803.22428864,
2025-07-23 12:37:50,,,,10770091.112464333,
2025-07-23 12:37:55,,,,11604803.851616709,
2025-07-23 12:38:00,,,,11722037.786598634,
2025-07-23 12:38:05,,,,11839271.721580558,
2025-07-23 12:38:10,,,,11994692.414248286,
2025-07-23 12:38:15,,,,12350373.928695878,
2025-07-23 12:38:20,,,,12669522.76169987,
2025-07-23 12:38:25,,,,13336825.540597884,
2025-07-23 12:38:30,,,,13345237.592301037,
2025-07-23 12:38:35,,,,13353649.644004192,
2025-07-23 12:38:40,,,,13362061.080684071,
2025-07-23 12:38:45,,,,13274329.507833788,
2025-07-23 12:38:50,,,,13818744.560071016,
2025-07-23 12:38:55,,,,13925858.18968471,
2025-07-23 12:39:00,,,,13934334.566876588,
2025-07-23 12:39:05,,,,13939950.979943177,
2025-07-23 12:39:10,,,,13794862.70790994,
2025-07-23 12:39:15,,,,13646480.08392111,
2025-07-23 12:39:20,,,,14063980.474037167,
2025-07-23 12:39:25,,,,14060977.478124037,
2025-07-23 12:39:30,,,,14060977.478124037,
2025-07-23 12:39:35,,,,14060977.478124037,
2025-07-23 12:39:40,,,,14158946.968680108,
2025-07-23 12:39:45,,,,14685002.55666493,
2025-07-23 12:39:50,,,,15913133.24110718,
2025-07-23 12:39:55,,,,16603354.659497539,
2025-07-23 12:40:00,,,,16603354.659497539,
2025-07-23 13:09:00,,,,,12041275.591925472
2025-07-23 13:09:05,,,,,12041275.591925472
2025-07-23 13:09:10,,,,,12037638.763324136
2025-07-23 13:09:15,,,,,9572636.739573075
2025-07-23 13:09:20,,,,,11625175.963479066
2025-07-23 13:09:25,,,,,12114395.368559528
