Time,"{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{bucket=""mybucket"",container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-08 13:45:00,2771728.452173913,,,,
2025-08-08 13:46:00,6757013.252173913,,,,
2025-08-08 13:47:00,6594881.8782608695,,,,
2025-08-08 13:48:00,6422862.147826087,,,,
2025-08-08 13:49:00,6426165.634782609,,,,
2025-08-08 13:50:00,6422139.026086956,,,,
2025-08-08 13:53:00,,17096632.53043478,,,
2025-08-08 13:54:00,,19416452.860869568,,,
2025-08-08 13:55:00,,19748902.47826087,,,
2025-08-08 13:56:00,,19598706.44347826,,,
2025-08-08 13:57:00,,19927069.426086955,,,
2025-08-08 13:58:00,,18988192.895652175,,,
2025-08-08 14:01:00,,,25821682.939130433,,
2025-08-08 14:02:00,,,31553647.617391303,,
2025-08-08 14:03:00,,,26681230.60869565,,
2025-08-08 14:04:00,,,26515664.156521738,,
2025-08-08 14:05:00,,,27815189.00869565,,
2025-08-08 14:06:00,,,26514098.669565216,,
2025-08-08 14:09:00,,,,18787998.626086954,
2025-08-08 14:10:00,,,,43877212.39130435,
2025-08-08 14:11:00,,,,55407903.156521745,
2025-08-08 14:12:00,,,,53318706.37391304,
2025-08-08 14:13:00,,,,56135981.82608696,
2025-08-08 14:14:00,,,,51515872.8,
2025-08-08 14:17:00,,,,,2129294.365217391
2025-08-08 14:18:00,,,,,1619565.756521739
2025-08-08 14:19:00,,,,,1671504.5043478261
2025-08-08 14:20:00,,,,,1585764.243478261
2025-08-08 14:21:00,,,,,1556343.895652174
2025-08-08 14:22:00,,,,,1536795.4869565216
