Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadFileStream""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-08 13:45:00,595593.0,179.0,235.0,647.0,333.0,40.0,124.0,28.0,138.0,208.0,208.0,6545.0,3300.0,821.0,4343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:46:00,724110.0,183.0,232.0,663.0,352.0,29.0,96.0,,146.0,175.0,188.0,59567.0,3115.0,954.0,3590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:47:00,818925.0,169.0,185.0,609.0,306.0,33.0,90.0,,128.0,179.0,208.0,30671.0,2800.0,823.0,3949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:48:00,587222.0,198.0,159.0,637.0,299.0,28.0,99.0,,141.0,224.0,218.0,31138.0,2329.0,870.0,4075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:49:00,738344.0,156.0,184.0,627.0,311.0,35.0,72.0,,118.0,171.0,197.0,44852.0,2465.0,927.0,3132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:50:00,608067.0,176.0,189.0,647.0,332.0,34.0,119.0,75.0,118.0,289.0,212.0,48098.0,2926.0,844.0,3810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:53:00,,,,,,,,,,,,,,,,343178.0,152.0,150.0,692.0,382.0,28.0,74.0,,132.0,220.0,240.0,4173.0,2683.0,799.0,4757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:54:00,,,,,,,,,,,,,,,,356965.0,150.0,145.0,693.0,390.0,23.0,52.0,,128.0,215.0,225.0,6581.0,2945.0,800.0,3507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:55:00,,,,,,,,,,,,,,,,334954.0,151.0,171.0,720.0,386.0,26.0,65.0,50.0,155.0,180.0,228.0,3294.0,2936.0,818.0,5871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:56:00,,,,,,,,,,,,,,,,317309.0,167.0,147.0,687.0,374.0,27.0,61.0,,139.0,179.0,225.0,5778.0,2848.0,781.0,3654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:57:00,,,,,,,,,,,,,,,,316592.0,153.0,134.0,697.0,372.0,23.0,80.0,,120.0,203.0,223.0,5765.0,2935.0,816.0,4847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 13:58:00,,,,,,,,,,,,,,,,319515.0,142.0,141.0,710.0,377.0,24.0,124.0,,113.0,171.0,218.0,6368.0,2123.0,792.0,3632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 14:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525301.0,141.0,148.0,703.0,393.0,16.0,93.0,,267.0,285.0,227.0,5159.0,3304.0,809.0,7077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 14:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267699.0,161.0,132.0,709.0,398.0,17.0,109.0,,125.0,183.0,215.0,5539.0,2785.0,807.0,4817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 14:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256071.0,154.0,149.0,702.0,388.0,20.0,83.0,,137.0,163.0,212.0,4773.0,2966.0,768.0,4829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 14:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256071.0,154.0,149.0,702.0,388.0,20.0,83.0,,137.0,163.0,212.0,4773.0,2966.0,768.0,4829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 14:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260687.0,158.0,189.0,746.0,381.0,20.0,86.0,,129.0,217.0,209.0,5952.0,2824.0,794.0,5242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 14:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257134.0,164.0,185.0,713.0,375.0,20.0,118.0,40.0,267.0,212.0,203.0,6243.0,3030.0,790.0,3886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 14:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590227.0,190.0,,1215.0,536.0,17.0,115.0,,,,236.0,4919.0,,669.0,,,,,,,,,,,,,,,,,
2025-08-08 14:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577570.0,164.0,237.0,714.0,383.0,16.0,197.0,,181.0,181.0,223.0,6852.0,2999.0,798.0,3791.0,,,,,,,,,,,,,,,,
2025-08-08 14:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222566.0,157.0,184.0,716.0,386.0,8.0,84.0,68.0,134.0,156.0,211.0,9424.0,3181.0,784.0,3900.0,,,,,,,,,,,,,,,,
2025-08-08 14:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218516.0,148.0,149.0,705.0,380.0,9.0,68.0,,136.0,173.0,199.0,10267.0,3079.0,797.0,4008.0,,,,,,,,,,,,,,,,
2025-08-08 14:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214672.0,152.0,146.0,728.0,387.0,9.0,67.0,,181.0,236.0,197.0,10872.0,2867.0,801.0,3817.0,,,,,,,,,,,,,,,,
2025-08-08 14:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213950.0,163.0,156.0,755.0,378.0,8.0,80.0,,133.0,196.0,203.0,10268.0,2746.0,796.0,3844.0,,,,,,,,,,,,,,,,
2025-08-08 14:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766166.0,203.0,216.0,1309.0,611.0,12.0,112.0,,105.0,160.0,209.0,184.0,4617.0,10019.0,600.0,5666.0
2025-08-08 14:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565137.0,182.0,168.0,887.0,445.0,33.0,398.0,,100.0,158.0,190.0,177.0,6123.0,2449.0,1673.0,3948.0
2025-08-08 14:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193721.0,193.0,178.0,802.0,476.0,43.0,374.0,,103.0,148.0,177.0,180.0,5644.0,2497.0,928.0,19433.0
2025-08-08 14:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450850.0,176.0,186.0,824.0,430.0,35.0,2415.0,,101.0,141.0,214.0,176.0,6951.0,4907.0,1142.0,16335.0
2025-08-08 14:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152136.0,243.0,155.0,784.0,423.0,53.0,7999.0,91.0,102.0,138.0,201.0,180.0,6315.0,5423.0,975.0,4253.0
2025-08-08 14:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344138.0,180.0,162.0,905.0,399.0,34.0,488.0,,101.0,148.0,171.0,180.0,6186.0,17210.0,1399.0,41459.0
