Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-08 13:45:00,4475514.895652174,,,,
2025-08-08 13:46:00,6787681.9826086955,,,,
2025-08-08 13:47:00,6641516.27826087,,,,
2025-08-08 13:48:00,6477866.782608696,,,,
2025-08-08 13:49:00,4864137.095652174,,,,
2025-08-08 13:50:00,4859542.669565218,,,,
2025-08-08 13:53:00,,16463399.182608696,,,
2025-08-08 13:54:00,,17475756.72173913,,,
2025-08-08 13:55:00,,19907120.826086953,,,
2025-08-08 13:56:00,,17825753.695652172,,,
2025-08-08 13:57:00,,20535294.660869565,,,
2025-08-08 13:58:00,,17465146.07826087,,,
2025-08-08 14:01:00,,,23420554.460869562,,
2025-08-08 14:02:00,,,33000983.791304346,,
2025-08-08 14:03:00,,,26788072.243478257,,
2025-08-08 14:04:00,,,27953620.965217393,,
2025-08-08 14:05:00,,,26829741.84347826,,
2025-08-08 14:06:00,,,27974643.23478261,,
2025-08-08 14:09:00,,,,17321295.626086958,
2025-08-08 14:10:00,,,,46273004.90434782,
2025-08-08 14:11:00,,,,52619891.573913045,
2025-08-08 14:12:00,,,,53954666.39130435,
2025-08-08 14:13:00,,,,51797010.49565218,
2025-08-08 14:14:00,,,,51833308.51304348,
2025-08-08 14:17:00,,,,,902703428.8521739
2025-08-08 14:18:00,,,,,1474145415.1391304
2025-08-08 14:19:00,,,,,1634656616.373913
2025-08-08 14:20:00,,,,,1573263920.7652173
2025-08-08 14:21:00,,,,,1584802285.2086957
2025-08-08 14:22:00,,,,,1618236454.5652173
