Time,{},{},{}
2025-08-21 11:38:00,574311231.5722834,,
2025-08-21 11:38:05,612958026.1760476,,
2025-08-21 11:38:10,652297628.1730796,,
2025-08-21 11:38:15,670254700.404287,,
2025-08-21 11:38:20,703879648.2256799,,
2025-08-21 11:38:25,772436792.4568172,,
2025-08-21 11:38:30,813273952.867081,,
2025-08-21 11:38:35,852779710.4970783,,
2025-08-21 11:38:40,892255774.860912,,
2025-08-21 11:38:45,931388885.2949561,,
2025-08-21 11:38:50,907607495.8969079,,
2025-08-21 11:38:55,910983269.2799532,,
2025-08-21 11:39:00,939360902.9068118,,
2025-08-21 11:39:05,962814398.126763,,
2025-08-21 11:39:10,962814398.126763,,
2025-08-21 11:39:15,938377726.7865585,,
2025-08-21 11:39:20,931714882.6433065,,
2025-08-21 11:39:25,877356064.7474115,,
2025-08-21 11:39:30,967858437.0588737,,
2025-08-21 11:39:35,968488970.3248981,,
2025-08-21 11:39:40,968488970.3248981,,
2025-08-21 11:39:45,969053321.0754156,,
2025-08-21 11:39:50,968834902.9785782,,
2025-08-21 11:39:55,969573753.6100076,,
2025-08-21 11:40:00,942560063.8527317,,
2025-08-21 11:40:05,970031209.0823659,,
2025-08-21 11:40:10,970031209.0823659,,
2025-08-21 11:40:15,970321615.9571459,,
2025-08-21 11:40:20,946264401.8301553,,
2025-08-21 11:40:25,946797503.5990773,,
2025-08-21 11:40:30,939495986.2721004,,
2025-08-21 11:40:35,971162008.2695096,,
2025-08-21 11:40:40,971162008.2695096,,
2025-08-21 11:40:45,931668007.977705,,
2025-08-21 11:40:50,938214463.6993318,,
2025-08-21 11:40:55,887449201.4119422,,
2025-08-21 11:41:00,919723328.1926408,,
2025-08-21 11:41:05,968210034.7757257,,
2025-08-21 11:41:10,968210029.3879293,,
2025-08-21 11:41:15,921628631.9947102,,
2025-08-21 11:41:20,908407472.8219082,,
2025-08-21 11:41:25,878195790.7847311,,
2025-08-21 11:41:30,915717183.2359377,,
2025-08-21 11:41:35,969596282.707266,,
2025-08-21 11:41:40,969596282.707266,,
2025-08-21 11:41:45,969596312.14197,,
2025-08-21 11:41:50,919661350.9179956,,
2025-08-21 11:41:55,934858957.0825559,,
2025-08-21 11:42:00,917018657.4782684,,
2025-08-21 11:42:05,964008350.6626817,,
2025-08-21 11:42:10,964008350.6626817,,
2025-08-21 11:42:15,940518468.8322496,,
2025-08-21 11:42:20,933820474.0381066,,
2025-08-21 11:42:25,849635801.4590386,,
2025-08-21 11:42:30,895943034.5283597,,
2025-08-21 11:42:35,964981108.58658,,
2025-08-21 11:42:40,964981108.58658,,
2025-08-21 11:42:45,928447424.9227805,,
2025-08-21 11:42:50,934593149.9059496,,
2025-08-21 11:42:55,911388272.8149416,,
2025-08-21 11:43:00,938115811.4617922,,
2025-08-21 11:43:05,964930104.0039203,,
2025-08-21 11:43:10,964930104.0039203,,
2025-08-21 11:43:15,965169852.0685158,,
2025-08-21 11:43:20,940889741.2987962,,
2025-08-21 11:43:25,945656839.639124,,
2025-08-21 11:43:30,971134527.1351169,,
2025-08-21 11:43:35,971738861.6060817,,
2025-08-21 11:43:40,971738861.6060817,,
2025-08-21 11:43:45,948603419.3287194,,
2025-08-21 11:43:50,875621429.6947534,,
2025-08-21 11:43:55,828260281.942466,,
2025-08-21 11:44:00,921867045.8048503,,
2025-08-21 11:44:05,975317044.9127617,,
2025-08-21 11:44:10,975317044.9127617,,
2025-08-21 11:44:15,975317044.9127617,,
2025-08-21 11:44:20,975317038.1933177,,
2025-08-21 11:44:25,974901965.8687987,,
2025-08-21 11:44:30,920647013.8711874,,
2025-08-21 11:44:35,973943644.2190505,,
2025-08-21 11:44:40,973943644.2190505,,
2025-08-21 11:44:45,973943417.5986272,,
2025-08-21 11:44:50,973943317.6723238,,
2025-08-21 11:44:55,945222016.614555,,
2025-08-21 11:45:00,971412596.3088735,,
2025-08-21 11:45:05,971402265.7641436,,
2025-08-21 11:45:10,971402265.7641436,,
2025-08-21 11:45:15,931443163.7833625,,
2025-08-21 11:45:20,938168352.7428123,,
2025-08-21 11:45:25,889188508.7258893,,
2025-08-21 11:45:30,969407309.0298555,,
2025-08-21 11:45:35,969407545.4106181,,
2025-08-21 11:45:40,969407545.4106181,,
2025-08-21 11:45:45,969251518.9890192,,
2025-08-21 11:45:50,969228796.9167502,,
2025-08-21 11:45:55,938979942.9331717,,
2025-08-21 11:46:00,945999185.0638791,,
2025-08-21 11:46:05,969721135.3488121,,
2025-08-21 11:46:10,969721135.3488121,,
2025-08-21 11:46:15,945198973.4882522,,
2025-08-21 11:46:20,915424454.299757,,
2025-08-21 11:46:25,911273182.1677185,,
2025-08-21 11:46:30,972165939.9228235,,
2025-08-21 11:46:35,972047155.9024683,,
2025-08-21 11:46:40,972047155.9024683,,
2025-08-21 11:46:45,972047121.7345167,,
2025-08-21 11:46:50,917683777.449627,,
2025-08-21 11:46:55,945057147.2067087,,
2025-08-21 11:47:00,948055344.1075757,,
2025-08-21 11:47:05,970277603.0626786,,
2025-08-21 11:47:10,970277603.0626786,,
2025-08-21 11:47:15,970277603.0626786,,
2025-08-21 11:47:20,970277304.1785867,,
2025-08-21 11:47:25,916244275.669996,,
2025-08-21 11:47:30,970742681.8156495,,
2025-08-21 11:47:35,970742893.5115519,,
2025-08-21 11:47:40,970742893.5115519,,
2025-08-21 11:47:45,931948192.5288653,,
2025-08-21 11:47:50,914812446.6168633,,
2025-08-21 11:47:55,942797514.7628454,,
2025-08-21 11:48:00,967185843.3620126,,
2025-08-21 11:58:00,,564302390.8407959,
2025-08-21 11:58:05,,593658450.7653456,
2025-08-21 11:58:10,,606861646.8391575,
2025-08-21 11:58:15,,632048860.6170104,
2025-08-21 11:58:20,,655471631.7475685,
2025-08-21 11:58:25,,679622110.64776,
2025-08-21 11:58:30,,760204757.8878714,
2025-08-21 11:58:35,,782743034.6081822,
2025-08-21 11:58:40,,782743034.6081822,
2025-08-21 11:58:45,,782743034.6081822,
2025-08-21 11:58:50,,753628233.1051865,
2025-08-21 11:58:55,,759110590.1960181,
2025-08-21 11:59:00,,777878121.3494294,
2025-08-21 11:59:05,,778148137.6602558,
2025-08-21 11:59:10,,778148137.6602558,
2025-08-21 11:59:15,,778148137.6602558,
2025-08-21 11:59:20,,778147892.156764,
2025-08-21 11:59:25,,757359300.9100374,
2025-08-21 11:59:30,,782203142.2134603,
2025-08-21 11:59:35,,783576578.543148,
2025-08-21 11:59:40,,783576578.543148,
2025-08-21 11:59:45,,752220734.0000542,
2025-08-21 11:59:50,,738686063.5351169,
2025-08-21 11:59:55,,764288023.7243223,
2025-08-21 12:00:00,,762657302.1402612,
2025-08-21 12:00:05,,787067995.3527719,
2025-08-21 12:00:10,,787067995.3527719,
2025-08-21 12:00:15,,787067995.3527719,
2025-08-21 12:00:20,,765354103.1240394,
2025-08-21 12:00:25,,787935097.7519243,
2025-08-21 12:00:30,,770214131.2154856,
2025-08-21 12:00:35,,789982470.9843905,
2025-08-21 12:00:40,,789982470.9843905,
2025-08-21 12:00:45,,789982470.9843905,
2025-08-21 12:00:50,,746567701.6496103,
2025-08-21 12:00:55,,741745410.2398897,
2025-08-21 12:01:00,,766524110.3387554,
2025-08-21 12:01:05,,791404957.7354956,
2025-08-21 12:01:10,,791404957.7354956,
2025-08-21 12:01:15,,791404957.7354956,
2025-08-21 12:01:20,,791147017.9277048,
2025-08-21 12:01:25,,766128134.9598203,
2025-08-21 12:01:30,,770664250.0857577,
2025-08-21 12:01:35,,789811871.3272358,
2025-08-21 12:01:40,,789811871.3272358,
2025-08-21 12:01:45,,789811871.3272357,
2025-08-21 12:01:50,,789054832.817599,
2025-08-21 12:01:55,,788033756.712916,
2025-08-21 12:02:00,,786955483.4009736,
2025-08-21 12:02:05,,786794543.5071403,
2025-08-21 12:02:10,,786794543.5071403,
2025-08-21 12:02:15,,786794543.5071403,
2025-08-21 12:02:20,,757835287.4970876,
2025-08-21 12:02:25,,647724331.7917829,
2025-08-21 12:02:30,,732070986.2832073,
2025-08-21 12:02:35,,783550712.4568377,
