Time,"flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.3.24:9249"",job=""default/flink-pod-monitor"",job_id=""2da49919f09263807c649166c5aed868"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-tkw4l""}","flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.3.25:9249"",job=""default/flink-pod-monitor"",job_id=""6aac160260280cf247500d32efa2b774"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-mfkq9""}","flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.3.26:9249"",job=""default/flink-pod-monitor"",job_id=""0ee7f63f78cf6b846739550f6a3e7d6f"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-kmsw2""}"
2025-08-21 12:33:00,740515648.0,,
2025-08-21 12:34:00,886833334.0,,
2025-08-21 12:35:00,799426300.0,,
2025-08-21 12:36:00,778273956.0,,
2025-08-21 12:37:00,858723194.0,,
2025-08-21 12:38:00,819112441.0,,
2025-08-21 12:39:00,732528689.0,,
2025-08-21 12:40:00,702546863.0,,
2025-08-21 12:41:00,630851770.0,,
2025-08-21 12:42:00,661492810.0,,
2025-08-21 12:43:00,757569243.0,,
2025-08-21 12:45:00,,256854426.0,
2025-08-21 12:46:00,,278225481.0,
2025-08-21 12:47:00,,317036305.0,
2025-08-21 12:48:00,,267368775.0,
2025-08-21 12:49:00,,264323807.0,
2025-08-21 12:50:00,,316306081.0,
2025-08-21 12:51:00,,328824739.0,
2025-08-21 12:52:00,,250939537.0,
2025-08-21 12:53:00,,266687908.0,
2025-08-21 12:54:00,,367513391.0,
2025-08-21 12:55:00,,347283992.0,
2025-08-21 14:38:00,,,306043148.0
2025-08-21 14:39:00,,,325215660.0
2025-08-21 14:40:00,,,342760046.0
2025-08-21 14:41:00,,,359411379.0
2025-08-21 14:42:00,,,309999395.0
2025-08-21 14:43:00,,,321615614.0
2025-08-21 14:44:00,,,315230136.0
2025-08-21 14:45:00,,,332381790.0
2025-08-21 14:46:00,,,386846299.0
2025-08-21 14:47:00,,,401646165.0
2025-08-21 14:48:00,,,280267030.0
