Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadFileStream""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-21 12:33:00,1815201.0,214.0,149.0,686.0,337.0,37.0,330.0,,146.0,171.0,190.0,39809.0,3212.0,604.0,4360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 12:34:00,1371460.0,384.0,232.0,657.0,328.0,18.0,97.0,,137.0,178.0,219.0,87490.0,3553.0,808.0,4740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 12:35:00,1946460.0,691.0,177.0,637.0,373.0,25.0,85.0,,172.0,195.0,190.0,87617.0,2396.0,951.0,3596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 12:36:00,2174746.0,184.0,220.0,664.0,327.0,23.0,111.0,,139.0,226.0,183.0,56879.0,3216.0,866.0,3901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 12:37:00,1728748.0,220.0,146.0,625.0,369.0,30.0,76.0,89.0,117.0,209.0,183.0,78072.0,2817.0,842.0,4110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 12:38:00,1650369.0,260.0,179.0,631.0,338.0,19.0,212.0,,122.0,183.0,213.0,65678.0,3387.0,978.0,4257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 12:39:00,1782908.0,213.0,187.0,640.0,324.0,21.0,264.0,,134.0,248.0,199.0,48511.0,2764.0,870.0,3545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 12:40:00,1920359.0,234.0,194.0,647.0,352.0,22.0,112.0,,138.0,187.0,374.0,75983.0,3345.0,783.0,3114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 12:41:00,1801473.0,276.0,209.0,629.0,330.0,22.0,112.0,,138.0,174.0,198.0,142633.0,3105.0,862.0,3600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 12:42:00,1801473.0,276.0,209.0,629.0,330.0,22.0,112.0,,138.0,174.0,198.0,142633.0,3105.0,862.0,3600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 12:43:00,2157375.0,365.0,237.0,647.0,386.0,19.0,112.0,80.0,251.0,310.0,198.0,46999.0,3603.0,824.0,3883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 12:45:00,,,,,,,,,,,,,,,,2526829.0,835.0,,603.0,349.0,67.0,113.0,,,153.0,328.0,95457.0,,909.0,,,,,,,,,,,,,,,,,
2025-08-21 12:46:00,,,,,,,,,,,,,,,,788948.0,159.0,183.0,713.0,388.0,24.0,463.0,,188.0,301.0,228.0,5783.0,3086.0,781.0,4620.0,,,,,,,,,,,,,,,,
2025-08-21 12:47:00,,,,,,,,,,,,,,,,838886.0,149.0,212.0,692.0,388.0,24.0,56.0,,252.0,244.0,224.0,5144.0,2847.0,791.0,3974.0,,,,,,,,,,,,,,,,
2025-08-21 12:48:00,,,,,,,,,,,,,,,,894201.0,157.0,165.0,709.0,384.0,27.0,100.0,68.0,129.0,236.0,222.0,10448.0,3667.0,782.0,5045.0,,,,,,,,,,,,,,,,
2025-08-21 12:49:00,,,,,,,,,,,,,,,,921952.0,202.0,218.0,696.0,378.0,23.0,94.0,,132.0,250.0,219.0,7115.0,2624.0,783.0,4972.0,,,,,,,,,,,,,,,,
2025-08-21 12:50:00,,,,,,,,,,,,,,,,900440.0,165.0,166.0,688.0,384.0,24.0,108.0,,131.0,213.0,221.0,6235.0,2498.0,777.0,5106.0,,,,,,,,,,,,,,,,
2025-08-21 12:51:00,,,,,,,,,,,,,,,,939285.0,164.0,184.0,668.0,372.0,24.0,62.0,,156.0,173.0,212.0,7378.0,3222.0,807.0,5744.0,,,,,,,,,,,,,,,,
2025-08-21 12:52:00,,,,,,,,,,,,,,,,939547.0,153.0,176.0,684.0,376.0,23.0,178.0,,128.0,198.0,221.0,7516.0,3072.0,815.0,4835.0,,,,,,,,,,,,,,,,
2025-08-21 12:53:00,,,,,,,,,,,,,,,,916522.0,162.0,166.0,690.0,373.0,27.0,90.0,43.0,125.0,171.0,205.0,9095.0,3015.0,799.0,5170.0,,,,,,,,,,,,,,,,
2025-08-21 12:54:00,,,,,,,,,,,,,,,,926226.0,172.0,134.0,679.0,375.0,21.0,83.0,,164.0,177.0,206.0,8650.0,2922.0,806.0,12866.0,,,,,,,,,,,,,,,,
2025-08-21 12:55:00,,,,,,,,,,,,,,,,931561.0,165.0,140.0,700.0,371.0,26.0,70.0,,124.0,177.0,206.0,7173.0,2701.0,824.0,3526.0,,,,,,,,,,,,,,,,
2025-08-21 14:38:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902024.0,159.0,185.0,689.0,382.0,28.0,253.0,,97.0,158.0,185.0,205.0,8515.0,3194.0,811.0,5836.0
2025-08-21 14:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024161.0,159.0,162.0,709.0,386.0,23.0,773.0,,100.0,147.0,182.0,205.0,9272.0,6983.0,820.0,3850.0
2025-08-21 14:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054280.0,166.0,138.0,738.0,378.0,29.0,206.0,,98.0,153.0,219.0,199.0,9712.0,9334.0,832.0,27155.0
2025-08-21 14:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024700.0,166.0,194.0,725.0,380.0,24.0,214.0,,98.0,135.0,270.0,203.0,9217.0,7197.0,825.0,5888.0
2025-08-21 14:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151978.0,147.0,149.0,731.0,379.0,25.0,86.0,60.0,99.0,141.0,158.0,202.0,7882.0,5415.0,782.0,6601.0
