Time,{},{},{}
2025-08-21 12:33:00,1237658178.2690058,,
2025-08-21 12:33:05,1409209125.9893346,,
2025-08-21 12:33:10,1418645057.564603,,
2025-08-21 12:33:15,1420377495.0428905,,
2025-08-21 12:33:20,1470605937.0961156,,
2025-08-21 12:33:25,1515002104.6030087,,
2025-08-21 12:33:30,1582136621.9504068,,
2025-08-21 12:33:35,1653830673.2218444,,
2025-08-21 12:33:40,1663070790.1694748,,
2025-08-21 12:33:45,1580093486.9870062,,
2025-08-21 12:33:50,1456773714.5019906,,
2025-08-21 12:33:55,1324664848.1126928,,
2025-08-21 12:34:00,1456961379.572218,,
2025-08-21 12:34:05,1498302127.7660317,,
2025-08-21 12:34:10,1501793251.0086906,,
2025-08-21 12:34:15,1419836865.3061812,,
2025-08-21 12:34:20,1311091217.5230017,,
2025-08-21 12:34:25,1309201872.6213536,,
2025-08-21 12:34:30,1207986918.1043108,,
2025-08-21 12:34:35,1299810885.5535767,,
2025-08-21 12:34:40,1299810885.5535767,,
2025-08-21 12:34:45,1272913945.87976,,
2025-08-21 12:34:50,1315918947.8999047,,
2025-08-21 12:34:55,1247305667.8427563,,
2025-08-21 12:35:00,1299413902.1932573,,
2025-08-21 12:35:05,1290870075.9463017,,
2025-08-21 12:35:10,1290870075.9463017,,
2025-08-21 12:35:15,1252440093.4576776,,
2025-08-21 12:35:20,1101710364.566364,,
2025-08-21 12:35:25,1103928943.7367802,,
2025-08-21 12:35:30,1202343757.366151,,
2025-08-21 12:35:35,1202343757.366151,,
2025-08-21 12:35:40,1202343757.366151,,
2025-08-21 12:35:45,1175495691.3961015,,
2025-08-21 12:35:50,1146396379.4030063,,
2025-08-21 12:35:55,1150437225.5005705,,
2025-08-21 12:36:00,1204342687.9338748,,
2025-08-21 12:36:05,1282793295.8658562,,
2025-08-21 12:36:10,1282793295.8658562,,
2025-08-21 12:36:15,1282793294.0963638,,
2025-08-21 12:36:20,1256119139.527633,,
2025-08-21 12:36:25,1197023819.4702282,,
2025-08-21 12:36:30,1215920302.648861,,
2025-08-21 12:36:35,1246893616.224644,,
2025-08-21 12:36:40,1246893616.224644,,
2025-08-21 12:36:45,1246893603.3401818,,
2025-08-21 12:36:50,1251310347.9537244,,
2025-08-21 12:36:55,1279202380.6587846,,
2025-08-21 12:37:00,1260216020.7425587,,
2025-08-21 12:37:05,1304856299.3541522,,
2025-08-21 12:37:10,1304856299.3541522,,
2025-08-21 12:37:15,1252159891.76339,,
2025-08-21 12:37:20,1249656215.2618747,,
2025-08-21 12:37:25,1150242883.6872616,,
2025-08-21 12:37:30,1157713429.0260882,,
2025-08-21 12:37:35,1205393806.161741,,
2025-08-21 12:37:40,1205393806.161741,,
2025-08-21 12:37:45,1205393806.161741,,
2025-08-21 12:37:50,1200059779.7054698,,
2025-08-21 12:37:55,1137514754.0483832,,
2025-08-21 12:38:00,1208694529.344776,,
2025-08-21 12:38:05,1243682443.9466627,,
2025-08-21 12:38:10,1243682443.9466627,,
2025-08-21 12:38:15,1216518078.8577855,,
2025-08-21 12:38:20,1196982806.7204216,,
2025-08-21 12:38:25,1176016980.625098,,
2025-08-21 12:38:30,1165352445.1727738,,
2025-08-21 12:38:35,1178845670.3018265,,
2025-08-21 12:38:40,1178845670.3018265,,
2025-08-21 12:38:45,1123747183.7465663,,
2025-08-21 12:38:50,1184659406.1768787,,
2025-08-21 12:38:55,1193522616.577505,,
2025-08-21 12:39:00,1221914137.4682672,,
2025-08-21 12:39:05,1258907594.2782419,,
2025-08-21 12:39:10,1258907594.2782419,,
2025-08-21 12:39:15,1231105629.670573,,
2025-08-21 12:39:20,1200851668.027718,,
2025-08-21 12:39:25,1085504188.741708,,
2025-08-21 12:39:30,1175480872.6861095,,
2025-08-21 12:39:35,1155733157.553641,,
2025-08-21 12:39:40,1155733157.553641,,
2025-08-21 12:39:45,1155733157.553641,,
2025-08-21 12:39:50,1134920709.9985929,,
2025-08-21 12:39:55,1187101191.3553135,,
2025-08-21 12:40:00,1243242551.7381225,,
2025-08-21 12:40:05,1246097039.0708628,,
2025-08-21 12:40:10,1246097039.0708628,,
2025-08-21 12:40:15,1212362624.9939933,,
2025-08-21 12:40:20,1234502978.971356,,
2025-08-21 12:40:25,1203083749.072876,,
2025-08-21 12:40:30,1139024699.0589452,,
2025-08-21 12:40:35,1149236924.2146797,,
2025-08-21 12:40:40,1149236924.2146797,,
2025-08-21 12:40:45,1157167636.13068,,
2025-08-21 12:40:50,1073893148.0654216,,
2025-08-21 12:40:55,1127603297.8599539,,
2025-08-21 12:41:00,1208429207.124291,,
2025-08-21 12:41:05,1246566446.6768913,,
2025-08-21 12:41:10,1246566446.6768913,,
2025-08-21 12:41:15,1217039974.471032,,
2025-08-21 12:41:20,1175785171.261836,,
2025-08-21 12:41:25,1074737522.8068464,,
2025-08-21 12:41:30,1133043284.0951061,,
2025-08-21 12:41:35,1133043678.1558566,,
2025-08-21 12:41:40,1133043678.1558566,,
2025-08-21 12:41:45,1143528083.9638805,,
2025-08-21 12:41:50,1122142201.774759,,
2025-08-21 12:41:55,1187371119.5632935,,
2025-08-21 12:42:00,1218528242.3433344,,
2025-08-21 12:42:05,1217111760.3806913,,
2025-08-21 12:42:10,1217111760.3806913,,
2025-08-21 12:42:15,1179882094.9787245,,
2025-08-21 12:42:20,1149320692.3352199,,
2025-08-21 12:42:25,1075035925.3513634,,
2025-08-21 12:42:30,1137723363.4214652,,
2025-08-21 12:42:35,1173180666.120987,,
2025-08-21 12:42:40,1173180666.120987,,
2025-08-21 12:42:45,1104565449.450768,,
2025-08-21 12:42:50,1109020657.3209383,,
2025-08-21 12:42:55,1145014951.43366,,
2025-08-21 12:43:00,1223432793.894608,,
2025-08-21 12:45:00,,957406805.5392511,
2025-08-21 12:45:05,,987863818.6485131,
2025-08-21 12:45:10,,998713726.2050312,
2025-08-21 12:45:15,,1009563633.7615495,
2025-08-21 12:45:20,,1074313619.1932254,
2025-08-21 12:45:25,,1198777807.5093687,
2025-08-21 12:45:30,,1441843587.9141295,
2025-08-21 12:45:35,,1583699898.0708208,
2025-08-21 12:45:40,,1598176780.837358,
2025-08-21 12:45:45,,1612653371.3767288,
2025-08-21 12:45:50,,1665777171.1061914,
2025-08-21 12:45:55,,1726242307.2900722,
2025-08-21 12:46:00,,1765681320.502334,
2025-08-21 12:46:05,,1794411837.0736315,
2025-08-21 12:46:10,,1800922704.4309218,
2025-08-21 12:46:15,,1800922704.4309218,
2025-08-21 12:46:20,,1715335402.1205032,
2025-08-21 12:46:25,,1719434006.572845,
2025-08-21 12:46:30,,1759330036.4837322,
2025-08-21 12:46:35,,1825650835.3903763,
2025-08-21 12:46:40,,1825650835.3903763,
2025-08-21 12:46:45,,1825650835.3903763,
2025-08-21 12:46:50,,1776653161.2777362,
2025-08-21 12:46:55,,1729785536.2067168,
2025-08-21 12:47:00,,1789322819.6159248,
2025-08-21 12:47:05,,1834983298.403031,
2025-08-21 12:47:10,,1834983298.403031,
2025-08-21 12:47:15,,1836924328.0783055,
2025-08-21 12:47:20,,1836704415.654925,
2025-08-21 12:47:25,,1790468026.310765,
2025-08-21 12:47:30,,1744788414.661453,
2025-08-21 12:47:35,,1845419307.6577287,
2025-08-21 12:47:40,,1845419307.6577287,
2025-08-21 12:47:45,,1800841863.4687414,
2025-08-21 12:47:50,,1730417272.4576533,
2025-08-21 12:47:55,,1705545028.0179753,
2025-08-21 12:48:00,,1841761836.444494,
2025-08-21 12:48:05,,1841761846.9651284,
2025-08-21 12:48:10,,1841761846.9651284,
2025-08-21 12:48:15,,1800421469.0013964,
2025-08-21 12:48:20,,1823369566.7273788,
2025-08-21 12:48:25,,1820064688.977251,
2025-08-21 12:48:30,,1838713156.3430715,
2025-08-21 12:48:35,,1839855117.821006,
2025-08-21 12:48:40,,1839855117.821006,
2025-08-21 12:48:45,,1839855117.821006,
2025-08-21 12:48:50,,1841238914.4633853,
2025-08-21 12:48:55,,1792294301.6573005,
2025-08-21 12:49:00,,1719726706.9462755,
2025-08-21 12:49:05,,1842767192.0423727,
2025-08-21 12:49:10,,1842767192.0423727,
2025-08-21 12:49:15,,1781963778.8792543,
2025-08-21 12:49:20,,1749066970.0372245,
2025-08-21 12:49:25,,1789626183.8089328,
2025-08-21 12:49:30,,1833022420.2214336,
2025-08-21 12:49:35,,1833188276.8073888,
2025-08-21 12:49:40,,1833188276.8073888,
2025-08-21 12:49:45,,1829469375.0003662,
2025-08-21 12:49:50,,1810520048.9632823,
2025-08-21 12:49:55,,1829572410.5714798,
2025-08-21 12:50:00,,1781804484.88266,
2025-08-21 12:50:05,,1824257223.937098,
2025-08-21 12:50:10,,1824257223.937098,
2025-08-21 12:50:15,,1824257223.937098,
2025-08-21 12:50:20,,1777231148.6474452,
2025-08-21 12:50:25,,1812971489.0259895,
2025-08-21 12:50:30,,1793462859.0817132,
2025-08-21 12:50:35,,1807323708.8362725,
2025-08-21 12:50:40,,1807323708.8362725,
2025-08-21 12:50:45,,1807323708.8362725,
2025-08-21 12:50:50,,1805520926.7023487,
2025-08-21 12:50:55,,1674002074.0249314,
2025-08-21 12:51:00,,1749743515.7214992,
2025-08-21 12:51:05,,1798179865.6415486,
2025-08-21 12:51:10,,1798179865.6415486,
2025-08-21 12:51:15,,1798179865.6415486,
2025-08-21 12:51:20,,1784894220.2529304,
2025-08-21 12:51:25,,1778303234.437319,
2025-08-21 12:51:30,,1803474064.2577555,
2025-08-21 12:51:35,,1808126704.5564716,
2025-08-21 12:51:40,,1808126704.5564716,
2025-08-21 12:51:45,,1808126704.5564716,
2025-08-21 12:51:50,,1721323919.7638626,
2025-08-21 12:51:55,,1762092066.9001646,
2025-08-21 12:52:00,,1752659912.418257,
2025-08-21 12:52:05,,1816547876.7304652,
2025-08-21 12:52:10,,1816547876.7304652,
2025-08-21 12:52:15,,1819068697.0275757,
2025-08-21 12:52:20,,1763375978.923282,
2025-08-21 12:52:25,,1636806446.9188273,
2025-08-21 12:52:30,,1746139018.906477,
2025-08-21 12:52:35,,1829078817.3454812,
2025-08-21 12:52:40,,1791704104.663819,
2025-08-21 12:52:45,,1829576217.5786157,
2025-08-21 12:52:50,,1810176682.380347,
2025-08-21 12:52:55,,1819553526.278989,
2025-08-21 12:53:00,,1748562219.7622552,
2025-08-21 12:53:05,,1830245689.0428371,
2025-08-21 12:53:10,,1830245689.0428371,
2025-08-21 12:53:15,,1787857571.7029412,
2025-08-21 12:53:20,,1691821819.1615422,
2025-08-21 12:53:25,,1697996175.3597517,
2025-08-21 12:53:30,,1771299616.7206907,
2025-08-21 12:53:35,,1814866952.382255,
2025-08-21 12:53:40,,1814866952.382255,
2025-08-21 12:53:45,,1814147390.428176,
2025-08-21 12:53:50,,1814147168.6670108,
2025-08-21 12:53:55,,1806202029.924666,
