Time,{},{}
2025-08-18 09:08:00,6130117.59812344,
2025-08-18 09:08:05,6697959.509186801,
2025-08-18 09:08:10,7604376.234647259,
2025-08-18 09:08:15,11739473.71211813,
2025-08-18 09:08:20,24255179.53747567,
2025-08-18 09:08:25,29952308.55282592,
2025-08-18 09:08:30,31987652.440934416,
2025-08-18 09:08:35,34022951.01811976,
2025-08-18 09:08:40,35956123.64175557,
2025-08-18 09:08:45,40934965.151631996,
2025-08-18 09:08:50,46980096.95498287,
2025-08-18 09:08:55,49618775.07644927,
2025-08-18 09:09:00,52065204.786726825,
2025-08-18 09:09:05,54511635.47323017,
2025-08-18 09:09:10,66558935.83586441,
2025-08-18 09:09:15,71516280.69060001,
2025-08-18 09:09:20,84181388.43073668,
2025-08-18 09:09:25,97499093.04508632,
2025-08-18 09:09:30,100365999.72478238,
2025-08-18 09:09:35,102308150.80893642,
2025-08-18 09:09:40,99041412.85608171,
2025-08-18 09:09:45,95472033.04198353,
2025-08-18 09:09:50,99389746.15732196,
2025-08-18 09:09:55,101123909.70381875,
2025-08-18 09:10:00,103503702.2823654,
2025-08-18 09:10:05,103527975.97450323,
2025-08-18 09:10:10,118256280.7025821,
2025-08-18 09:10:15,133761934.09889682,
2025-08-18 09:10:20,150363889.3482871,
2025-08-18 09:10:25,158743620.60970262,
2025-08-18 09:10:30,158743620.60970262,
2025-08-18 09:10:35,158743620.60970262,
2025-08-18 09:10:40,146721578.18031198,
2025-08-18 09:10:45,135140005.58983567,
2025-08-18 09:10:50,122371967.29886578,
2025-08-18 09:10:55,130361191.91900106,
2025-08-18 09:11:00,130361196.39888169,
2025-08-18 09:11:05,130361186.05323702,
2025-08-18 09:11:10,147923063.36796218,
2025-08-18 09:11:15,164778976.20594123,
2025-08-18 09:11:20,186222178.00021654,
2025-08-18 09:11:25,186729582.36391228,
2025-08-18 09:11:30,186729582.36391228,
2025-08-18 09:11:35,186729582.36391228,
2025-08-18 09:11:40,170670000.09243608,
2025-08-18 09:11:45,159068991.6852765,
2025-08-18 09:11:50,132103800.34908167,
2025-08-18 09:11:55,141148148.83062604,
2025-08-18 09:12:00,141148148.83062604,
2025-08-18 09:12:05,151330185.8371906,
2025-08-18 09:12:10,159882770.89707854,
2025-08-18 09:12:15,157446036.8718306,
2025-08-18 09:12:20,245585893.78597632,
2025-08-18 09:12:25,258598066.71995503,
2025-08-18 09:12:30,258598066.71995503,
2025-08-18 09:12:35,251800939.5641163,
2025-08-18 09:12:40,248660852.14998987,
2025-08-18 09:12:45,235469726.34889945,
2025-08-18 09:12:50,215032801.6898507,
2025-08-18 09:12:55,209525671.14997187,
2025-08-18 09:13:00,209525671.14997187,
2025-08-18 09:13:05,209525671.14997187,
2025-08-18 09:13:10,236247544.8379701,
2025-08-18 09:13:15,256923404.70952895,
2025-08-18 09:13:20,310294801.1133077,
2025-08-18 09:13:25,332037737.81670994,
2025-08-18 09:13:30,332037737.81670994,
2025-08-18 09:13:35,332037737.81670994,
2025-08-18 09:13:40,298320401.5428097,
2025-08-18 09:13:45,282281108.3194511,
2025-08-18 09:13:50,234061255.81029025,
2025-08-18 09:13:55,202213285.02219072,
2025-08-18 09:14:00,202213285.02219072,
2025-08-18 09:14:05,199605631.13758,
2025-08-18 09:14:10,196066395.8838262,
2025-08-18 09:14:15,240821953.30213785,
2025-08-18 09:14:20,363064853.08293056,
2025-08-18 09:14:25,395816389.4068772,
2025-08-18 09:14:30,395816389.4068772,
2025-08-18 09:14:35,395816389.4068772,
2025-08-18 09:14:40,395816327.7347096,
2025-08-18 09:14:45,362721410.5427485,
2025-08-18 09:14:50,302364347.53528315,
2025-08-18 09:14:55,265266258.88316163,
2025-08-18 09:15:00,265266258.88316163,
2025-08-18 09:15:05,265266258.88316163,
2025-08-18 09:15:10,295069062.5443211,
2025-08-18 09:15:15,365785895.9846603,
2025-08-18 09:15:20,423199466.8455222,
2025-08-18 09:15:25,470512059.3389247,
2025-08-18 09:15:30,470512102.9029719,
2025-08-18 09:15:35,470512102.9029719,
2025-08-18 09:15:40,427276848.95462644,
2025-08-18 09:15:45,385880285.9246971,
2025-08-18 09:15:50,322131003.85847324,
2025-08-18 09:15:55,273072337.3112416,
2025-08-18 09:16:00,273072337.3112416,
2025-08-18 09:16:05,273072332.34177166,
2025-08-18 09:16:10,285570803.5485696,
2025-08-18 09:16:15,364867036.159347,
2025-08-18 09:16:20,448268828.6305831,
2025-08-18 09:16:25,474671753.5351234,
2025-08-18 09:16:30,474671753.5351234,
2025-08-18 09:16:35,474671757.17642856,
2025-08-18 09:16:40,443381751.0573617,
2025-08-18 09:16:45,397010919.5700368,
2025-08-18 09:16:50,309900193.4338042,
2025-08-18 09:16:55,254322461.77686074,
2025-08-18 09:17:00,254322486.71186453,
2025-08-18 09:17:05,254322458.87059927,
2025-08-18 09:17:10,279456501.1694485,
2025-08-18 09:17:15,316631895.13958454,
2025-08-18 09:17:20,365040522.9686616,
2025-08-18 09:17:25,397469905.3078144,
2025-08-18 09:17:30,397469905.3078144,
2025-08-18 09:17:35,397469905.3078144,
2025-08-18 09:17:40,333479348.96816003,
2025-08-18 09:17:45,309958745.6625853,
2025-08-18 09:17:50,265321942.8229868,
2025-08-18 09:17:55,212820731.76397926,
2025-08-18 09:18:00,212820731.76397926,
2025-08-18 09:18:05,212820731.76397926,
2025-08-18 09:18:10,241208645.5081221,
2025-08-18 09:18:15,278246862.8189417,
2025-08-18 09:18:20,395933757.9224135,
2025-08-18 09:18:25,446515027.16561085,
2025-08-18 09:18:30,446515027.16561085,
2025-08-18 09:18:35,446514954.9725618,
2025-08-18 09:18:40,434614709.6290162,
2025-08-18 09:18:45,421170702.8690489,
2025-08-18 09:18:50,352571869.5686506,
2025-08-18 09:18:55,291024679.19051945,
2025-08-18 09:19:00,291024679.19051945,
2025-08-18 09:28:30,,2937828.8678466533
2025-08-18 09:28:35,,3878946.7513015303
2025-08-18 09:28:40,,4470865.250399826
2025-08-18 09:28:45,,24257256.86046227
2025-08-18 09:28:50,,42587481.1697956
2025-08-18 09:28:55,,46838013.5302504
2025-08-18 09:29:00,,49676727.251196064
2025-08-18 09:29:05,,53209910.98518477
2025-08-18 09:29:10,,57559659.528143845
2025-08-18 09:29:15,,62537831.60712898
2025-08-18 09:29:20,,76596670.49846332
2025-08-18 09:29:25,,96925697.0292278
2025-08-18 09:29:30,,99502022.83368441
2025-08-18 09:29:35,,100077609.6852775
2025-08-18 09:29:40,,104992970.80829774
2025-08-18 09:29:45,,108344133.99686182
2025-08-18 09:29:50,,141587803.762156
2025-08-18 09:29:55,,145266061.8576396
2025-08-18 09:30:00,,148431207.13910818
2025-08-18 09:30:05,,147820935.33088744
2025-08-18 09:30:10,,147820866.37489983
2025-08-18 09:30:15,,149011458.367827
2025-08-18 09:30:20,,159109486.71045247
2025-08-18 09:30:25,,166699734.10553002
2025-08-18 09:30:30,,166699734.10553002
2025-08-18 09:30:35,,167453601.0442029
2025-08-18 09:30:40,,167725774.0300215
2025-08-18 09:30:45,,191943879.7899436
2025-08-18 09:30:50,,188938524.45384234
2025-08-18 09:30:55,,195890066.87239918
2025-08-18 09:31:00,,195890066.87239918
2025-08-18 09:31:05,,190035801.58039555
2025-08-18 09:31:10,,191153779.279471
2025-08-18 09:31:15,,168260691.43650657
2025-08-18 09:31:20,,183060523.34276572
2025-08-18 09:31:25,,192905913.51340318
2025-08-18 09:31:30,,192905913.51340318
2025-08-18 09:31:35,,192905913.51340318
2025-08-18 09:31:40,,206860216.18207195
2025-08-18 09:31:45,,223632782.04361734
2025-08-18 09:31:50,,253348357.69989407
2025-08-18 09:31:55,,260022617.81582657
2025-08-18 09:32:00,,260022617.81582657
2025-08-18 09:32:05,,260022592.36525258
2025-08-18 09:32:10,,253691881.37279075
2025-08-18 09:32:15,,232829758.82469985
2025-08-18 09:32:20,,224423324.4329498
2025-08-18 09:32:25,,225865370.89556313
2025-08-18 09:32:30,,225865370.89556316
2025-08-18 09:32:35,,225865370.89556316
2025-08-18 09:32:40,,231330995.24408033
2025-08-18 09:32:45,,285689540.6182408
2025-08-18 09:32:50,,321462640.89968127
2025-08-18 09:32:55,,334456026.0767344
2025-08-18 09:33:00,,334456026.0767344
2025-08-18 09:33:05,,334456026.0767344
2025-08-18 09:33:10,,323635205.60915685
2025-08-18 09:33:15,,294521544.4143129
2025-08-18 09:33:20,,261927719.05599946
2025-08-18 09:33:25,,263328878.67280966
2025-08-18 09:33:30,,263328878.67280963
2025-08-18 09:33:35,,263328878.67280963
2025-08-18 09:33:40,,285626868.5976072
2025-08-18 09:33:45,,283786562.3812194
2025-08-18 09:33:50,,376209060.3972671
2025-08-18 09:33:55,,392819960.69086826
2025-08-18 09:34:00,,392819960.69086826
2025-08-18 09:34:05,,392819960.69086826
2025-08-18 09:34:10,,379386829.3970978
2025-08-18 09:34:15,,338409109.098768
2025-08-18 09:34:20,,303662468.4103593
2025-08-18 09:34:25,,297559425.96303976
2025-08-18 09:34:30,,297559425.96303976
2025-08-18 09:34:35,,297559425.96303976
2025-08-18 09:34:40,,312174012.3589104
2025-08-18 09:34:45,,360728834.4441322
2025-08-18 09:34:50,,446189992.8032955
2025-08-18 09:34:55,,446190050.2373112
2025-08-18 09:35:00,,446190050.2373112
2025-08-18 09:35:05,,446190050.23731124
2025-08-18 09:35:10,,430952329.4087738
2025-08-18 09:35:15,,402644629.483496
2025-08-18 09:35:20,,350111230.93983686
2025-08-18 09:35:25,,327304195.59430337
2025-08-18 09:35:30,,327304195.59430337
2025-08-18 09:35:35,,327304195.59430337
2025-08-18 09:35:40,,338817630.9725652
2025-08-18 09:35:45,,338832377.4869521
2025-08-18 09:35:50,,414989550.6241104
2025-08-18 09:35:55,,449829535.93356216
2025-08-18 09:36:00,,449829535.93356216
2025-08-18 09:36:05,,449829535.93356216
2025-08-18 09:36:10,,441320662.16891783
2025-08-18 09:36:15,,382932233.9886971
2025-08-18 09:36:20,,330683860.37665415
2025-08-18 09:36:25,,318423132.0067167
2025-08-18 09:36:30,,318423132.0067167
2025-08-18 09:36:35,,318423132.0067167
2025-08-18 09:36:40,,319894484.5978067
2025-08-18 09:36:45,,336488922.3929613
2025-08-18 09:36:50,,395354059.1931948
2025-08-18 09:36:55,,421009815.82956874
2025-08-18 09:37:00,,421009815.82956874
2025-08-18 09:37:05,,421009815.82956874
2025-08-18 09:37:10,,406584835.1784946
2025-08-18 09:37:15,,379938381.8758026
2025-08-18 09:37:20,,315065121.92321986
2025-08-18 09:37:25,,295871662.4691155
2025-08-18 09:37:30,,295871662.4691155
2025-08-18 09:37:35,,289430421.7814426
2025-08-18 09:37:40,,291606189.6286601
2025-08-18 09:37:45,,307448716.88214135
2025-08-18 09:37:50,,376429456.1328679
2025-08-18 09:37:55,,418742171.8814078
2025-08-18 09:38:00,,418742171.8814078
2025-08-18 09:38:05,,418742141.49817747
2025-08-18 09:38:10,,418742129.170415
2025-08-18 09:38:15,,375955047.8920968
2025-08-18 09:38:20,,341978833.46108043
2025-08-18 09:38:25,,332878688.29180074
2025-08-18 09:38:30,,332878688.29180074
2025-08-18 09:38:35,,332878688.29180074
2025-08-18 09:38:40,,332878679.9301651
2025-08-18 09:38:45,,366798746.56928337
2025-08-18 09:38:50,,418117628.7590784
2025-08-18 09:38:55,,446167682.4394433
2025-08-18 09:39:00,,446167682.4394433
2025-08-18 09:39:05,,446167682.4394433
2025-08-18 09:39:10,,411872954.9228255
2025-08-18 09:39:15,,379670942.8503892
2025-08-18 09:39:20,,326995976.93053246
2025-08-18 09:39:25,,308756963.7028641
2025-08-18 09:39:30,,308756963.70286417
