Time,{},{}
2025-08-18 09:08:00,0.0,
2025-08-18 09:08:05,0.0,
2025-08-18 09:08:10,0.0,
2025-08-18 09:08:15,0.0,
2025-08-18 09:08:20,0.0,
2025-08-18 09:08:25,0.0,
2025-08-18 09:08:30,0.0,
2025-08-18 09:08:35,0.0,
2025-08-18 09:08:40,0.0,
2025-08-18 09:08:45,0.0,
2025-08-18 09:08:50,6.622735852180536e-05,
2025-08-18 09:08:55,6.62229727492467e-05,
2025-08-18 09:09:00,6.622297274924672e-05,
2025-08-18 09:09:05,6.622297274924672e-05,
2025-08-18 09:09:10,6.622297274924672e-05,
2025-08-18 09:09:15,6.621858755752741e-05,
2025-08-18 09:09:20,6.621858755752741e-05,
2025-08-18 09:09:25,6.621858755752741e-05,
2025-08-18 09:09:30,6.621529904484431e-05,
2025-08-18 09:09:35,6.621420294653203e-05,
2025-08-18 09:09:40,6.621420294653203e-05,
2025-08-18 09:09:45,6.621420294653203e-05,
2025-08-18 09:09:50,5.9155166878211166e-05,
2025-08-18 09:09:55,7.699877326000148e-05,
2025-08-18 09:10:00,7.961282324959291e-05,
2025-08-18 09:10:05,7.961282324959291e-05,
2025-08-18 09:10:10,7.96128829810282e-05,
2025-08-18 09:10:15,7.961119282727392e-05,
2025-08-18 09:10:20,7.961119282727392e-05,
2025-08-18 09:10:25,7.961125255626271e-05,
2025-08-18 09:10:30,7.96095624717337e-05,
2025-08-18 09:10:35,7.96095624717337e-05,
2025-08-18 09:10:40,7.96095624717337e-05,
2025-08-18 09:10:45,8.592273203043226e-05,
2025-08-18 09:10:50,7.386909260343095e-05,
2025-08-18 09:10:55,8.118750253710944e-05,
2025-08-18 09:11:00,8.319401636941311e-05,
2025-08-18 09:11:05,8.602890571231935e-05,
2025-08-18 09:11:10,9.098463572784676e-05,
2025-08-18 09:11:15,9.09835319807115e-05,
2025-08-18 09:11:20,9.09835319807115e-05,
2025-08-18 09:11:25,9.098435978855235e-05,
2025-08-18 09:11:30,9.098380791498473e-05,
2025-08-18 09:11:35,9.09835319807115e-05,
2025-08-18 09:11:40,9.09835319807115e-05,
2025-08-18 09:11:45,9.933519004293488e-05,
2025-08-18 09:11:50,8.646031471554557e-05,
2025-08-18 09:11:55,9.349386576358518e-05,
2025-08-18 09:12:00,9.263547938860585e-05,
2025-08-18 09:12:05,8.11461442057145e-05,
2025-08-18 09:12:10,8.618526282702871e-05,
2025-08-18 09:12:15,8.866093178206255e-05,
2025-08-18 09:12:20,9.192960235339781e-05,
2025-08-18 09:12:25,9.193035356413982e-05,
2025-08-18 09:12:30,9.192960235339781e-05,
2025-08-18 09:12:35,9.192960235339781e-05,
2025-08-18 09:12:40,9.192960235339781e-05,
2025-08-18 09:12:45,9.738730250760982e-05,
2025-08-18 09:12:50,8.893611878216808e-05,
2025-08-18 09:12:55,8.272778088317496e-05,
2025-08-18 09:13:00,7.987487986560407e-05,
2025-08-18 09:13:05,8.626223211136962e-05,
2025-08-18 09:13:10,7.774132573393364e-05,
2025-08-18 09:13:15,8.258823668215523e-05,
2025-08-18 09:13:20,7.765742837425937e-05,
2025-08-18 09:13:25,8.192521031486588e-05,
2025-08-18 09:13:30,8.567293081084167e-05,
2025-08-18 09:13:35,8.567293081084167e-05,
2025-08-18 09:13:40,8.567293081084167e-05,
2025-08-18 09:13:45,8.862262712915861e-05,
2025-08-18 09:13:50,8.170458186478693e-05,
2025-08-18 09:13:55,7.829037901576949e-05,
2025-08-18 09:14:00,8.73322228908871e-05,
2025-08-18 09:14:05,8.396144070835468e-05,
2025-08-18 09:14:10,7.997024363027712e-05,
2025-08-18 09:14:15,7.374561544497915e-05,
