Time,{},{}
2025-08-18 09:08:00,201409.43354531395,
2025-08-18 09:08:05,201409.43354531395,
2025-08-18 09:08:10,201409.43354531395,
2025-08-18 09:08:15,201409.43354531395,
2025-08-18 09:08:20,153303.49626959275,
2025-08-18 09:08:25,153303.49626959275,
2025-08-18 09:08:30,202164.07938691293,
2025-08-18 09:08:35,202164.07938691293,
2025-08-18 09:08:40,202164.07938691293,
2025-08-18 09:08:45,151199.64981757512,
2025-08-18 09:08:50,151199.64981757512,
2025-08-18 09:08:55,198645.65569216647,
2025-08-18 09:09:00,198645.65569216647,
2025-08-18 09:09:05,198645.65569216647,
2025-08-18 09:09:10,198645.65569216647,
2025-08-18 09:09:15,168255.62933870516,
2025-08-18 09:09:20,159978.7270181982,
2025-08-18 09:09:25,1795.586727645485,
2025-08-18 09:09:30,2164036.271897385,
2025-08-18 09:09:35,2164036.271897385,
2025-08-18 09:09:40,2164036.271897385,
2025-08-18 09:09:45,2164036.271897385,
2025-08-18 09:09:50,2362973.682463092,
2025-08-18 09:09:55,2362973.682463092,
2025-08-18 09:10:00,2362973.682463092,
2025-08-18 09:10:05,2362973.682463092,
2025-08-18 09:10:10,2362973.682463092,
2025-08-18 09:10:15,2362973.682463092,
2025-08-18 09:10:20,6130074.324041082,
2025-08-18 09:10:25,6130074.324041082,
2025-08-18 09:10:30,6130074.324041082,
2025-08-18 09:10:35,6130074.324041082,
2025-08-18 09:10:40,6130074.324041082,
2025-08-18 09:10:45,5506610.879377891,
2025-08-18 09:10:50,3778284.170398173,
2025-08-18 09:10:55,3976489.934810805,
2025-08-18 09:11:00,4756938.345903172,
2025-08-18 09:11:05,4756938.345903172,
2025-08-18 09:11:10,4756938.345903172,
2025-08-18 09:11:15,7470672.900354871,
2025-08-18 09:11:20,7470672.900354871,
2025-08-18 09:11:25,7470672.900354871,
2025-08-18 09:11:30,8972773.871273285,
2025-08-18 09:11:35,8972773.871273285,
2025-08-18 09:11:40,8972773.871273285,
2025-08-18 09:11:45,8972773.871273285,
2025-08-18 09:11:50,4848631.9373821635,
2025-08-18 09:11:55,4848631.9373821635,
2025-08-18 09:12:00,4848631.9373821635,
2025-08-18 09:12:05,4848631.9373821635,
2025-08-18 09:12:10,4848631.9373821635,
2025-08-18 09:12:15,4848631.9373821635,
2025-08-18 09:12:20,5940810.5284490185,
2025-08-18 09:12:25,13269277.25692833,
2025-08-18 09:12:30,13269277.25692833,
2025-08-18 09:12:35,13269277.25692833,
2025-08-18 09:12:40,13269277.25692833,
2025-08-18 09:12:45,13269277.25692833,
2025-08-18 09:12:50,12581574.544764794,
2025-08-18 09:12:55,9456978.528246822,
2025-08-18 09:13:00,9456978.52824682,
2025-08-18 09:13:05,9456978.52824682,
2025-08-18 09:13:10,9456978.528246822,
2025-08-18 09:13:15,14091249.53017007,
2025-08-18 09:13:20,18499401.099369355,
2025-08-18 09:13:25,18499401.099369355,
