Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-18 09:08:00,,392.0,,,77115.0,248.0,270.0,123.0,,,340.0,138517.0,,28872.0,,,,,,,,,,,,,,,,
2025-08-18 09:09:00,1029266.0,359.0,627.0,,825.0,189.0,959.0,,390.0,388.0,333.0,133225.0,90509.0,1050.0,107400.0,,,,,,,,,,,,,,,
2025-08-18 09:10:00,1089230.0,299.0,218.0,1084.0,627.0,134.0,602.0,,230.0,317.0,308.0,158861.0,48171.0,1253.0,80239.0,,,,,,,,,,,,,,,
2025-08-18 09:11:00,4037380.0,295.0,343.0,1093.0,615.0,121.0,184.0,,430.0,374.0,298.0,649518.0,2351295.0,1564.0,352568.0,,,,,,,,,,,,,,,
2025-08-18 09:12:00,2189677.0,277.0,211.0,1089.0,605.0,101.0,188.0,,198.0,357.0,304.0,222368.0,78954.0,1552.0,466599.0,,,,,,,,,,,,,,,
2025-08-18 09:13:00,6913222.0,293.0,20163.0,1051.0,561.0,84.0,246.0,102.0,469.0,397.0,300.0,1025738.0,1624766.0,1422.0,1511085.0,,,,,,,,,,,,,,,
2025-08-18 09:14:00,4337123.0,275.0,227.0,1023.0,569.0,81.0,2462.0,,383.0,365.0,274.0,282305.0,1913709.0,1638.0,1893304.0,,,,,,,,,,,,,,,
2025-08-18 09:15:00,11152641.0,327.0,5032.0,950.0,564.0,59.0,170.0,,632.0,415.0,280.0,1271163.0,1547773.0,1116.0,1262040.0,,,,,,,,,,,,,,,
2025-08-18 09:16:00,6443347.0,303.0,1738.0,1138.0,611.0,73.0,236.0,,445.0,415.0,317.0,244408.0,1556872.0,1806.0,1107232.0,,,,,,,,,,,,,,,
2025-08-18 09:17:00,14174771.0,327.0,24662.0,1038.0,586.0,79.0,178.0,,740.0,395.0,306.0,541294.0,2460519.0,1345.0,524634.0,,,,,,,,,,,,,,,
2025-08-18 09:18:00,7757859.0,292.0,300.0,1125.0,555.0,75.0,211.0,182.0,468.0,400.0,289.0,631209.0,2671481.0,1563.0,984884.0,,,,,,,,,,,,,,,
2025-08-18 09:19:00,12290318.0,291.0,8004.0,1048.0,560.0,63.0,192.0,,541.0,401.0,398.0,1828942.0,3776626.0,1641.0,944752.0,,,,,,,,,,,,,,,
2025-08-18 09:28:30,,,,,,,,,,,,,,,,,379.0,,,16898.0,21.0,263.0,,,,369.0,162473.0,,2431.0,
2025-08-18 09:29:30,,,,,,,,,,,,,,,,679490.0,309.0,426.0,,3153.0,144.0,643.0,,249.0,381.0,294.0,115058.0,62820.0,1168.0,85270.0
2025-08-18 09:30:30,,,,,,,,,,,,,,,,1005639.0,286.0,260.0,1674.0,745.0,93.0,2320.0,,388.0,355.0,336.0,176092.0,79041.0,1594.0,67981.0
2025-08-18 09:31:30,,,,,,,,,,,,,,,,1001169.0,260.0,361.0,4698.0,750.0,64.0,224.0,,411.0,412.0,316.0,100913.0,412266.0,1614.0,117792.0
2025-08-18 09:32:30,,,,,,,,,,,,,,,,1179481.0,278.0,369.0,1137.0,750.0,75.0,176.0,108.0,467.0,427.0,321.0,196217.0,333011.0,1479.0,141895.0
2025-08-18 09:33:30,,,,,,,,,,,,,,,,1235273.0,256.0,384.0,1187.0,716.0,50.0,1145.0,,421.0,414.0,316.0,100935.0,189842.0,1528.0,92630.0
2025-08-18 09:34:30,,,,,,,,,,,,,,,,1475116.0,267.0,1561.0,1195.0,748.0,54.0,256.0,,419.0,415.0,322.0,171373.0,344306.0,1515.0,138821.0
2025-08-18 09:35:30,,,,,,,,,,,,,,,,1734552.0,237.0,396.0,5479.0,712.0,60.0,234.0,,468.0,406.0,310.0,149461.0,307364.0,1520.0,151734.0
2025-08-18 09:36:30,,,,,,,,,,,,,,,,1677192.0,221.0,413.0,1091.0,707.0,68.0,157.0,,529.0,405.0,299.0,136734.0,185898.0,1287.0,81497.0
2025-08-18 09:37:30,,,,,,,,,,,,,,,,1677282.0,267.0,400.0,4099.0,719.0,83.0,199.0,101.0,494.0,423.0,312.0,192017.0,160795.0,1498.0,88768.0
2025-08-18 09:38:30,,,,,,,,,,,,,,,,1795733.0,275.0,359.0,1196.0,745.0,70.0,223.0,,489.0,426.0,314.0,157211.0,129082.0,1544.0,258395.0
2025-08-18 09:39:30,,,,,,,,,,,,,,,,1795733.0,275.0,359.0,1196.0,745.0,70.0,223.0,,489.0,426.0,314.0,157211.0,129082.0,1544.0,258395.0
