Time,"flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.3.21:9249"",job=""default/flink-pod-monitor"",job_id=""dc7bcb4c22f982546718d1051a7f0a48"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-bl9lj""}","flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.3.22:9249"",job=""default/flink-pod-monitor"",job_id=""7281caf2683792e8a689360b24198c3f"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-qqkxd""}","flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.3.23:9249"",job=""default/flink-pod-monitor"",job_id=""8a332f2bcb16aad03758d46b6f322077"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-kxdk7""}"
2025-08-21 11:38:00,73562.0,,
2025-08-21 11:39:00,52600.0,,
2025-08-21 11:40:00,52600.0,,
2025-08-21 11:41:00,52600.0,,
2025-08-21 11:42:00,52600.0,,
2025-08-21 11:43:00,52600.0,,
2025-08-21 11:44:00,52600.0,,
2025-08-21 11:45:00,52600.0,,
2025-08-21 11:46:00,52600.0,,
2025-08-21 11:47:00,52600.0,,
2025-08-21 11:48:00,52600.0,,
2025-08-21 11:58:00,,55850.0,
2025-08-21 11:59:00,,53693.0,
2025-08-21 12:00:00,,53693.0,
2025-08-21 12:01:00,,53693.0,
2025-08-21 12:02:00,,53693.0,
2025-08-21 12:03:00,,53693.0,
2025-08-21 12:04:00,,53693.0,
2025-08-21 12:05:00,,53693.0,
2025-08-21 12:06:00,,53693.0,
2025-08-21 12:07:00,,53693.0,
2025-08-21 12:08:00,,53693.0,
2025-08-21 12:13:00,,,1447837.0
2025-08-21 12:14:00,,,541654.0
2025-08-21 12:15:00,,,605101.0
2025-08-21 12:16:00,,,109855.0
2025-08-21 12:17:00,,,661148.0
2025-08-21 12:18:00,,,376869.0
2025-08-21 12:19:00,,,406733.0
2025-08-21 12:20:00,,,193710.0
2025-08-21 12:21:00,,,311741.0
2025-08-21 12:22:00,,,163799.0
2025-08-21 12:23:00,,,216736.0
