Time,"flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.3.21:9249"",job=""default/flink-pod-monitor"",job_id=""dc7bcb4c22f982546718d1051a7f0a48"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-bl9lj""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.3.22:9249"",job=""default/flink-pod-monitor"",job_id=""7281caf2683792e8a689360b24198c3f"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-qqkxd""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.3.23:9249"",job=""default/flink-pod-monitor"",job_id=""8a332f2bcb16aad03758d46b6f322077"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-86544b8986-kxdk7""}"
2025-08-21 11:38:00,79.0,,
2025-08-21 11:38:30,65.0,,
2025-08-21 11:39:00,57.0,,
2025-08-21 11:39:30,67.0,,
2025-08-21 11:40:00,64.0,,
2025-08-21 11:40:30,69.0,,
2025-08-21 11:41:00,67.0,,
2025-08-21 11:41:30,69.0,,
2025-08-21 11:42:00,61.0,,
2025-08-21 11:42:30,63.0,,
2025-08-21 11:43:00,65.0,,
2025-08-21 11:43:30,65.0,,
2025-08-21 11:44:00,65.0,,
2025-08-21 11:44:30,60.0,,
2025-08-21 11:45:00,65.0,,
2025-08-21 11:45:30,66.0,,
2025-08-21 11:46:00,65.0,,
2025-08-21 11:46:30,65.0,,
2025-08-21 11:47:00,61.0,,
2025-08-21 11:47:30,59.0,,
2025-08-21 11:48:00,54.0,,
2025-08-21 11:58:00,,129.0,
2025-08-21 11:58:30,,124.0,
2025-08-21 11:59:00,,124.0,
2025-08-21 11:59:30,,123.0,
2025-08-21 12:00:00,,117.0,
2025-08-21 12:00:30,,121.0,
2025-08-21 12:01:00,,117.0,
2025-08-21 12:01:30,,104.0,
2025-08-21 12:02:00,,110.0,
2025-08-21 12:02:30,,115.0,
2025-08-21 12:03:00,,110.0,
2025-08-21 12:03:30,,121.0,
2025-08-21 12:04:00,,114.0,
2025-08-21 12:04:30,,108.0,
2025-08-21 12:05:00,,106.0,
2025-08-21 12:05:30,,116.0,
2025-08-21 12:06:00,,108.0,
2025-08-21 12:06:30,,104.0,
2025-08-21 12:07:00,,110.0,
2025-08-21 12:07:30,,113.0,
2025-08-21 12:08:00,,111.0,
2025-08-21 12:13:00,,,17158.0
2025-08-21 12:13:30,,,26413.0
2025-08-21 12:14:00,,,37391.0
2025-08-21 12:14:30,,,13242.0
2025-08-21 12:15:00,,,27474.0
2025-08-21 12:15:30,,,33871.0
2025-08-21 12:16:00,,,14869.0
2025-08-21 12:16:30,,,24254.0
2025-08-21 12:17:00,,,32585.0
2025-08-21 12:17:30,,,10883.0
2025-08-21 12:18:00,,,40195.0
2025-08-21 12:18:30,,,12448.0
2025-08-21 12:19:00,,,26470.0
2025-08-21 12:19:30,,,30642.0
2025-08-21 12:20:00,,,16785.0
2025-08-21 12:20:30,,,26988.0
2025-08-21 12:21:00,,,27591.0
2025-08-21 12:21:30,,,31647.0
2025-08-21 12:22:00,,,14286.0
2025-08-21 12:22:30,,,25971.0
2025-08-21 12:23:00,,,30352.0
