Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_16"",instance=""10.42.4.16:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_17"",instance=""10.42.4.17:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_18"",instance=""10.42.4.18:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-08-21 11:38:00,1.0,,
2025-08-21 11:38:05,1.0,,
2025-08-21 11:38:10,0.9995,,
2025-08-21 11:38:15,0.9995,,
2025-08-21 11:38:20,1.0,,
2025-08-21 11:38:25,1.0,,
2025-08-21 11:38:30,0.998,,
2025-08-21 11:38:35,1.0,,
2025-08-21 11:38:40,0.999,,
2025-08-21 11:38:45,1.0,,
2025-08-21 11:38:50,0.999,,
2025-08-21 11:38:55,1.0,,
2025-08-21 11:39:00,1.0,,
2025-08-21 11:39:05,1.0,,
2025-08-21 11:39:10,1.0,,
2025-08-21 11:39:15,0.997,,
2025-08-21 11:39:20,1.0,,
2025-08-21 11:39:25,0.999,,
2025-08-21 11:39:30,1.0,,
2025-08-21 11:39:35,1.0,,
2025-08-21 11:39:40,0.9995,,
2025-08-21 11:39:45,0.9995,,
2025-08-21 11:39:50,0.9995,,
2025-08-21 11:39:55,0.999,,
2025-08-21 11:40:00,0.9995,,
2025-08-21 11:40:05,0.9995,,
2025-08-21 11:40:10,0.9995,,
2025-08-21 11:40:15,1.0,,
2025-08-21 11:40:20,0.9995,,
2025-08-21 11:40:25,0.9995,,
2025-08-21 11:40:30,1.0,,
2025-08-21 11:40:35,0.9995,,
2025-08-21 11:40:40,0.998,,
2025-08-21 11:40:45,1.0,,
2025-08-21 11:40:50,1.0,,
2025-08-21 11:40:55,0.9803921568627451,,
2025-08-21 11:41:00,1.0,,
2025-08-21 11:41:05,1.0,,
2025-08-21 11:41:10,0.9995,,
2025-08-21 11:41:15,1.0,,
2025-08-21 11:41:20,1.0,,
2025-08-21 11:41:25,0.9975,,
2025-08-21 11:41:30,1.0,,
2025-08-21 11:41:35,1.0,,
2025-08-21 11:41:40,0.9965,,
2025-08-21 11:41:45,1.0,,
2025-08-21 11:41:50,0.9995,,
2025-08-21 11:41:55,1.0,,
2025-08-21 11:42:00,0.9995,,
2025-08-21 11:42:05,0.9995,,
2025-08-21 11:42:10,0.9995,,
2025-08-21 11:42:15,1.0,,
2025-08-21 11:42:20,0.999,,
2025-08-21 11:42:25,1.0,,
2025-08-21 11:42:30,1.0,,
2025-08-21 11:42:35,0.9995,,
2025-08-21 11:42:40,1.0,,
2025-08-21 11:42:45,0.9995,,
2025-08-21 11:42:50,0.9995,,
2025-08-21 11:42:55,0.9995,,
2025-08-21 11:43:00,1.0,,
2025-08-21 11:43:05,1.0,,
2025-08-21 11:43:10,0.9995,,
2025-08-21 11:43:15,0.999,,
2025-08-21 11:43:20,1.0,,
2025-08-21 11:43:25,1.0,,
2025-08-21 11:43:30,0.999,,
2025-08-21 11:43:35,0.9995,,
2025-08-21 11:43:40,1.0,,
2025-08-21 11:43:45,0.9995,,
2025-08-21 11:43:50,0.9995,,
2025-08-21 11:43:55,1.0,,
2025-08-21 11:44:00,0.997,,
2025-08-21 11:44:05,1.0,,
2025-08-21 11:44:10,1.0,,
2025-08-21 11:44:15,0.9995,,
2025-08-21 11:44:20,1.0,,
2025-08-21 11:44:25,1.0,,
2025-08-21 11:44:30,0.999,,
2025-08-21 11:44:35,0.9818627450980392,,
2025-08-21 11:44:40,0.998,,
2025-08-21 11:44:45,1.0,,
2025-08-21 11:44:50,0.9995,,
2025-08-21 11:44:55,1.0,,
2025-08-21 11:45:00,0.999,,
2025-08-21 11:45:05,0.999,,
2025-08-21 11:45:10,1.0,,
2025-08-21 11:45:15,0.9995,,
2025-08-21 11:45:20,1.0,,
2025-08-21 11:45:25,0.9995,,
2025-08-21 11:45:30,0.9995,,
2025-08-21 11:45:35,1.0,,
2025-08-21 11:45:40,1.0,,
2025-08-21 11:45:45,0.998,,
2025-08-21 11:45:50,1.0,,
2025-08-21 11:45:55,1.0,,
2025-08-21 11:46:00,0.998,,
2025-08-21 11:46:05,1.0,,
2025-08-21 11:46:10,0.999,,
2025-08-21 11:46:15,0.999,,
2025-08-21 11:46:20,1.0,,
2025-08-21 11:46:25,0.999,,
2025-08-21 11:46:30,1.0,,
2025-08-21 11:46:35,0.998,,
2025-08-21 11:46:40,1.0,,
2025-08-21 11:46:45,0.9995,,
2025-08-21 11:46:50,0.9985,,
2025-08-21 11:46:55,1.0,,
2025-08-21 11:47:00,1.0,,
2025-08-21 11:47:05,0.999,,
2025-08-21 11:47:10,1.0,,
2025-08-21 11:47:15,0.9985,,
2025-08-21 11:47:20,1.0,,
2025-08-21 11:47:25,0.9818627450980392,,
2025-08-21 11:47:30,1.0,,
2025-08-21 11:47:35,0.9985,,
2025-08-21 11:47:40,1.0,,
2025-08-21 11:47:45,0.9995,,
2025-08-21 11:47:50,0.999,,
2025-08-21 11:47:55,1.0,,
2025-08-21 11:48:00,1.0,,
2025-08-21 11:58:00,,0.9813725490196078,
2025-08-21 11:58:05,,1.0,
2025-08-21 11:58:10,,0.9803921568627451,
2025-08-21 11:58:15,,1.0,
2025-08-21 11:58:20,,0.9985,
2025-08-21 11:58:25,,0.9995,
2025-08-21 11:58:30,,1.0,
2025-08-21 11:58:35,,1.0,
2025-08-21 11:58:40,,0.9995,
2025-08-21 11:58:45,,0.9995,
2025-08-21 11:58:50,,0.9808823529411764,
2025-08-21 11:58:55,,1.0,
2025-08-21 11:59:00,,1.0,
2025-08-21 11:59:05,,0.9808823529411764,
2025-08-21 11:59:10,,1.0,
2025-08-21 11:59:15,,0.9803921568627451,
2025-08-21 11:59:20,,1.0,
2025-08-21 11:59:25,,0.9995,
2025-08-21 11:59:30,,1.0,
2025-08-21 11:59:35,,0.9799019607843137,
2025-08-21 11:59:40,,1.0,
2025-08-21 11:59:45,,0.9813725490196078,
2025-08-21 11:59:50,,0.999,
2025-08-21 11:59:55,,1.0,
2025-08-21 12:00:00,,0.9985,
2025-08-21 12:00:05,,1.0,
2025-08-21 12:00:10,,0.9995,
2025-08-21 12:00:15,,1.0,
2025-08-21 12:00:20,,0.9799019607843137,
2025-08-21 12:00:25,,1.0,
2025-08-21 12:00:30,,1.0,
2025-08-21 12:00:35,,0.9803921568627451,
2025-08-21 12:00:40,,1.0,
2025-08-21 12:00:45,,1.0,
2025-08-21 12:00:50,,0.9995,
2025-08-21 12:00:55,,0.9803921568627451,
2025-08-21 12:01:00,,1.0,
2025-08-21 12:01:05,,0.999,
2025-08-21 12:01:10,,1.0,
2025-08-21 12:01:15,,1.0,
2025-08-21 12:01:20,,1.0,
2025-08-21 12:01:25,,1.0,
2025-08-21 12:01:30,,0.9799019607843137,
2025-08-21 12:01:35,,1.0,
2025-08-21 12:01:40,,1.0,
2025-08-21 12:01:45,,1.0,
2025-08-21 12:01:50,,0.9808823529411764,
2025-08-21 12:01:55,,1.0,
2025-08-21 12:02:00,,0.9803921568627451,
2025-08-21 12:02:05,,0.9995,
2025-08-21 12:02:10,,1.0,
2025-08-21 12:02:15,,1.0,
2025-08-21 12:02:20,,0.9808823529411764,
2025-08-21 12:02:25,,0.9995,
2025-08-21 12:02:30,,1.0,
2025-08-21 12:02:35,,0.9803921568627451,
2025-08-21 12:02:40,,0.9995,
2025-08-21 12:02:45,,1.0,
2025-08-21 12:02:50,,1.0,
2025-08-21 12:02:55,,0.9818627450980392,
2025-08-21 12:03:00,,0.9985,
2025-08-21 12:03:05,,1.0,
2025-08-21 12:03:10,,1.0,
2025-08-21 12:03:15,,1.0,
2025-08-21 12:03:20,,0.9818627450980392,
2025-08-21 12:03:25,,1.0,
2025-08-21 12:03:30,,0.9803921568627451,
2025-08-21 12:03:35,,1.0,
2025-08-21 12:03:40,,0.9985,
2025-08-21 12:03:45,,0.9813725490196078,
2025-08-21 12:03:50,,1.0,
2025-08-21 12:03:55,,1.0,
2025-08-21 12:04:00,,1.0,
2025-08-21 12:04:05,,0.9808823529411764,
2025-08-21 12:04:10,,1.0,
2025-08-21 12:04:15,,0.9808823529411764,
2025-08-21 12:04:20,,1.0,
2025-08-21 12:04:25,,0.9813725490196078,
2025-08-21 12:04:30,,1.0,
2025-08-21 12:04:35,,1.0,
2025-08-21 12:04:40,,0.9823529411764705,
2025-08-21 12:04:45,,0.999,
2025-08-21 12:04:50,,0.9995,
2025-08-21 12:04:55,,0.9995,
2025-08-21 12:05:00,,1.0,
2025-08-21 12:05:05,,1.0,
2025-08-21 12:05:10,,0.9803921568627451,
2025-08-21 12:05:15,,1.0,
2025-08-21 12:05:20,,1.0,
2025-08-21 12:05:25,,0.999,
2025-08-21 12:05:30,,0.9995,
2025-08-21 12:05:35,,0.9813725490196078,
2025-08-21 12:05:40,,1.0,
2025-08-21 12:05:45,,0.9808823529411764,
2025-08-21 12:05:50,,1.0,
2025-08-21 12:05:55,,1.0,
2025-08-21 12:06:00,,0.9995,
2025-08-21 12:06:05,,1.0,
2025-08-21 12:06:10,,1.0,
2025-08-21 12:06:15,,0.9823529411764705,
2025-08-21 12:06:20,,1.0,
2025-08-21 12:06:25,,0.999,
2025-08-21 12:06:30,,0.9808823529411764,
2025-08-21 12:06:35,,1.0,
2025-08-21 12:06:40,,1.0,
2025-08-21 12:06:45,,0.999,
2025-08-21 12:06:50,,0.9813725490196078,
2025-08-21 12:06:55,,1.0,
2025-08-21 12:07:00,,0.9813725490196078,
2025-08-21 12:07:05,,0.999,
2025-08-21 12:07:10,,1.0,
2025-08-21 12:07:15,,1.0,
2025-08-21 12:07:20,,1.0,
2025-08-21 12:07:25,,0.9995,
2025-08-21 12:07:30,,0.9803921568627451,
2025-08-21 12:07:35,,1.0,
2025-08-21 12:07:40,,1.0,
2025-08-21 12:07:45,,1.0,
2025-08-21 12:07:50,,0.9995,
2025-08-21 12:07:55,,1.0,
2025-08-21 12:08:00,,0.9803921568627451,
2025-08-21 12:13:00,,,0.9975
2025-08-21 12:13:05,,,1.0
2025-08-21 12:13:10,,,1.0
2025-08-21 12:13:15,,,0.997
2025-08-21 12:13:20,,,0.98
2025-08-21 12:13:25,,,1.0
2025-08-21 12:13:30,,,0.9945
2025-08-21 12:13:35,,,1.0
2025-08-21 12:13:40,,,0.998
2025-08-21 12:13:45,,,1.0
2025-08-21 12:13:50,,,0.999
2025-08-21 12:13:55,,,1.0
2025-08-21 12:14:00,,,0.9995
2025-08-21 12:14:05,,,0.995
2025-08-21 12:14:10,,,1.0
2025-08-21 12:14:15,,,0.9857843137254902
2025-08-21 12:14:20,,,0.9985
2025-08-21 12:14:25,,,1.0
2025-08-21 12:14:30,,,1.0
2025-08-21 12:14:35,,,0.9965
2025-08-21 12:14:40,,,1.0
2025-08-21 12:14:45,,,1.0
2025-08-21 12:14:50,,,1.0
2025-08-21 12:14:55,,,0.995
2025-08-21 12:15:00,,,1.0
2025-08-21 12:15:05,,,0.998
2025-08-21 12:15:10,,,1.0
2025-08-21 12:15:15,,,0.999
2025-08-21 12:15:20,,,1.0
2025-08-21 12:15:25,,,0.9975
2025-08-21 12:15:30,,,1.0
2025-08-21 12:15:35,,,1.0
2025-08-21 12:15:40,,,1.0
2025-08-21 12:15:45,,,0.998
2025-08-21 12:15:50,,,0.998
2025-08-21 12:15:55,,,1.0
2025-08-21 12:16:00,,,0.9975
2025-08-21 12:16:05,,,1.0
2025-08-21 12:16:10,,,0.9975
2025-08-21 12:16:15,,,0.999
2025-08-21 12:16:20,,,1.0
2025-08-21 12:16:25,,,1.0
