Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadFileStream""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-21 11:38:00,748443.0,168.0,193.0,612.0,517.0,122.0,72.0,,169.0,194.0,239.0,4841.0,2553.0,740.0,4278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 11:39:00,11462.0,191.0,208.0,699.0,476.0,127.0,89.0,,184.0,218.0,199.0,5355.0,3126.0,854.0,3722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 11:40:00,13675.0,226.0,179.0,763.0,474.0,133.0,76.0,,164.0,225.0,219.0,5190.0,2578.0,788.0,4022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 11:41:00,13675.0,226.0,179.0,763.0,474.0,133.0,76.0,,164.0,225.0,219.0,5190.0,2578.0,788.0,4022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 11:42:00,12211.0,234.0,147.0,770.0,426.0,128.0,360.0,,157.0,208.0,234.0,5892.0,2819.0,763.0,4270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 11:43:00,10897.0,252.0,184.0,733.0,454.0,102.0,160.0,50.0,158.0,227.0,197.0,5473.0,2863.0,728.0,4185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 11:44:00,8978.0,162.0,188.0,718.0,445.0,148.0,90.0,,136.0,262.0,235.0,5284.0,3249.0,706.0,4039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 11:45:00,10987.0,242.0,176.0,770.0,443.0,110.0,97.0,,152.0,221.0,231.0,5388.0,2684.0,790.0,4178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 11:46:00,10118.0,168.0,223.0,744.0,470.0,125.0,193.0,,168.0,213.0,257.0,5184.0,2908.0,790.0,3805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 11:47:00,9012.0,219.0,275.0,710.0,440.0,110.0,246.0,,214.0,205.0,228.0,5143.0,2750.0,692.0,3944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 11:48:00,10423.0,224.0,220.0,744.0,450.0,112.0,94.0,44.0,157.0,327.0,217.0,5338.0,3271.0,753.0,4115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-21 11:58:00,,,,,,,,,,,,,,,,232952.0,219.0,195.0,777.0,703.0,74.0,102.0,,167.0,235.0,243.0,4618.0,3382.0,648.0,4363.0,,,,,,,,,,,,,,,,
2025-08-21 11:59:00,,,,,,,,,,,,,,,,11042.0,195.0,186.0,649.0,442.0,60.0,111.0,,136.0,195.0,235.0,5257.0,3101.0,882.0,3547.0,,,,,,,,,,,,,,,,
2025-08-21 12:00:00,,,,,,,,,,,,,,,,9637.0,223.0,171.0,688.0,451.0,76.0,172.0,,161.0,192.0,234.0,5518.0,2759.0,899.0,4072.0,,,,,,,,,,,,,,,,
2025-08-21 12:01:00,,,,,,,,,,,,,,,,9882.0,204.0,163.0,712.0,454.0,65.0,116.0,,164.0,241.0,238.0,5304.0,3128.0,867.0,4006.0,,,,,,,,,,,,,,,,
2025-08-21 12:02:00,,,,,,,,,,,,,,,,9631.0,188.0,199.0,731.0,467.0,68.0,101.0,36.0,136.0,210.0,214.0,5174.0,3153.0,889.0,3791.0,,,,,,,,,,,,,,,,
2025-08-21 12:03:00,,,,,,,,,,,,,,,,8419.0,216.0,199.0,687.0,428.0,112.0,95.0,,186.0,231.0,262.0,5279.0,3597.0,862.0,4512.0,,,,,,,,,,,,,,,,
2025-08-21 12:04:00,,,,,,,,,,,,,,,,8340.0,189.0,179.0,728.0,430.0,113.0,118.0,,131.0,212.0,217.0,5459.0,2499.0,770.0,4093.0,,,,,,,,,,,,,,,,
2025-08-21 12:05:00,,,,,,,,,,,,,,,,8136.0,197.0,204.0,636.0,400.0,84.0,108.0,,144.0,250.0,173.0,5254.0,2913.0,756.0,3715.0,,,,,,,,,,,,,,,,
2025-08-21 12:06:00,,,,,,,,,,,,,,,,7418.0,179.0,190.0,665.0,385.0,78.0,75.0,,221.0,225.0,222.0,5263.0,3258.0,869.0,3951.0,,,,,,,,,,,,,,,,
2025-08-21 12:07:00,,,,,,,,,,,,,,,,8364.0,174.0,182.0,731.0,442.0,74.0,122.0,,145.0,244.0,214.0,5465.0,2807.0,891.0,3703.0,,,,,,,,,,,,,,,,
2025-08-21 12:08:00,,,,,,,,,,,,,,,,9325.0,200.0,183.0,711.0,470.0,58.0,169.0,,179.0,189.0,184.0,5413.0,2798.0,809.0,4281.0,,,,,,,,,,,,,,,,
2025-08-21 12:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389158.0,196.0,169.0,,618.0,17.0,117.0,58.0,104.0,185.0,227.0,183.0,4802.0,2577.0,578.0,3652.0
2025-08-21 12:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624504.0,192.0,192.0,629.0,522.0,69.0,355.0,,98.0,139.0,161.0,177.0,4462.0,2352.0,834.0,4340.0
2025-08-21 12:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787260.0,187.0,148.0,814.0,389.0,29.0,535.0,,96.0,195.0,189.0,196.0,6058.0,2659.0,1314.0,3696.0
2025-08-21 12:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8581.0,155.0,151.0,806.0,384.0,56.0,422.0,,98.0,138.0,182.0,191.0,5559.0,2673.0,1211.0,3986.0
2025-08-21 12:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893872.0,159.0,146.0,721.0,419.0,32.0,345.0,,97.0,130.0,196.0,190.0,7653.0,2510.0,1094.0,11405.0
2025-08-21 12:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7893.0,168.0,153.0,729.0,425.0,34.0,763.0,28.0,73.0,139.0,182.0,204.0,5329.0,2616.0,905.0,3295.0
2025-08-21 12:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711972.0,190.0,151.0,754.0,414.0,27.0,355.0,,97.0,131.0,171.0,198.0,5025.0,3044.0,959.0,3345.0
2025-08-21 12:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8755.0,184.0,142.0,828.0,369.0,58.0,326.0,,97.0,133.0,179.0,183.0,5319.0,2927.0,996.0,3587.0
2025-08-21 12:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263538.0,180.0,184.0,803.0,439.0,45.0,385.0,,96.0,148.0,173.0,181.0,5600.0,2459.0,957.0,3483.0
2025-08-21 12:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9739.0,165.0,153.0,717.0,363.0,51.0,728.0,,97.0,155.0,209.0,190.0,5121.0,2855.0,921.0,3559.0
2025-08-21 12:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327512.0,189.0,139.0,741.0,426.0,31.0,354.0,,97.0,167.0,194.0,179.0,5019.0,2693.0,985.0,3660.0
