Time,{},{},{}
2025-08-21 12:33:00,0.0005587993339762365,,
2025-08-21 12:33:05,5.8315964535254163e-05,,
2025-08-21 12:33:10,5.931137448997332e-05,,
2025-08-21 12:33:15,5.497150959347621e-05,,
2025-08-21 12:33:20,5.4823010101581735e-05,,
2025-08-21 12:33:25,5.523391563270451e-05,,
2025-08-21 12:33:30,5.254526057672405e-05,,
2025-08-21 12:33:35,5.294927459493805e-05,,
2025-08-21 12:33:40,5.136694786401555e-05,,
2025-08-21 12:33:45,5.010012868575911e-05,,
2025-08-21 12:33:50,5.0582821280443654e-05,,
2025-08-21 12:33:55,4.5655088259586525e-05,,
2025-08-21 12:34:00,3.969234026038175e-05,,
2025-08-21 12:34:05,3.639499204909405e-05,,
2025-08-21 12:34:10,3.5946655163737015e-05,,
2025-08-21 12:34:15,3.305448205003898e-05,,
2025-08-21 12:34:20,3.265630463978055e-05,,
2025-08-21 12:34:25,3.006006547628807e-05,,
2025-08-21 12:34:30,3.271961336323542e-05,,
2025-08-21 12:34:35,2.9577247030511618e-05,,
2025-08-21 12:34:40,2.875895939627101e-05,,
2025-08-21 12:34:45,3.24827367788494e-05,,
2025-08-21 12:34:50,2.991040474215872e-05,,
2025-08-21 12:34:55,2.981882353897931e-05,,
2025-08-21 12:35:00,2.9885781975069823e-05,,
2025-08-21 12:35:05,2.9300360660803042e-05,,
2025-08-21 12:35:10,2.965435157390471e-05,,
2025-08-21 12:35:15,2.7057594796283368e-05,,
2025-08-21 12:35:20,2.6971225747810947e-05,,
2025-08-21 12:35:25,2.686684255492926e-05,,
2025-08-21 12:35:30,2.6683744262994982e-05,,
2025-08-21 12:35:35,2.637739457285107e-05,,
2025-08-21 12:35:40,2.7270708531965817e-05,,
2025-08-21 12:35:45,2.573186851286052e-05,,
2025-08-21 12:35:50,2.5568048014102798e-05,,
2025-08-21 12:35:55,2.42034705087435e-05,,
2025-08-21 12:36:00,2.419784155253351e-05,,
2025-08-21 12:36:05,2.368430401698954e-05,,
2025-08-21 12:36:10,2.3829381627546762e-05,,
2025-08-21 12:36:15,2.12667824820196e-05,,
2025-08-21 12:36:20,2.3677169683751933e-05,,
2025-08-21 12:36:25,2.0871162315029328e-05,,
2025-08-21 12:36:30,2.2031227320795406e-05,,
2025-08-21 12:36:35,2.1654230344964626e-05,,
2025-08-21 12:36:40,2.134702221597159e-05,,
2025-08-21 12:36:45,2.2343284857167266e-05,,
2025-08-21 12:36:50,1.964417844771702e-05,,
2025-08-21 12:36:55,2.2144701294032134e-05,,
2025-08-21 12:37:00,1.947884986481678e-05,,
2025-08-21 12:37:05,2.181792046982967e-05,,
2025-08-21 12:37:10,2.199704721989672e-05,,
2025-08-21 12:37:15,2.2110686094589514e-05,,
2025-08-21 12:37:20,2.1973732341844063e-05,,
2025-08-21 12:37:25,2.1852781666287456e-05,,
2025-08-21 12:37:30,2.1686218280716617e-05,,
2025-08-21 12:37:35,2.264250627386111e-05,,
2025-08-21 12:37:40,2.208415535467153e-05,,
2025-08-21 12:37:45,2.3280146820125943e-05,,
2025-08-21 12:37:50,2.4370972376144155e-05,,
2025-08-21 12:37:55,2.4468139906248384e-05,,
2025-08-21 12:38:00,2.1926430377134606e-05,,
2025-08-21 12:38:05,2.4349453098467908e-05,,
2025-08-21 12:38:10,2.4588784925780696e-05,,
2025-08-21 12:38:15,2.4869305256323997e-05,,
2025-08-21 12:38:20,2.486803580473618e-05,,
2025-08-21 12:38:25,2.5948650216087386e-05,,
2025-08-21 12:38:30,2.607810130560014e-05,,
2025-08-21 12:38:35,2.2950079751527135e-05,,
2025-08-21 12:38:40,2.4770041130653294e-05,,
2025-08-21 12:38:45,2.6006517233218646e-05,,
2025-08-21 12:38:50,2.3288851626726284e-05,,
2025-08-21 12:38:55,2.6185379393415685e-05,,
2025-08-21 12:39:00,2.3453716045859827e-05,,
2025-08-21 12:39:05,2.5852786477958563e-05,,
