Time,{},{},{}
2025-08-21 12:33:00,19529089024.0,,
2025-08-21 12:34:00,30798725120.0,,
2025-08-21 12:35:00,41096691712.0,,
2025-08-21 12:36:00,51979419648.0,,
2025-08-21 12:37:00,63699517440.0,,
2025-08-21 12:38:00,30969610240.0,,
2025-08-21 12:39:00,42346479616.0,,
2025-08-21 12:40:00,54108782592.0,,
2025-08-21 12:41:00,65496547328.0,,
2025-08-21 12:42:00,65496547328.0,,
2025-08-21 12:43:00,77127532544.0,,
2025-08-21 12:45:00,,34775285760.0,
2025-08-21 12:46:00,,53917270016.0,
2025-08-21 12:47:00,,73385492480.0,
2025-08-21 12:48:00,,29231562752.0,
2025-08-21 12:49:00,,49478270976.0,
2025-08-21 12:50:00,,69803409408.0,
2025-08-21 12:51:00,,90665533440.0,
2025-08-21 12:52:00,,111084126208.0,
2025-08-21 12:53:00,,30116118528.0,
2025-08-21 12:54:00,,52591378432.0,
2025-08-21 12:55:00,,73018130432.0,
2025-08-21 14:38:00,,,40025243648.0
2025-08-21 14:39:00,,,58844545024.0
2025-08-21 14:40:00,,,77658865664.0
2025-08-21 14:41:00,,,99229188096.0
2025-08-21 14:42:00,,,120863604736.0
2025-08-21 14:43:00,,,48163586048.0
2025-08-21 14:44:00,,,68452564992.0
2025-08-21 14:45:00,,,68452564992.0
2025-08-21 14:46:00,,,90131038208.0
2025-08-21 14:47:00,,,111904964608.0
2025-08-21 14:48:00,,,132451516416.0
