Time,{},{},{}
2025-08-21 12:33:00,583935670.726548,,
2025-08-21 12:33:05,673993220.7695265,,
2025-08-21 12:33:10,705648962.9957423,,
2025-08-21 12:33:15,739614279.0955994,,
2025-08-21 12:33:20,775343911.0212951,,
2025-08-21 12:33:25,814044559.4958711,,
2025-08-21 12:33:30,860129778.2429966,,
2025-08-21 12:33:35,902336688.1849158,,
2025-08-21 12:33:40,931370917.3880668,,
2025-08-21 12:33:45,905463369.3454987,,
2025-08-21 12:33:50,848641465.991195,,
2025-08-21 12:33:55,805240208.6516794,,
2025-08-21 12:34:00,897194944.259487,,
2025-08-21 12:34:05,923553687.3466599,,
2025-08-21 12:34:10,924581508.5398253,,
2025-08-21 12:34:15,881775481.5228342,,
2025-08-21 12:34:20,822856277.5050675,,
2025-08-21 12:34:25,821442988.4039919,,
2025-08-21 12:34:30,766826462.4859251,,
2025-08-21 12:34:35,817335830.9449298,,
2025-08-21 12:34:40,817335830.9449298,,
2025-08-21 12:34:45,798491152.0107298,,
2025-08-21 12:34:50,824360360.9829291,,
2025-08-21 12:34:55,784169761.1205076,,
2025-08-21 12:35:00,826624660.96354,,
2025-08-21 12:35:05,827401253.5803412,,
2025-08-21 12:35:10,827401253.5803412,,
2025-08-21 12:35:15,818289695.9389348,,
2025-08-21 12:35:20,725068551.0217483,,
2025-08-21 12:35:25,724694277.9366112,,
2025-08-21 12:35:30,777039642.1321853,,
2025-08-21 12:35:35,777039642.1321853,,
2025-08-21 12:35:40,777039642.1321853,,
2025-08-21 12:35:45,758171572.5443629,,
2025-08-21 12:35:50,736484674.9165406,,
2025-08-21 12:35:55,741196378.7753329,,
2025-08-21 12:36:00,783932976.949717,,
2025-08-21 12:36:05,834489908.2785872,,
2025-08-21 12:36:10,834489908.2785872,,
2025-08-21 12:36:15,834489905.2105594,,
2025-08-21 12:36:20,820689047.8926319,,
2025-08-21 12:36:25,786003065.3679172,,
2025-08-21 12:36:30,779181936.9137107,,
2025-08-21 12:36:35,791299205.4763043,,
2025-08-21 12:36:40,791299205.4763043,,
2025-08-21 12:36:45,791299177.4166108,,
2025-08-21 12:36:50,797536546.0604706,,
2025-08-21 12:36:55,824656573.8470927,,
2025-08-21 12:37:00,820798222.457689,,
2025-08-21 12:37:05,847238088.8178655,,
2025-08-21 12:37:10,847238088.8178655,,
2025-08-21 12:37:15,817030422.894498,,
2025-08-21 12:37:20,820575629.2783841,,
2025-08-21 12:37:25,760884941.9060041,,
2025-08-21 12:37:30,764873423.5532656,,
2025-08-21 12:37:35,795348613.7265738,,
2025-08-21 12:37:40,795348613.7265738,,
2025-08-21 12:37:45,795348613.7265738,,
2025-08-21 12:37:50,805284764.2780058,,
2025-08-21 12:37:55,765252651.143877,,
2025-08-21 12:38:00,812292523.3399364,,
2025-08-21 12:38:05,842683431.5565151,,
2025-08-21 12:38:10,842683431.5565151,,
2025-08-21 12:38:15,831642138.2353297,,
2025-08-21 12:38:20,821575854.3798137,,
2025-08-21 12:38:25,807709558.296293,,
2025-08-21 12:38:30,788245074.4937232,,
2025-08-21 12:38:35,792166276.3191633,,
2025-08-21 12:38:40,792166276.3191633,,
2025-08-21 12:38:45,752447582.9981545,,
2025-08-21 12:38:50,787484108.3376744,,
2025-08-21 12:38:55,799455774.9259734,,
2025-08-21 12:39:00,817635360.4343921,,
2025-08-21 12:39:05,844343003.3641376,,
2025-08-21 12:39:10,844343003.3641376,,
2025-08-21 12:39:15,824011675.9502699,,
2025-08-21 12:39:20,816941781.4178096,,
2025-08-21 12:39:25,741880630.4915822,,
2025-08-21 12:39:30,804451676.9071828,,
2025-08-21 12:39:35,789535592.7120048,,
2025-08-21 12:39:40,789535592.7120048,,
2025-08-21 12:39:45,789535592.7120048,,
2025-08-21 12:39:50,774737188.9888192,,
2025-08-21 12:39:55,804958297.9254127,,
2025-08-21 12:40:00,828497596.9638838,,
2025-08-21 12:40:05,824376767.0834553,,
2025-08-21 12:40:10,824376767.0834553,,
2025-08-21 12:40:15,807146040.7138869,,
2025-08-21 12:40:20,827353214.5796591,,
2025-08-21 12:40:25,810679495.3730178,,
2025-08-21 12:40:30,783809740.9609141,,
2025-08-21 12:40:35,788118805.2353635,,
2025-08-21 12:40:40,788118805.2353635,,
2025-08-21 12:40:45,795039375.0404378,,
2025-08-21 12:40:50,743354614.5647871,,
2025-08-21 12:40:55,752687847.2677572,,
2025-08-21 12:41:00,800836993.9178343,,
2025-08-21 12:41:05,815019378.7911254,,
2025-08-21 12:41:10,815019378.7911254,,
2025-08-21 12:41:15,794213762.2893506,,
2025-08-21 12:41:20,780262805.71169,,
2025-08-21 12:41:25,724858748.3574797,,
2025-08-21 12:41:30,766667876.1978384,,
2025-08-21 12:41:35,766668025.5926727,,
2025-08-21 12:41:40,766668025.5926728,,
2025-08-21 12:41:45,774663944.4562173,,
2025-08-21 12:41:50,759893749.9438267,,
2025-08-21 12:41:55,788582250.1165347,,
2025-08-21 12:42:00,798346957.9384149,,
2025-08-21 12:42:05,798833133.8795046,,
2025-08-21 12:42:10,798833133.8795046,,
2025-08-21 12:42:15,776824926.8987622,,
2025-08-21 12:42:20,768621378.1834736,,
2025-08-21 12:42:25,723883070.9260328,,
2025-08-21 12:42:30,764250996.0199722,,
2025-08-21 12:42:35,788733775.7961322,,
2025-08-21 12:42:40,788733775.7961322,,
2025-08-21 12:42:45,746037644.3521479,,
2025-08-21 12:42:50,754211399.5883693,,
2025-08-21 12:42:55,773560984.0220926,,
2025-08-21 12:43:00,823051012.8657898,,
2025-08-21 12:45:00,,602119328.3268167,
2025-08-21 12:45:05,,627831542.5609167,
2025-08-21 12:45:10,,647633834.0279926,
2025-08-21 12:45:15,,667436125.4950684,
2025-08-21 12:45:20,,707929930.3137943,
2025-08-21 12:45:25,,776704144.4250555,
2025-08-21 12:45:30,,878635021.9603101,
2025-08-21 12:45:35,,996962521.1107315,
2025-08-21 12:45:40,,1026734482.5225655,
2025-08-21 12:45:45,,1056506120.6860743,
2025-08-21 12:45:50,,1107583035.4032912,
2025-08-21 12:45:55,,1166356949.8044434,
2025-08-21 12:46:00,,1214523581.9426348,
2025-08-21 12:46:05,,1241932498.7240243,
2025-08-21 12:46:10,,1242951116.1830711,
2025-08-21 12:46:15,,1242951116.1830711,
2025-08-21 12:46:20,,1180320152.8797994,
2025-08-21 12:46:25,,1185741948.6213903,
2025-08-21 12:46:30,,1216171196.7583654,
2025-08-21 12:46:35,,1264561168.2501724,
2025-08-21 12:46:40,,1264561168.2501724,
2025-08-21 12:46:45,,1264561168.2501724,
2025-08-21 12:46:50,,1228540669.9300191,
2025-08-21 12:46:55,,1194897411.812079,
2025-08-21 12:47:00,,1235956122.915426,
2025-08-21 12:47:05,,1268709842.15085,
2025-08-21 12:47:10,,1268709842.15085,
2025-08-21 12:47:15,,1269577885.6704226,
2025-08-21 12:47:20,,1270103954.3488934,
2025-08-21 12:47:25,,1235409726.2726016,
2025-08-21 12:47:30,,1205329995.767107,
2025-08-21 12:47:35,,1276550633.4042459,
2025-08-21 12:47:40,,1276550633.4042459,
2025-08-21 12:47:45,,1244046753.0168178,
2025-08-21 12:47:50,,1193748483.196724,
2025-08-21 12:47:55,,1186008411.7844894,
2025-08-21 12:48:00,,1275845725.9075396,
2025-08-21 12:48:05,,1275845710.6912525,
2025-08-21 12:48:10,,1275845710.6912525,
2025-08-21 12:48:15,,1246512489.931109,
2025-08-21 12:48:20,,1270055692.5225852,
2025-08-21 12:48:25,,1271044370.9634788,
2025-08-21 12:48:30,,1281108464.677029,
2025-08-21 12:48:35,,1281997594.8472886,
2025-08-21 12:48:40,,1281997594.8472886,
2025-08-21 12:48:45,,1281997594.8472886,
2025-08-21 12:48:50,,1282862218.4423058,
2025-08-21 12:48:55,,1245739346.0013232,
2025-08-21 12:49:00,,1195058989.557827,
2025-08-21 12:49:05,,1283501040.0111873,
2025-08-21 12:49:10,,1283501040.0111873,
2025-08-21 12:49:15,,1238966766.959511,
2025-08-21 12:49:20,,1216627091.780955,
2025-08-21 12:49:25,,1247935949.2436574,
2025-08-21 12:49:30,,1281453593.5019546,
2025-08-21 12:49:35,,1282179760.7382708,
2025-08-21 12:49:40,,1282179760.7382708,
2025-08-21 12:49:45,,1281089257.1204784,
2025-08-21 12:49:50,,1273006026.998127,
2025-08-21 12:49:55,,1281110462.1480875,
2025-08-21 12:50:00,,1247359027.874492,
2025-08-21 12:50:05,,1277927117.652248,
2025-08-21 12:50:10,,1277927117.652248,
2025-08-21 12:50:15,,1277927117.652248,
2025-08-21 12:50:20,,1246144938.5143917,
2025-08-21 12:50:25,,1274094296.930962,
2025-08-21 12:50:30,,1266167013.6796641,
2025-08-21 12:50:35,,1271366059.7677655,
2025-08-21 12:50:40,,1271366059.7677655,
2025-08-21 12:50:45,,1271366059.7677655,
2025-08-21 12:50:50,,1271630103.7920766,
2025-08-21 12:50:55,,1175784564.452057,
2025-08-21 12:51:00,,1232947618.409937,
2025-08-21 12:51:05,,1268854692.6078079,
2025-08-21 12:51:10,,1268854692.6078079,
2025-08-21 12:51:15,,1268854692.6078079,
2025-08-21 12:51:20,,1263861113.001509,
2025-08-21 12:51:25,,1261741606.5654414,
2025-08-21 12:51:30,,1271416535.7333975,
2025-08-21 12:51:35,,1273440266.915117,
2025-08-21 12:51:40,,1273440266.915117,
2025-08-21 12:51:45,,1273440266.915117,
2025-08-21 12:51:50,,1210459769.0787373,
2025-08-21 12:51:55,,1238533707.4136438,
2025-08-21 12:52:00,,1232405822.0659792,
2025-08-21 12:52:05,,1280363749.5341167,
2025-08-21 12:52:10,,1280363749.5341167,
2025-08-21 12:52:15,,1281428476.165931,
2025-08-21 12:52:20,,1239230751.2047725,
2025-08-21 12:52:25,,1151169982.2811308,
2025-08-21 12:52:30,,1233791710.878738,
2025-08-21 12:52:35,,1290743544.8441827,
2025-08-21 12:52:40,,1263734199.3347218,
2025-08-21 12:52:45,,1291522102.2061384,
2025-08-21 12:52:50,,1282789689.6905975,
2025-08-21 12:52:55,,1285100545.373358,
2025-08-21 12:53:00,,1229120819.8559053,
2025-08-21 12:53:05,,1289560075.5610254,
2025-08-21 12:53:10,,1289560075.5610254,
2025-08-21 12:53:15,,1258865311.052922,
2025-08-21 12:53:20,,1193927423.6762269,
2025-08-21 12:53:25,,1203073034.463482,
2025-08-21 12:53:30,,1250979344.3332667,
2025-08-21 12:53:35,,1283463574.6755593,
2025-08-21 12:53:40,,1283463574.6755593,
2025-08-21 12:53:45,,1282711674.2832913,
2025-08-21 12:53:50,,1282711642.9470077,
2025-08-21 12:53:55,,1278019693.4739356,
2025-08-21 12:54:00,,1285330809.3179183,
2025-08-21 12:54:05,,1283840954.7951682,
2025-08-21 12:54:10,,1283840954.7951682,
2025-08-21 12:54:15,,1251573332.1158686,
2025-08-21 12:54:20,,1241522480.400848,
2025-08-21 12:54:25,,1216153154.5653543,
2025-08-21 12:54:30,,1206294540.7753396,
2025-08-21 12:54:35,,1285896214.3186562,
2025-08-21 12:54:40,,1285896214.3186562,
2025-08-21 12:54:45,,1243622274.0935862,
2025-08-21 12:54:50,,1243970624.7182705,
2025-08-21 12:54:55,,1281573543.2922516,
2025-08-21 12:55:00,,1267042090.1620662,
2025-08-21 14:38:00,,,1085507428.5023134
2025-08-21 14:38:05,,,1221509199.6594224
2025-08-21 14:38:10,,,1258339243.508954
2025-08-21 14:38:15,,,1284069707.2091737
2025-08-21 14:38:20,,,1267463208.7490168
2025-08-21 14:38:25,,,1266490786.5226007
2025-08-21 14:38:30,,,1367133474.407295
2025-08-21 14:38:35,,,1412414492.7314255
2025-08-21 14:38:40,,,1412414492.7314255
