Time,"flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.16:9249"",job=""default/flink-pod-monitor"",job_id=""a867c20df78e03c8d56d51f6763385e1"",job_name=""insert_into_default_catalog_default_database_print_sink"",namespace=""default"",pod=""flink-7767bf8b96-rrn9v""}","flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.17:9249"",job=""default/flink-pod-monitor"",job_id=""fb34ee63261b21329144976c038b1aac"",job_name=""insert_into_default_catalog_default_database_print_sink"",namespace=""default"",pod=""flink-7767bf8b96-l4hw6""}","flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.18:9249"",job=""default/flink-pod-monitor"",job_id=""538a7659b6ebe3f85e64b352a6140c21"",job_name=""insert_into_default_catalog_default_database_print_sink"",namespace=""default"",pod=""flink-7767bf8b96-n5nsx""}","flink_jobmanager_job_lastCheckpointSize{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.19:9249"",job=""default/flink-pod-monitor"",job_id=""21b5fb0f20cc0645884e04da95a97373"",job_name=""insert_into_default_catalog_default_database_print_sink"",namespace=""default"",pod=""flink-7767bf8b96-rfjqc""}"
2025-08-13 11:46:00,14503401.0,,,
2025-08-13 11:47:00,26920506.0,,,
2025-08-13 11:48:00,6497658.0,,,
2025-08-13 11:49:00,19184830.0,,,
2025-08-13 11:50:00,14620408.0,,,
2025-08-13 11:51:00,27023841.0,,,
2025-08-13 11:52:00,6601005.0,,,
2025-08-13 11:53:00,18456954.0,,,
2025-08-13 11:54:00,14902960.0,,,
2025-08-13 11:55:00,26208672.0,,,
2025-08-13 11:56:00,6719370.0,,,
2025-08-13 12:05:00,,12942024.0,,
2025-08-13 12:06:00,,14884087.0,,
2025-08-13 12:07:00,,21207108.0,,
2025-08-13 12:08:00,,19022257.0,,
2025-08-13 12:09:00,,14183830.0,,
2025-08-13 12:10:00,,10847740.0,,
2025-08-13 12:11:00,,21391752.0,,
2025-08-13 12:12:00,,19184233.0,,
2025-08-13 12:13:00,,13392254.0,,
2025-08-13 12:14:00,,10872399.0,,
2025-08-13 12:15:00,,20479008.0,,
2025-08-13 12:28:00,,,6749898.0,
2025-08-13 12:29:00,,,7050730.0,
2025-08-13 12:30:00,,,7021069.0,
2025-08-13 12:31:00,,,7144445.0,
2025-08-13 12:32:00,,,7205802.0,
2025-08-13 12:33:00,,,7635364.0,
2025-08-13 12:34:00,,,6320223.0,
2025-08-13 12:35:00,,,7449556.0,
2025-08-13 12:36:00,,,7216957.0,
2025-08-13 12:37:00,,,8232479.0,
2025-08-13 12:38:00,,,7330674.0,
2025-08-13 12:51:00,,,,18356820.0
2025-08-13 12:52:00,,,,12190128.0
2025-08-13 12:53:00,,,,18225593.0
2025-08-13 12:54:00,,,,12226804.0
2025-08-13 12:55:00,,,,18385423.0
2025-08-13 12:56:00,,,,12151006.0
2025-08-13 12:57:00,,,,18398305.0
2025-08-13 12:58:00,,,,11668985.0
2025-08-13 12:59:00,,,,17882473.0
2025-08-13 13:00:00,,,,11657067.0
2025-08-13 13:01:00,,,,17723362.0
