Time,"flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.16:9249"",job=""default/flink-pod-monitor"",job_id=""a867c20df78e03c8d56d51f6763385e1"",job_name=""insert_into_default_catalog_default_database_print_sink"",namespace=""default"",pod=""flink-7767bf8b96-rrn9v""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.17:9249"",job=""default/flink-pod-monitor"",job_id=""fb34ee63261b21329144976c038b1aac"",job_name=""insert_into_default_catalog_default_database_print_sink"",namespace=""default"",pod=""flink-7767bf8b96-l4hw6""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.18:9249"",job=""default/flink-pod-monitor"",job_id=""538a7659b6ebe3f85e64b352a6140c21"",job_name=""insert_into_default_catalog_default_database_print_sink"",namespace=""default"",pod=""flink-7767bf8b96-n5nsx""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.19:9249"",job=""default/flink-pod-monitor"",job_id=""21b5fb0f20cc0645884e04da95a97373"",job_name=""insert_into_default_catalog_default_database_print_sink"",namespace=""default"",pod=""flink-7767bf8b96-rfjqc""}"
2025-08-13 11:46:00,860.0,,,
2025-08-13 11:47:00,1057.0,,,
2025-08-13 11:48:00,769.0,,,
2025-08-13 11:49:00,852.0,,,
2025-08-13 11:50:00,812.0,,,
2025-08-13 11:51:00,975.0,,,
2025-08-13 11:52:00,821.0,,,
2025-08-13 11:53:00,777.0,,,
2025-08-13 11:54:00,849.0,,,
2025-08-13 11:55:00,850.0,,,
2025-08-13 11:56:00,755.0,,,
2025-08-13 12:05:00,,2952.0,,
2025-08-13 12:06:00,,970.0,,
2025-08-13 12:07:00,,780.0,,
2025-08-13 12:08:00,,861.0,,
2025-08-13 12:09:00,,699.0,,
2025-08-13 12:10:00,,692.0,,
2025-08-13 12:11:00,,717.0,,
2025-08-13 12:12:00,,852.0,,
2025-08-13 12:13:00,,737.0,,
2025-08-13 12:14:00,,740.0,,
2025-08-13 12:15:00,,706.0,,
2025-08-13 12:28:00,,,425.0,
2025-08-13 12:29:00,,,248.0,
2025-08-13 12:30:00,,,344.0,
2025-08-13 12:31:00,,,313.0,
2025-08-13 12:32:00,,,276.0,
2025-08-13 12:33:00,,,321.0,
2025-08-13 12:34:00,,,231.0,
2025-08-13 12:35:00,,,181.0,
2025-08-13 12:36:00,,,255.0,
2025-08-13 12:37:00,,,264.0,
2025-08-13 12:38:00,,,315.0,
2025-08-13 12:51:00,,,,1056.0
2025-08-13 12:52:00,,,,956.0
2025-08-13 12:53:00,,,,1172.0
2025-08-13 12:54:00,,,,1048.0
2025-08-13 12:55:00,,,,1153.0
2025-08-13 12:56:00,,,,959.0
2025-08-13 12:57:00,,,,1249.0
2025-08-13 12:58:00,,,,842.0
2025-08-13 12:59:00,,,,1176.0
2025-08-13 13:00:00,,,,877.0
2025-08-13 13:01:00,,,,1174.0
