Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_14"",instance=""10.42.4.14:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_15"",instance=""10.42.4.15:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_16"",instance=""10.42.4.16:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_17"",instance=""10.42.4.17:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-08-13 11:46:00,0.435,,,
2025-08-13 11:46:05,0.3935,,,
2025-08-13 11:46:10,0.3735,,,
2025-08-13 11:46:15,0.4345,,,
2025-08-13 11:46:20,0.3705,,,
2025-08-13 11:46:25,0.442,,,
2025-08-13 11:46:30,0.3915,,,
2025-08-13 11:46:35,0.4,,,
2025-08-13 11:46:40,0.4005,,,
2025-08-13 11:46:45,0.4945,,,
2025-08-13 11:46:50,0.382,,,
2025-08-13 11:46:55,0.392,,,
2025-08-13 11:47:00,0.379,,,
2025-08-13 11:47:05,0.429,,,
2025-08-13 11:47:10,0.376,,,
2025-08-13 11:47:15,0.426,,,
2025-08-13 11:47:20,0.389,,,
2025-08-13 11:47:25,0.4295,,,
2025-08-13 11:47:30,0.3885,,,
2025-08-13 11:47:35,0.417,,,
2025-08-13 11:47:40,0.3845,,,
2025-08-13 11:47:45,0.448,,,
2025-08-13 11:47:50,0.376,,,
2025-08-13 11:47:55,0.4165,,,
2025-08-13 11:48:00,0.3895,,,
2025-08-13 11:48:05,0.402,,,
2025-08-13 11:48:10,0.389,,,
2025-08-13 11:48:15,0.435,,,
2025-08-13 11:48:20,0.3965,,,
2025-08-13 11:48:25,0.4635,,,
2025-08-13 11:48:30,0.362,,,
2025-08-13 11:48:35,0.3855,,,
2025-08-13 11:48:40,0.387,,,
2025-08-13 11:48:45,0.447,,,
2025-08-13 11:48:50,0.3765,,,
2025-08-13 11:48:55,0.408,,,
2025-08-13 11:49:00,0.402,,,
2025-08-13 11:49:05,0.4605,,,
2025-08-13 11:49:10,0.396,,,
2025-08-13 11:49:15,0.4255,,,
2025-08-13 11:49:20,0.3745,,,
2025-08-13 11:49:25,0.422,,,
2025-08-13 11:49:30,0.3675,,,
2025-08-13 11:49:35,0.402,,,
2025-08-13 11:49:40,0.391,,,
2025-08-13 11:49:45,0.4655,,,
2025-08-13 11:49:50,0.401,,,
2025-08-13 11:49:55,0.411,,,
2025-08-13 11:50:00,0.4075,,,
2025-08-13 11:50:05,0.384,,,
2025-08-13 11:50:10,0.3625,,,
2025-08-13 11:50:15,0.4115,,,
2025-08-13 11:50:20,0.3795,,,
2025-08-13 11:50:25,0.449,,,
2025-08-13 11:50:30,0.369,,,
2025-08-13 11:50:35,0.3965,,,
2025-08-13 11:50:40,0.3955,,,
2025-08-13 11:50:45,0.4815,,,
2025-08-13 11:50:50,0.36,,,
2025-08-13 11:50:55,0.388,,,
2025-08-13 11:51:00,0.3925,,,
2025-08-13 11:51:05,0.429,,,
2025-08-13 11:51:10,0.3725,,,
2025-08-13 11:51:15,0.4145,,,
2025-08-13 11:51:20,0.3705,,,
2025-08-13 11:51:25,0.4225,,,
2025-08-13 11:51:30,0.382,,,
2025-08-13 11:51:35,0.4165,,,
2025-08-13 11:51:40,0.3795,,,
2025-08-13 11:51:45,0.448,,,
2025-08-13 11:51:50,0.3665,,,
2025-08-13 11:51:55,0.3935,,,
2025-08-13 11:52:00,0.385,,,
2025-08-13 11:52:05,0.397,,,
2025-08-13 11:52:10,0.3815,,,
2025-08-13 11:52:15,0.43,,,
2025-08-13 11:52:20,0.3925,,,
2025-08-13 11:52:25,0.464,,,
2025-08-13 11:52:30,0.36,,,
2025-08-13 11:52:35,0.381,,,
2025-08-13 11:52:40,0.385,,,
2025-08-13 11:52:45,0.4345,,,
2025-08-13 11:52:50,0.375,,,
2025-08-13 11:52:55,0.402,,,
2025-08-13 11:53:00,0.395,,,
2025-08-13 11:53:05,0.4415,,,
2025-08-13 11:53:10,0.3865,,,
2025-08-13 11:53:15,0.4155,,,
2025-08-13 11:53:20,0.36,,,
2025-08-13 11:53:25,0.409,,,
2025-08-13 11:53:30,0.3685,,,
2025-08-13 11:53:35,0.396,,,
2025-08-13 11:53:40,0.393,,,
2025-08-13 11:53:45,0.474,,,
2025-08-13 11:53:50,0.381,,,
2025-08-13 11:53:55,0.411,,,
2025-08-13 11:54:00,0.417,,,
2025-08-13 11:54:05,0.423,,,
2025-08-13 11:54:10,0.365,,,
2025-08-13 11:54:15,0.4045,,,
2025-08-13 11:54:20,0.37,,,
2025-08-13 11:54:25,0.433,,,
2025-08-13 11:54:30,0.3775,,,
2025-08-13 11:54:35,0.4025,,,
2025-08-13 11:54:40,0.402,,,
2025-08-13 11:54:45,0.4635,,,
2025-08-13 11:54:50,0.368,,,
2025-08-13 11:54:55,0.394,,,
2025-08-13 11:55:00,0.375,,,
2025-08-13 11:55:05,0.4165,,,
2025-08-13 11:55:10,0.382,,,
2025-08-13 11:55:15,0.406,,,
2025-08-13 11:55:20,0.3835,,,
2025-08-13 11:55:25,0.4215,,,
2025-08-13 11:55:30,0.3835,,,
2025-08-13 11:55:35,0.4245,,,
2025-08-13 11:55:40,0.38,,,
2025-08-13 11:55:45,0.44,,,
2025-08-13 11:55:50,0.3845,,,
2025-08-13 11:55:55,0.395,,,
2025-08-13 11:56:00,0.396,,,
2025-08-13 12:05:00,,0.42,,
2025-08-13 12:05:05,,0.391,,
2025-08-13 12:05:10,,0.396,,
2025-08-13 12:05:15,,0.3805,,
2025-08-13 12:05:20,,0.485,,
2025-08-13 12:05:25,,0.3995,,
2025-08-13 12:05:30,,0.4575,,
2025-08-13 12:05:35,,0.4105,,
2025-08-13 12:05:40,,0.3905,,
2025-08-13 12:05:45,,0.422,,
2025-08-13 12:05:50,,0.472,,
2025-08-13 12:05:55,,0.335,,
2025-08-13 12:06:00,,0.4085,,
2025-08-13 12:06:05,,0.3965,,
2025-08-13 12:06:10,,0.4125,,
2025-08-13 12:06:15,,0.417,,
2025-08-13 12:06:20,,0.457,,
2025-08-13 12:06:25,,0.3865,,
2025-08-13 12:06:30,,0.4205,,
2025-08-13 12:06:35,,0.4225,,
2025-08-13 12:06:40,,0.4275,,
2025-08-13 12:06:45,,0.305,,
2025-08-13 12:06:50,,0.428,,
2025-08-13 12:06:55,,0.383,,
2025-08-13 12:07:00,,0.4195,,
2025-08-13 12:07:05,,0.3965,,
2025-08-13 12:07:10,,0.422,,
2025-08-13 12:07:15,,0.398,,
2025-08-13 12:07:20,,0.492,,
2025-08-13 12:07:25,,0.4195,,
2025-08-13 12:07:30,,0.38,,
2025-08-13 12:07:35,,0.3505,,
2025-08-13 12:07:40,,0.406,,
2025-08-13 12:07:45,,0.36,,
2025-08-13 12:07:50,,0.382,,
2025-08-13 12:07:55,,0.4445,,
2025-08-13 12:08:00,,0.3655,,
2025-08-13 12:08:05,,0.4945,,
2025-08-13 12:08:10,,0.4215,,
2025-08-13 12:08:15,,0.398,,
2025-08-13 12:08:20,,0.4235,,
2025-08-13 12:08:25,,0.3735,,
2025-08-13 12:08:30,,0.38,,
