Time,{},{},{},{}
2025-08-13 11:46:00,105644032.0,,,
2025-08-13 11:47:00,226426880.0,,,
2025-08-13 11:48:00,449118208.0,,,
2025-08-13 11:49:00,503250944.0,,,
2025-08-13 11:50:00,662831104.0,,,
2025-08-13 11:51:00,284229632.0,,,
2025-08-13 11:52:00,507904000.0,,,
2025-08-13 11:53:00,563150848.0,,,
2025-08-13 11:54:00,716832768.0,,,
2025-08-13 11:55:00,840695808.0,,,
2025-08-13 11:56:00,345112576.0,,,
2025-08-13 12:05:00,,117440512.0,,
2025-08-13 12:06:00,,236453888.0,,
2025-08-13 12:07:00,,412221440.0,,
2025-08-13 12:08:00,,569376768.0,,
2025-08-13 12:09:00,,687079424.0,,
2025-08-13 12:10:00,,94961664.0,,
2025-08-13 12:11:00,,272629760.0,,
2025-08-13 12:12:00,,431620096.0,,
2025-08-13 12:13:00,,543031296.0,,
2025-08-13 12:14:00,,633864192.0,,
2025-08-13 12:15:00,,174981120.0,,
2025-08-13 12:28:00,,,101646336.0,
2025-08-13 12:29:00,,,162463744.0,
2025-08-13 12:30:00,,,222560256.0,
2025-08-13 12:31:00,,,126418944.0,
2025-08-13 12:32:00,,,188612608.0,
2025-08-13 12:33:00,,,254476288.0,
2025-08-13 12:34:00,,,308674560.0,
2025-08-13 12:35:00,,,373161984.0,
2025-08-13 12:36:00,,,130678784.0,
2025-08-13 12:37:00,,,202047488.0,
2025-08-13 12:38:00,,,264699904.0,
2025-08-13 12:51:00,,,,194052096.0
2025-08-13 12:52:00,,,,295370752.0
2025-08-13 12:53:00,,,,295370752.0
2025-08-13 12:54:00,,,,445644800.0
2025-08-13 12:55:00,,,,546897920.0
2025-08-13 12:56:00,,,,256835584.0
2025-08-13 12:57:00,,,,357498880.0
2025-08-13 12:58:00,,,,509280256.0
2025-08-13 12:59:00,,,,606076928.0
2025-08-13 13:00:00,,,,753795072.0
2025-08-13 13:01:00,,,,300285952.0
