Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-13 11:46:00,67659.0,216.0,234.0,,252.0,75.0,211.0,65.0,132.0,169.0,212.0,5629.0,3071.0,640.0,3505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 11:47:00,641576.0,277.0,201.0,754.0,2751.0,44.0,102.0,,151.0,175.0,271.0,7642.0,2710.0,726.0,3489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 11:48:00,74473.0,264.0,136.0,617.0,288.0,36.0,2095.0,,135.0,187.0,220.0,5925.0,2309.0,1119.0,3391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 11:49:00,57402.0,163.0,119.0,589.0,316.0,38.0,349.0,,127.0,153.0,238.0,7013.0,2202.0,1194.0,3316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 11:50:00,69031.0,177.0,123.0,611.0,318.0,50.0,258.0,,127.0,164.0,192.0,6811.0,2749.0,1015.0,3390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 11:51:00,57395.0,202.0,237.0,592.0,348.0,33.0,601.0,,120.0,146.0,194.0,5143.0,3186.0,761.0,3840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 11:52:00,73689.0,189.0,204.0,597.0,356.0,32.0,121.0,,119.0,162.0,221.0,6283.0,2471.0,803.0,3380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 11:53:00,60822.0,170.0,149.0,620.0,340.0,32.0,172.0,,119.0,297.0,199.0,5666.0,2806.0,885.0,3256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 11:54:00,46205.0,175.0,133.0,633.0,368.0,41.0,126.0,,120.0,185.0,271.0,8485.0,2008.0,823.0,3845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 11:55:00,58557.0,190.0,127.0,607.0,355.0,42.0,116.0,,362.0,266.0,202.0,5971.0,2761.0,791.0,3253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 11:56:00,74255.0,194.0,137.0,602.0,336.0,22.0,108.0,,120.0,163.0,208.0,5514.0,2437.0,854.0,3655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 12:05:00,,,,,,,,,,,,,,,,531074.0,209.0,150.0,706.0,332.0,61.0,,70.0,213.0,185.0,210.0,4563.0,2627.0,612.0,4383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 12:06:00,,,,,,,,,,,,,,,,726487.0,178.0,146.0,598.0,343.0,43.0,110.0,,179.0,161.0,213.0,8912.0,3519.0,898.0,3774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 12:07:00,,,,,,,,,,,,,,,,57011.0,195.0,134.0,606.0,367.0,24.0,247.0,,151.0,178.0,201.0,6195.0,2078.0,920.0,3800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 12:08:00,,,,,,,,,,,,,,,,56155.0,163.0,142.0,627.0,312.0,29.0,130.0,,121.0,155.0,213.0,3987.0,2656.0,1060.0,3126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 12:09:00,,,,,,,,,,,,,,,,62725.0,166.0,203.0,812.0,307.0,37.0,114.0,,145.0,175.0,197.0,5365.0,3467.0,939.0,3724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 12:10:00,,,,,,,,,,,,,,,,48676.0,206.0,145.0,606.0,354.0,55.0,113.0,66.0,174.0,157.0,196.0,7430.0,2796.0,881.0,4602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 12:11:00,,,,,,,,,,,,,,,,56793.0,169.0,143.0,733.0,379.0,43.0,118.0,,132.0,151.0,215.0,4594.0,2042.0,820.0,3166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 12:12:00,,,,,,,,,,,,,,,,58239.0,171.0,179.0,597.0,310.0,23.0,109.0,,142.0,183.0,194.0,5329.0,2703.0,829.0,3264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 12:13:00,,,,,,,,,,,,,,,,59372.0,169.0,145.0,712.0,339.0,30.0,126.0,,168.0,219.0,230.0,8969.0,2545.0,846.0,3851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 12:14:00,,,,,,,,,,,,,,,,65839.0,182.0,121.0,604.0,320.0,32.0,104.0,,124.0,154.0,255.0,7337.0,2189.0,851.0,3303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
