Time,{},{},{},{}
2025-08-13 08:13:00,294367555.48186266,,,
2025-08-13 08:13:05,310474454.5282084,,,
2025-08-13 08:13:10,325239983.09259874,,,
2025-08-13 08:13:15,352822869.4804117,,,
2025-08-13 08:13:20,353110582.53113484,,,
2025-08-13 08:13:25,353132781.0691017,,,
2025-08-13 08:13:30,320607867.5027942,,,
2025-08-13 08:13:35,328813670.2337363,,,
2025-08-13 08:13:40,351246326.6980249,,,
2025-08-13 08:13:45,351040221.45934415,,,
2025-08-13 08:13:50,351040221.45934415,,,
2025-08-13 08:13:55,326796150.6155475,,,
2025-08-13 08:14:00,329996085.69726115,,,
2025-08-13 08:14:05,312809814.62960714,,,
2025-08-13 08:14:10,352897613.6945244,,,
2025-08-13 08:14:15,353188622.75359476,,,
2025-08-13 08:14:20,353130519.20339024,,,
2025-08-13 08:14:25,353111139.608116,,,
2025-08-13 08:14:30,330205857.4182735,,,
2025-08-13 08:14:35,340795002.6620623,,,
2025-08-13 08:14:40,333811267.07849216,,,
2025-08-13 08:14:45,351711608.83600295,,,
2025-08-13 08:14:50,351711608.83600295,,,
2025-08-13 08:14:55,343777799.92783654,,,
2025-08-13 08:15:00,328503505.79306054,,,
2025-08-13 08:15:05,319346387.0345642,,,
2025-08-13 08:15:10,345490320.82621133,,,
2025-08-13 08:15:15,354151889.9869641,,,
2025-08-13 08:15:20,354151889.9869641,,,
2025-08-13 08:15:25,336079789.12596846,,,
2025-08-13 08:15:30,342503295.5287589,,,
2025-08-13 08:15:35,330241336.038073,,,
2025-08-13 08:15:40,336444303.5107898,,,
2025-08-13 08:15:45,351838192.2096811,,,
2025-08-13 08:15:50,351838192.2096811,,,
2025-08-13 08:15:55,351920711.45077837,,,
2025-08-13 08:16:00,335573971.0121856,,,
2025-08-13 08:16:05,342368742.5075312,,,
2025-08-13 08:16:10,345266414.14707637,,,
2025-08-13 08:16:15,353772345.4484292,,,
2025-08-13 08:16:20,353772345.4484292,,,
2025-08-13 08:16:25,353731193.2625745,,,
2025-08-13 08:16:30,333237740.89728206,,,
2025-08-13 08:16:35,342628460.4150221,,,
2025-08-13 08:16:40,351607659.70440805,,,
2025-08-13 08:16:45,351386501.87506926,,,
2025-08-13 08:16:50,351386501.87506926,,,
2025-08-13 08:16:55,335680719.0024208,,,
2025-08-13 08:17:00,319602683.5926821,,,
2025-08-13 08:17:05,331608497.7448999,,,
2025-08-13 08:17:10,352360420.26300883,,,
2025-08-13 08:17:15,352507227.0489513,,,
2025-08-13 08:17:20,352507227.0489513,,,
2025-08-13 08:17:25,352335301.3000815,,,
2025-08-13 08:17:30,341692611.65824455,,,
2025-08-13 08:17:35,342157938.6658145,,,
2025-08-13 08:17:40,341027426.18836474,,,
2025-08-13 08:17:45,350860217.19939893,,,
2025-08-13 08:17:50,350860217.19939893,,,
2025-08-13 08:17:55,350860217.19939893,,,
2025-08-13 08:18:00,332643953.34123266,,,
2025-08-13 08:18:05,328364048.1114255,,,
2025-08-13 08:18:10,353218647.9547466,,,
2025-08-13 08:18:15,353218642.6270001,,,
2025-08-13 08:18:20,353218642.6270001,,,
2025-08-13 08:18:25,353137246.31424654,,,
2025-08-13 08:18:30,352900932.2873596,,,
2025-08-13 08:18:35,343803292.56018883,,,
2025-08-13 08:18:40,344348446.31854033,,,
2025-08-13 08:18:45,352527168.0301529,,,
2025-08-13 08:18:50,352527168.0301529,,,
2025-08-13 08:18:55,344768062.6837956,,,
2025-08-13 08:19:00,343969257.55992067,,,
2025-08-13 08:19:05,334445349.1844168,,,
2025-08-13 08:19:10,346443745.108943,,,
2025-08-13 08:19:15,355091350.496979,,,
2025-08-13 08:19:20,355091350.496979,,,
2025-08-13 08:19:25,355091383.8597068,,,
2025-08-13 08:19:30,310378733.91801935,,,
2025-08-13 08:19:35,312834727.4270877,,,
2025-08-13 08:19:40,330588882.656991,,,
2025-08-13 08:19:45,353011421.53705716,,,
2025-08-13 08:19:50,353011421.53705716,,,
2025-08-13 08:19:55,353011358.34378684,,,
2025-08-13 08:20:00,353328144.1768392,,,
2025-08-13 08:20:05,336055130.1709535,,,
2025-08-13 08:20:10,332995518.4408256,,,
2025-08-13 08:20:15,354467838.34823585,,,
2025-08-13 08:20:20,354467838.34823585,,,
2025-08-13 08:20:25,354439029.7174533,,,
2025-08-13 08:20:30,343804566.0278797,,,
2025-08-13 08:20:35,352270965.98498124,,,
2025-08-13 08:20:40,335443563.898538,,,
2025-08-13 08:20:45,351826379.225278,,,
2025-08-13 08:20:50,351826379.225278,,,
2025-08-13 08:20:55,336137156.11006653,,,
2025-08-13 08:21:00,319007455.9190557,,,
2025-08-13 08:21:05,320358637.6574083,,,
2025-08-13 08:21:10,344850651.72611773,,,
2025-08-13 08:21:15,353211191.81382835,,,
2025-08-13 08:21:20,353211191.8138284,,,
2025-08-13 08:21:25,353211172.6242085,,,
2025-08-13 08:21:30,343819800.4462902,,,
2025-08-13 08:21:35,307049781.78410083,,,
2025-08-13 08:21:40,334636428.0898028,,,
2025-08-13 08:21:45,351051515.9514685,,,
2025-08-13 08:21:50,351051515.9514685,,,
2025-08-13 08:21:55,343731262.1210365,,,
2025-08-13 08:22:00,332624097.77384365,,,
2025-08-13 08:22:05,352786992.0534627,,,
2025-08-13 08:22:10,353183018.04852617,,,
2025-08-13 08:22:15,353355805.84080243,,,
2025-08-13 08:22:20,353355775.9523841,,,
2025-08-13 08:22:25,343948749.4922855,,,
2025-08-13 08:22:30,333861450.05705434,,,
2025-08-13 08:22:35,351945735.41994965,,,
2025-08-13 08:22:40,351834062.11070853,,,
2025-08-13 08:22:45,351834051.41335666,,,
2025-08-13 08:22:50,351834051.41335666,,,
2025-08-13 08:22:55,351834059.1308555,,,
2025-08-13 08:23:00,323199588.10869503,,,
2025-08-13 08:30:00,,219335788.99992102,,
2025-08-13 08:30:05,,229833121.54803443,,
2025-08-13 08:30:10,,257141603.30484167,,
2025-08-13 08:30:15,,288793216.869613,,
2025-08-13 08:30:20,,302827529.65426326,,
2025-08-13 08:30:25,,316719438.50291276,,
2025-08-13 08:30:30,,321354661.05481905,,
2025-08-13 08:30:35,,336863648.40931284,,
2025-08-13 08:30:40,,334273962.7016665,,
2025-08-13 08:30:45,,352446263.8112762,,
2025-08-13 08:30:50,,352465940.5913591,,
2025-08-13 08:30:55,,352621882.4140051,,
2025-08-13 08:31:00,,324183930.15106493,,
2025-08-13 08:31:05,,341453465.3338608,,
2025-08-13 08:31:10,,335301619.9540326,,
2025-08-13 08:31:15,,351835237.6741046,,
2025-08-13 08:31:20,,351835237.6741046,,
2025-08-13 08:31:25,,304325290.09459263,,
2025-08-13 08:31:30,,314327694.9346598,,
2025-08-13 08:31:35,,298776630.2079656,,
2025-08-13 08:31:40,,352431508.59245795,,
2025-08-13 08:31:45,,352433423.5730121,,
2025-08-13 08:31:50,,352433423.5730121,,
2025-08-13 08:31:55,,352391373.5809582,,
2025-08-13 08:32:00,,352479156.1933163,,
2025-08-13 08:32:05,,351862307.82641387,,
2025-08-13 08:32:10,,343309055.0211625,,
2025-08-13 08:32:15,,351750975.04449683,,
2025-08-13 08:32:20,,351750975.04449683,,
2025-08-13 08:32:25,,351376012.71254534,,
2025-08-13 08:32:30,,333992614.8223872,,
2025-08-13 08:32:35,,341609470.66595495,,
2025-08-13 08:32:40,,351308865.14709157,,
2025-08-13 08:32:45,,351423871.12652284,,
2025-08-13 08:32:50,,351423871.12652284,,
2025-08-13 08:32:55,,318479616.32435334,,
2025-08-13 08:33:00,,316263239.2050388,,
2025-08-13 08:33:05,,299424659.97897506,,
2025-08-13 08:33:10,,351562720.8749185,,
2025-08-13 08:33:15,,351679096.4272417,,
2025-08-13 08:33:20,,351679096.4272417,,
2025-08-13 08:33:25,,351679096.4272417,,
2025-08-13 08:33:30,,351596889.4505156,,
2025-08-13 08:33:35,,333158237.86932164,,
2025-08-13 08:33:40,,353612026.58172303,,
2025-08-13 08:33:45,,353630198.5217623,,
2025-08-13 08:33:50,,353630198.5217623,,
2025-08-13 08:33:55,,353630198.5217623,,
2025-08-13 08:34:00,,353291175.08274716,,
2025-08-13 08:34:05,,353062583.31431925,,
2025-08-13 08:34:10,,352972169.87791175,,
2025-08-13 08:34:15,,352972189.0380563,,
2025-08-13 08:34:20,,352972189.0380563,,
2025-08-13 08:34:25,,327913899.6197764,,
2025-08-13 08:34:30,,340853570.1212007,,
2025-08-13 08:34:35,,326129002.5071846,,
2025-08-13 08:34:40,,352976944.0314484,,
2025-08-13 08:34:45,,353063354.8900158,,
