Time,"flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.12:9249"",job=""default/flink-pod-monitor"",job_id=""195e9f06ebbc303584b5450f62536c30"",job_name=""insert_into_default_catalog_default_database_print_sink"",namespace=""default"",pod=""flink-7767bf8b96-m9lp4""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.13:9249"",job=""default/flink-pod-monitor"",job_id=""9e4cac0e686a458db5daa0f2aa5f2604"",job_name=""insert_into_default_catalog_default_database_print_sink"",namespace=""default"",pod=""flink-7767bf8b96-lq4nz""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.14:9249"",job=""default/flink-pod-monitor"",job_id=""7379670bda06efc4641b2b032bf1b5f0"",job_name=""insert_into_default_catalog_default_database_print_sink"",namespace=""default"",pod=""flink-7767bf8b96-lkps6""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.15:9249"",job=""default/flink-pod-monitor"",job_id=""6e22570055280d8e5a20b71ac2aa829c"",job_name=""insert_into_default_catalog_default_database_print_sink"",namespace=""default"",pod=""flink-7767bf8b96-nhjqr""}"
2025-08-13 08:13:00,425.0,,,
2025-08-13 08:14:00,500.0,,,
2025-08-13 08:15:00,430.0,,,
2025-08-13 08:16:00,400.0,,,
2025-08-13 08:17:00,388.0,,,
2025-08-13 08:18:00,514.0,,,
2025-08-13 08:19:00,386.0,,,
2025-08-13 08:20:00,399.0,,,
2025-08-13 08:21:00,359.0,,,
2025-08-13 08:22:00,416.0,,,
2025-08-13 08:23:00,433.0,,,
2025-08-13 08:30:00,,1148.0,,
2025-08-13 08:31:00,,413.0,,
2025-08-13 08:32:00,,416.0,,
2025-08-13 08:33:00,,466.0,,
2025-08-13 08:34:00,,409.0,,
2025-08-13 08:35:00,,402.0,,
2025-08-13 08:36:00,,396.0,,
2025-08-13 08:37:00,,450.0,,
2025-08-13 08:38:00,,421.0,,
2025-08-13 08:39:00,,368.0,,
2025-08-13 08:40:00,,366.0,,
2025-08-13 08:48:00,,,480.0,
2025-08-13 08:49:00,,,176.0,
2025-08-13 08:50:00,,,247.0,
2025-08-13 08:51:00,,,178.0,
2025-08-13 08:52:00,,,181.0,
2025-08-13 08:53:00,,,191.0,
2025-08-13 08:54:00,,,275.0,
2025-08-13 08:55:00,,,159.0,
2025-08-13 08:56:00,,,226.0,
2025-08-13 08:57:00,,,188.0,
2025-08-13 08:58:00,,,219.0,
2025-08-13 09:13:00,,,,1209.0
2025-08-13 09:14:00,,,,696.0
2025-08-13 09:15:00,,,,614.0
2025-08-13 09:16:00,,,,593.0
2025-08-13 09:17:00,,,,597.0
2025-08-13 09:18:00,,,,597.0
2025-08-13 09:19:00,,,,595.0
2025-08-13 09:20:00,,,,597.0
2025-08-13 09:21:00,,,,599.0
2025-08-13 09:22:00,,,,598.0
2025-08-13 09:23:00,,,,595.0
