Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_10"",instance=""10.42.4.10:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-2"",tm_id=""flink_taskmanager_1_2""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_11"",instance=""10.42.4.11:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_12"",instance=""10.42.4.12:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_13"",instance=""10.42.4.13:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-08-13 08:13:00,0.2915,,,
2025-08-13 08:13:05,0.2265,,,
2025-08-13 08:13:10,0.2875,,,
2025-08-13 08:13:15,0.238,,,
2025-08-13 08:13:20,0.287,,,
2025-08-13 08:13:25,0.234,,,
2025-08-13 08:13:30,0.279,,,
2025-08-13 08:13:35,0.206,,,
2025-08-13 08:13:40,0.3075,,,
2025-08-13 08:13:45,0.221,,,
2025-08-13 08:13:50,0.36,,,
2025-08-13 08:13:55,0.192,,,
2025-08-13 08:14:00,0.283,,,
2025-08-13 08:14:05,0.2085,,,
2025-08-13 08:14:10,0.274,,,
2025-08-13 08:14:15,0.222,,,
2025-08-13 08:14:20,0.2915,,,
2025-08-13 08:14:25,0.2365,,,
2025-08-13 08:14:30,0.28,,,
2025-08-13 08:14:35,0.201,,,
2025-08-13 08:14:40,0.302,,,
2025-08-13 08:14:45,0.21,,,
2025-08-13 08:14:50,0.3455,,,
2025-08-13 08:14:55,0.2005,,,
2025-08-13 08:15:00,0.291,,,
2025-08-13 08:15:05,0.2305,,,
2025-08-13 08:15:10,0.2795,,,
2025-08-13 08:15:15,0.238,,,
2025-08-13 08:15:20,0.2825,,,
2025-08-13 08:15:25,0.2245,,,
2025-08-13 08:15:30,0.274,,,
2025-08-13 08:15:35,0.201,,,
2025-08-13 08:15:40,0.3165,,,
2025-08-13 08:15:45,0.2155,,,
2025-08-13 08:15:50,0.347,,,
2025-08-13 08:15:55,0.2,,,
2025-08-13 08:16:00,0.3085,,,
2025-08-13 08:16:05,0.234,,,
2025-08-13 08:16:10,0.2925,,,
2025-08-13 08:16:15,0.229,,,
2025-08-13 08:16:20,0.2945,,,
2025-08-13 08:16:25,0.2425,,,
2025-08-13 08:16:30,0.281,,,
2025-08-13 08:16:35,0.211,,,
2025-08-13 08:16:40,0.3145,,,
2025-08-13 08:16:45,0.2115,,,
2025-08-13 08:16:50,0.3325,,,
2025-08-13 08:16:55,0.207,,,
2025-08-13 08:17:00,0.29,,,
2025-08-13 08:17:05,0.2155,,,
2025-08-13 08:17:10,0.2745,,,
2025-08-13 08:17:15,0.224,,,
2025-08-13 08:17:20,0.296,,,
2025-08-13 08:17:25,0.2395,,,
2025-08-13 08:17:30,0.279,,,
2025-08-13 08:17:35,0.217,,,
2025-08-13 08:17:40,0.312,,,
2025-08-13 08:17:45,0.239,,,
2025-08-13 08:17:50,0.369,,,
2025-08-13 08:17:55,0.194,,,
2025-08-13 08:18:00,0.2905,,,
2025-08-13 08:18:05,0.213,,,
2025-08-13 08:18:10,0.28,,,
2025-08-13 08:18:15,0.2355,,,
2025-08-13 08:18:20,0.293,,,
2025-08-13 08:18:25,0.237,,,
2025-08-13 08:18:30,0.277,,,
2025-08-13 08:18:35,0.204,,,
2025-08-13 08:18:40,0.307,,,
2025-08-13 08:18:45,0.22,,,
2025-08-13 08:18:50,0.3455,,,
2025-08-13 08:18:55,0.215,,,
2025-08-13 08:19:00,0.295,,,
2025-08-13 08:19:05,0.226,,,
2025-08-13 08:19:10,0.2865,,,
2025-08-13 08:19:15,0.242,,,
2025-08-13 08:19:20,0.2915,,,
2025-08-13 08:19:25,0.2275,,,
2025-08-13 08:19:30,0.29,,,
2025-08-13 08:19:35,0.2045,,,
2025-08-13 08:19:40,0.305,,,
2025-08-13 08:19:45,0.2125,,,
2025-08-13 08:19:50,0.354,,,
2025-08-13 08:19:55,0.2075,,,
2025-08-13 08:20:00,0.301,,,
2025-08-13 08:20:05,0.232,,,
2025-08-13 08:20:10,0.292,,,
2025-08-13 08:20:15,0.234,,,
2025-08-13 08:20:20,0.3015,,,
2025-08-13 08:20:25,0.244,,,
2025-08-13 08:20:30,0.283,,,
2025-08-13 08:20:35,0.221,,,
2025-08-13 08:20:40,0.332,,,
2025-08-13 08:20:45,0.2115,,,
2025-08-13 08:20:50,0.344,,,
2025-08-13 08:20:55,0.221,,,
2025-08-13 08:21:00,0.3075,,,
2025-08-13 08:21:05,0.2565,,,
2025-08-13 08:21:10,0.2865,,,
2025-08-13 08:21:15,0.222,,,
2025-08-13 08:21:20,0.291,,,
2025-08-13 08:21:25,0.2345,,,
2025-08-13 08:21:30,0.2825,,,
2025-08-13 08:21:35,0.2095,,,
2025-08-13 08:21:40,0.31,,,
2025-08-13 08:21:45,0.22,,,
2025-08-13 08:21:50,0.353,,,
2025-08-13 08:21:55,0.193,,,
2025-08-13 08:22:00,0.2875,,,
2025-08-13 08:22:05,0.2145,,,
2025-08-13 08:22:10,0.282,,,
2025-08-13 08:22:15,0.2205,,,
2025-08-13 08:22:20,0.297,,,
2025-08-13 08:22:25,0.2285,,,
2025-08-13 08:22:30,0.2785,,,
2025-08-13 08:22:35,0.2065,,,
2025-08-13 08:22:40,0.3045,,,
2025-08-13 08:22:45,0.22,,,
2025-08-13 08:22:50,0.3505,,,
2025-08-13 08:22:55,0.21,,,
2025-08-13 08:23:00,0.311,,,
2025-08-13 08:30:00,,0.218,,
2025-08-13 08:30:05,,0.3505,,
2025-08-13 08:30:10,,0.222,,
2025-08-13 08:30:15,,0.2905,,
2025-08-13 08:30:20,,0.2155,,
2025-08-13 08:30:25,,0.297,,
2025-08-13 08:30:30,,0.201,,
2025-08-13 08:30:35,,0.312,,
2025-08-13 08:30:40,,0.27,,
2025-08-13 08:30:45,,0.281,,
2025-08-13 08:30:50,,0.2075,,
2025-08-13 08:30:55,,0.315,,
2025-08-13 08:31:00,,0.2095,,
2025-08-13 08:31:05,,0.307,,
2025-08-13 08:31:10,,0.2095,,
2025-08-13 08:31:15,,0.325,,
2025-08-13 08:31:20,,0.2355,,
2025-08-13 08:31:25,,0.3345,,
2025-08-13 08:31:30,,0.1975,,
2025-08-13 08:31:35,,0.312,,
2025-08-13 08:31:40,,0.25,,
2025-08-13 08:31:45,,0.2885,,
2025-08-13 08:31:50,,0.208,,
2025-08-13 08:31:55,,0.3385,,
2025-08-13 08:32:00,,0.217,,
2025-08-13 08:32:05,,0.2965,,
2025-08-13 08:32:10,,0.2015,,
2025-08-13 08:32:15,,0.3235,,
2025-08-13 08:32:20,,0.2185,,
2025-08-13 08:32:25,,0.3005,,
2025-08-13 08:32:30,,0.2115,,
2025-08-13 08:32:35,,0.321,,
2025-08-13 08:32:40,,0.26,,
2025-08-13 08:32:45,,0.283,,
2025-08-13 08:32:50,,0.194,,
2025-08-13 08:32:55,,0.315,,
2025-08-13 08:33:00,,0.196,,
2025-08-13 08:33:05,,0.296,,
2025-08-13 08:33:10,,0.1955,,
2025-08-13 08:33:15,,0.3035,,
2025-08-13 08:33:20,,0.2055,,
2025-08-13 08:33:25,,0.2975,,
2025-08-13 08:33:30,,0.214,,
2025-08-13 08:33:35,,0.3215,,
2025-08-13 08:33:40,,0.255,,
2025-08-13 08:33:45,,0.2925,,
2025-08-13 08:33:50,,0.219,,
2025-08-13 08:33:55,,0.3305,,
2025-08-13 08:34:00,,0.215,,
2025-08-13 08:34:05,,0.31,,
2025-08-13 08:34:10,,0.193,,
2025-08-13 08:34:15,,0.3,,
2025-08-13 08:34:20,,0.2005,,
2025-08-13 08:34:25,,0.302,,
2025-08-13 08:34:30,,0.1995,,
2025-08-13 08:34:35,,0.316,,
2025-08-13 08:34:40,,0.2625,,
2025-08-13 08:34:45,,0.277,,
2025-08-13 08:34:50,,0.2085,,
2025-08-13 08:34:55,,0.323,,
2025-08-13 08:35:00,,0.2045,,
2025-08-13 08:35:05,,0.308,,
2025-08-13 08:35:10,,0.214,,
2025-08-13 08:35:15,,0.327,,
2025-08-13 08:35:20,,0.216,,
2025-08-13 08:35:25,,0.317,,
2025-08-13 08:35:30,,0.221,,
2025-08-13 08:35:35,,0.31,,
2025-08-13 08:35:40,,0.2635,,
2025-08-13 08:35:45,,0.304,,
2025-08-13 08:35:50,,0.206,,
2025-08-13 08:35:55,,0.317,,
2025-08-13 08:36:00,,0.217,,
2025-08-13 08:36:05,,0.299,,
2025-08-13 08:36:10,,0.212,,
2025-08-13 08:36:15,,0.304,,
2025-08-13 08:36:20,,0.213,,
2025-08-13 08:36:25,,0.299,,
2025-08-13 08:36:30,,0.2115,,
2025-08-13 08:36:35,,0.315,,
2025-08-13 08:36:40,,0.2595,,
2025-08-13 08:36:45,,0.285,,
2025-08-13 08:36:50,,0.1985,,
2025-08-13 08:36:55,,0.3185,,
2025-08-13 08:37:00,,0.2125,,
2025-08-13 08:37:05,,0.3075,,
2025-08-13 08:37:10,,0.199,,
2025-08-13 08:37:15,,0.3135,,
2025-08-13 08:37:20,,0.221,,
2025-08-13 08:37:25,,0.295,,
2025-08-13 08:37:30,,0.211,,
2025-08-13 08:37:35,,0.3285,,
2025-08-13 08:37:40,,0.257,,
2025-08-13 08:37:45,,0.3105,,
2025-08-13 08:37:50,,0.2165,,
2025-08-13 08:37:55,,0.3445,,
2025-08-13 08:38:00,,0.225,,
2025-08-13 08:38:05,,0.3205,,
2025-08-13 08:38:10,,0.193,,
2025-08-13 08:38:15,,0.303,,
2025-08-13 08:38:20,,0.1965,,
2025-08-13 08:38:25,,0.304,,
2025-08-13 08:38:30,,0.2055,,
2025-08-13 08:38:35,,0.3475,,
2025-08-13 08:38:40,,0.253,,
2025-08-13 08:38:45,,0.2995,,
2025-08-13 08:38:50,,0.219,,
2025-08-13 08:38:55,,0.323,,
2025-08-13 08:39:00,,0.217,,
2025-08-13 08:39:05,,0.3125,,
2025-08-13 08:39:10,,0.216,,
2025-08-13 08:39:15,,0.3165,,
2025-08-13 08:39:20,,0.2215,,
2025-08-13 08:39:25,,0.32,,
2025-08-13 08:39:30,,0.199,,
2025-08-13 08:39:35,,0.3085,,
2025-08-13 08:39:40,,0.243,,
2025-08-13 08:39:45,,0.299,,
2025-08-13 08:39:50,,0.2095,,
2025-08-13 08:39:55,,0.322,,
2025-08-13 08:40:00,,0.212,,
2025-08-13 08:48:00,,,0.3015,
2025-08-13 08:48:05,,,0.208,
2025-08-13 08:48:10,,,0.3145,
2025-08-13 08:48:15,,,0.214,
2025-08-13 08:48:20,,,0.3165,
2025-08-13 08:48:25,,,0.24,
2025-08-13 08:48:30,,,0.317,
2025-08-13 08:48:35,,,0.1975,
2025-08-13 08:48:40,,,0.305,
2025-08-13 08:48:45,,,0.2175,
2025-08-13 08:48:50,,,0.3065,
2025-08-13 08:48:55,,,0.2065,
2025-08-13 08:49:00,,,0.308,
2025-08-13 08:49:05,,,0.198,
2025-08-13 08:49:10,,,0.3095,
2025-08-13 08:49:15,,,0.208,
2025-08-13 08:49:20,,,0.301,
2025-08-13 08:49:25,,,0.2345,
2025-08-13 08:49:30,,,0.3015,
2025-08-13 08:49:35,,,0.2105,
2025-08-13 08:49:40,,,0.2995,
2025-08-13 08:49:45,,,0.2195,
2025-08-13 08:49:50,,,0.2915,
2025-08-13 08:49:55,,,0.193,
2025-08-13 08:50:00,,,0.3115,
2025-08-13 08:50:05,,,0.202,
2025-08-13 08:50:10,,,0.31,
2025-08-13 08:50:15,,,0.2015,
2025-08-13 08:50:20,,,0.3125,
2025-08-13 08:50:25,,,0.2155,
2025-08-13 08:50:30,,,0.3135,
2025-08-13 08:50:35,,,0.196,
2025-08-13 08:50:40,,,0.3175,
2025-08-13 08:50:45,,,0.211,
2025-08-13 08:50:50,,,0.2945,
2025-08-13 08:50:55,,,0.205,
2025-08-13 08:51:00,,,0.294,
2025-08-13 08:51:05,,,0.2025,
2025-08-13 08:51:10,,,0.304,
2025-08-13 08:51:15,,,0.2195,
2025-08-13 08:51:20,,,0.3145,
2025-08-13 08:51:25,,,0.2355,
2025-08-13 08:51:30,,,0.315,
2025-08-13 08:51:35,,,0.1995,
2025-08-13 08:51:40,,,0.301,
2025-08-13 08:51:45,,,0.227,
2025-08-13 08:51:50,,,0.319,
2025-08-13 08:51:55,,,0.2265,
2025-08-13 08:52:00,,,0.315,
2025-08-13 08:52:05,,,0.2025,
2025-08-13 08:52:10,,,0.307,
2025-08-13 08:52:15,,,0.202,
2025-08-13 08:52:20,,,0.309,
2025-08-13 08:52:25,,,0.224,
2025-08-13 08:52:30,,,0.3015,
2025-08-13 08:52:35,,,0.1955,
2025-08-13 08:52:40,,,0.313,
2025-08-13 08:52:45,,,0.2055,
2025-08-13 08:52:50,,,0.2965,
2025-08-13 08:52:55,,,0.1995,
2025-08-13 08:53:00,,,0.311,
2025-08-13 08:53:05,,,0.217,
2025-08-13 08:53:10,,,0.329,
2025-08-13 08:53:15,,,0.2065,
2025-08-13 08:53:20,,,0.305,
2025-08-13 08:53:25,,,0.2385,
2025-08-13 08:53:30,,,0.3,
2025-08-13 08:53:35,,,0.2065,
2025-08-13 08:53:40,,,0.292,
2025-08-13 08:53:45,,,0.213,
2025-08-13 08:53:50,,,0.293,
2025-08-13 08:53:55,,,0.206,
2025-08-13 08:54:00,,,0.3195,
2025-08-13 08:54:05,,,0.1975,
2025-08-13 08:54:10,,,0.3105,
2025-08-13 08:54:15,,,0.206,
2025-08-13 08:54:20,,,0.33,
2025-08-13 08:54:25,,,0.2305,
2025-08-13 08:54:30,,,0.303,
2025-08-13 08:54:35,,,0.1905,
2025-08-13 08:54:40,,,0.2995,
2025-08-13 08:54:45,,,0.217,
2025-08-13 08:54:50,,,0.29,
2025-08-13 08:54:55,,,0.2075,
2025-08-13 08:55:00,,,0.3085,
2025-08-13 08:55:05,,,0.2035,
2025-08-13 08:55:10,,,0.297,
2025-08-13 08:55:15,,,0.233,
2025-08-13 08:55:20,,,0.306,
2025-08-13 08:55:25,,,0.2375,
2025-08-13 08:55:30,,,0.3065,
2025-08-13 08:55:35,,,0.196,
2025-08-13 08:55:40,,,0.312,
2025-08-13 08:55:45,,,0.2075,
2025-08-13 08:55:50,,,0.3005,
2025-08-13 08:55:55,,,0.222,
2025-08-13 08:56:00,,,0.3085,
2025-08-13 08:56:05,,,0.201,
2025-08-13 08:56:10,,,0.3015,
2025-08-13 08:56:15,,,0.2285,
2025-08-13 08:56:20,,,0.306,
2025-08-13 08:56:25,,,0.2235,
2025-08-13 08:56:30,,,0.297,
2025-08-13 08:56:35,,,0.2015,
2025-08-13 08:56:40,,,0.3005,
2025-08-13 08:56:45,,,0.2095,
2025-08-13 08:56:50,,,0.303,
2025-08-13 08:56:55,,,0.2,
2025-08-13 08:57:00,,,0.3135,
2025-08-13 08:57:05,,,0.1955,
2025-08-13 08:57:10,,,0.302,
2025-08-13 08:57:15,,,0.2035,
2025-08-13 08:57:20,,,0.3185,
2025-08-13 08:57:25,,,0.2305,
2025-08-13 08:57:30,,,0.3145,
2025-08-13 08:57:35,,,0.201,
2025-08-13 08:57:40,,,0.297,
2025-08-13 08:57:45,,,0.209,
2025-08-13 08:57:50,,,0.2995,
2025-08-13 08:57:55,,,0.1975,
2025-08-13 08:58:00,,,0.308,
2025-08-13 09:13:00,,,,0.381
2025-08-13 09:13:05,,,,0.3275
2025-08-13 09:13:10,,,,0.4345
2025-08-13 09:13:15,,,,0.298
2025-08-13 09:13:20,,,,0.3645
2025-08-13 09:13:25,,,,0.2925
2025-08-13 09:13:30,,,,0.418
2025-08-13 09:13:35,,,,0.3135
2025-08-13 09:13:40,,,,0.441
2025-08-13 09:13:45,,,,0.2525
2025-08-13 09:13:50,,,,0.3415
2025-08-13 09:13:55,,,,0.2605
2025-08-13 09:14:00,,,,0.345
2025-08-13 09:14:05,,,,0.259
2025-08-13 09:14:10,,,,0.3765
2025-08-13 09:14:15,,,,0.2655
2025-08-13 09:14:20,,,,0.3475
2025-08-13 09:14:25,,,,0.2595
2025-08-13 09:14:30,,,,0.392
2025-08-13 09:14:35,,,,0.367
2025-08-13 09:14:40,,,,0.4905
2025-08-13 09:14:45,,,,0.311
2025-08-13 09:14:50,,,,0.399
2025-08-13 09:14:55,,,,0.3185
2025-08-13 09:15:00,,,,0.4265
2025-08-13 09:15:05,,,,0.3235
2025-08-13 09:15:10,,,,0.46
2025-08-13 09:15:15,,,,0.335
2025-08-13 09:15:20,,,,0.3875
2025-08-13 09:15:25,,,,0.3245
2025-08-13 09:15:30,,,,0.449
2025-08-13 09:15:35,,,,0.3105
2025-08-13 09:15:40,,,,0.4375
2025-08-13 09:15:45,,,,0.277
2025-08-13 09:15:50,,,,0.358
2025-08-13 09:15:55,,,,0.263
2025-08-13 09:16:00,,,,0.383
2025-08-13 09:16:05,,,,0.2655
2025-08-13 09:16:10,,,,0.3825
2025-08-13 09:16:15,,,,0.2615
2025-08-13 09:16:20,,,,0.3455
2025-08-13 09:16:25,,,,0.2605
2025-08-13 09:16:30,,,,0.3935
2025-08-13 09:16:35,,,,0.362
2025-08-13 09:16:40,,,,0.4845
2025-08-13 09:16:45,,,,0.322
2025-08-13 09:16:50,,,,0.399
2025-08-13 09:16:55,,,,0.321
2025-08-13 09:17:00,,,,0.4035
2025-08-13 09:17:05,,,,0.325
2025-08-13 09:17:10,,,,0.452
