Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-13 08:13:00,,262.0,,,259.0,70.0,265.0,,,,218.0,8202.0,,683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:14:00,1023665.0,182.0,144.0,623.0,383.0,27.0,563.0,,129.0,202.0,218.0,9390.0,2394.0,1087.0,3647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:15:00,41608.0,205.0,134.0,557.0,318.0,46.0,94.0,106.0,141.0,127.0,285.0,6947.0,3119.0,833.0,3582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:16:00,10278.0,180.0,111.0,1546.0,321.0,26.0,429.0,,95.0,162.0,217.0,7455.0,3365.0,825.0,3874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:17:00,44125.0,172.0,201.0,1316.0,267.0,33.0,129.0,,134.0,153.0,283.0,5519.0,3441.0,849.0,3331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:18:00,35876.0,174.0,217.0,1111.0,315.0,33.0,107.0,,127.0,196.0,254.0,7591.0,3718.0,910.0,3391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:19:00,67248.0,270.0,168.0,1255.0,335.0,41.0,107.0,,122.0,131.0,284.0,10753.0,2103.0,672.0,3317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:20:00,12535.0,159.0,218.0,1398.0,298.0,28.0,259.0,132.0,123.0,179.0,252.0,9669.0,2389.0,848.0,3204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:21:00,49078.0,191.0,143.0,1095.0,293.0,30.0,132.0,,118.0,156.0,239.0,7179.0,2780.0,778.0,3107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:22:00,,370.0,,,,82.0,274.0,,,,334.0,10452.0,,853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:23:00,,125.0,,,,79.0,76.0,,,,289.0,6759.0,,809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:30:00,,,,,,,,,,,,,,,,11674.0,190.0,251.0,613.0,578.0,58.0,221.0,137.0,187.0,345.0,296.0,6186.0,2724.0,678.0,4842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:31:00,,,,,,,,,,,,,,,,877106.0,262.0,139.0,1040.0,358.0,32.0,401.0,,116.0,259.0,219.0,14738.0,3443.0,804.0,3239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:32:00,,,,,,,,,,,,,,,,43257.0,172.0,223.0,1089.0,363.0,29.0,126.0,,127.0,191.0,301.0,5664.0,2420.0,979.0,4178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:33:00,,,,,,,,,,,,,,,,43257.0,172.0,223.0,1089.0,363.0,29.0,126.0,,127.0,191.0,301.0,5664.0,2420.0,979.0,4178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:34:00,,,,,,,,,,,,,,,,39802.0,183.0,132.0,1274.0,222.0,40.0,137.0,,130.0,231.0,311.0,6556.0,2008.0,868.0,2787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:35:00,,,,,,,,,,,,,,,,61950.0,166.0,204.0,1415.0,315.0,28.0,153.0,,123.0,247.0,255.0,5533.0,3576.0,814.0,4648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:36:00,,,,,,,,,,,,,,,,39688.0,161.0,219.0,1414.0,332.0,27.0,264.0,,145.0,215.0,305.0,5819.0,3145.0,930.0,3580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:37:00,,,,,,,,,,,,,,,,38899.0,253.0,136.0,607.0,204.0,38.0,430.0,,142.0,145.0,305.0,7379.0,2590.0,965.0,3337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:38:00,,,,,,,,,,,,,,,,33600.0,176.0,235.0,1353.0,301.0,32.0,152.0,,137.0,175.0,269.0,6723.0,3843.0,892.0,3318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:39:00,,,,,,,,,,,,,,,,56833.0,157.0,138.0,1312.0,317.0,20.0,153.0,,142.0,327.0,271.0,5755.0,3195.0,841.0,3585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:40:00,,,,,,,,,,,,,,,,43907.0,203.0,145.0,559.0,237.0,23.0,100.0,78.0,136.0,142.0,310.0,7218.0,2544.0,675.0,3763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 08:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46266.0,178.0,229.0,709.0,349.0,48.0,399.0,,150.0,197.0,355.0,9526.0,2958.0,673.0,4666.0,,,,,,,,,,,,,,,
2025-08-13 08:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18256.0,179.0,151.0,2218.0,384.0,36.0,111.0,,184.0,265.0,351.0,7836.0,2991.0,1201.0,4040.0,,,,,,,,,,,,,,,
