Time,{},{},{},{}
2025-07-29 13:00:30,358857.69090909086,,,
2025-07-29 13:00:35,353086.5636363636,,,
2025-07-29 13:00:40,351840.45454545453,,,
2025-07-29 13:00:45,357226.0181818182,,,
2025-07-29 13:00:50,357717.1454545454,,,
2025-07-29 13:00:55,361117.49090909085,,,
2025-07-29 13:01:00,355961.6,,,
2025-07-29 13:01:05,361969.0,,,
2025-07-29 13:01:10,361741.8727272727,,,
2025-07-29 13:01:15,359373.7636363636,,,
2025-07-29 13:01:20,354045.0909090909,,,
2025-07-29 13:01:25,358142.3090909091,,,
2025-07-29 13:01:30,355984.5818181818,,,
2025-07-29 13:01:35,353731.5454545454,,,
2025-07-29 13:01:40,348470.9636363636,,,
2025-07-29 13:01:45,351199.2727272727,,,
2025-07-29 13:01:50,350241.29090909084,,,
2025-07-29 13:01:55,349783.0727272727,,,
2025-07-29 13:02:00,341537.16363636364,,,
2025-07-29 13:02:05,338340.21818181814,,,
2025-07-29 13:02:10,341937.0363636363,,,
2025-07-29 13:02:15,338818.0363636364,,,
2025-07-29 13:02:20,333277.8727272727,,,
2025-07-29 13:02:25,342436.0,,,
2025-07-29 13:02:30,343086.67272727273,,,
2025-07-29 13:02:35,341919.14545454545,,,
2025-07-29 13:02:40,337361.7090909091,,,
2025-07-29 13:02:45,339429.83636363636,,,
2025-07-29 13:02:50,342122.61818181816,,,
2025-07-29 13:02:55,341195.6,,,
2025-07-29 13:03:00,341636.0181818182,,,
2025-07-29 13:03:05,338253.9818181818,,,
2025-07-29 13:03:10,340241.2545454545,,,
2025-07-29 13:03:15,345645.61818181816,,,
2025-07-29 13:03:20,336265.72727272724,,,
2025-07-29 13:03:25,336408.12727272726,,,
2025-07-29 13:03:30,333828.65454545454,,,
2025-07-29 13:03:35,338411.45454545453,,,
2025-07-29 13:03:40,335265.2727272727,,,
2025-07-29 13:03:45,331796.1818181818,,,
2025-07-29 13:03:50,328614.5454545454,,,
2025-07-29 13:03:55,336276.3090909091,,,
2025-07-29 13:04:00,334366.65454545454,,,
2025-07-29 13:04:05,332752.3818181818,,,
2025-07-29 13:04:10,325140.1818181818,,,
2025-07-29 13:04:15,324712.6909090909,,,
2025-07-29 13:04:20,327767.10909090907,,,
2025-07-29 13:04:25,332626.2545454545,,,
2025-07-29 13:04:30,330408.9818181818,,,
2025-07-29 13:04:35,329902.0,,,
2025-07-29 13:04:40,332269.38181818184,,,
2025-07-29 13:04:45,336883.43636363634,,,
2025-07-29 13:04:50,331026.0545454545,,,
2025-07-29 13:04:55,337013.47272727266,,,
2025-07-29 13:05:00,338911.0727272727,,,
2025-07-29 13:05:05,341532.94545454544,,,
2025-07-29 13:05:10,347141.50909090904,,,
2025-07-29 13:05:15,340538.4909090909,,,
2025-07-29 13:05:20,317760.857709,,,
2025-07-29 13:05:25,290402.03628999996,,,
2025-07-29 13:05:30,263019.9089133333,,,
2025-07-29 13:10:30,,366563.3454545454,,
2025-07-29 13:10:35,,370403.98181818175,,
2025-07-29 13:10:40,,374684.6363636363,,
2025-07-29 13:10:45,,383738.87272727274,,
2025-07-29 13:10:50,,387492.4181818182,,
2025-07-29 13:10:55,,386425.83636363636,,
2025-07-29 13:11:00,,379883.41818181815,,
2025-07-29 13:11:05,,375153.2545454545,,
2025-07-29 13:11:10,,382019.1090909091,,
2025-07-29 13:11:15,,382262.21818181814,,
2025-07-29 13:11:20,,375431.18181818177,,
2025-07-29 13:11:25,,375703.23636363633,,
2025-07-29 13:11:30,,374914.1454545454,,
2025-07-29 13:11:35,,366723.16363636364,,
2025-07-29 13:11:40,,363725.36363636365,,
2025-07-29 13:11:45,,360785.92727272725,,
2025-07-29 13:11:50,,357043.63636363635,,
2025-07-29 13:11:55,,356602.61818181816,,
2025-07-29 13:12:00,,359643.5636363636,,
2025-07-29 13:12:05,,354582.23636363633,,
2025-07-29 13:12:10,,355910.5818181818,,
2025-07-29 13:12:15,,356572.1636363636,,
2025-07-29 13:12:20,,356100.32727272727,,
2025-07-29 13:12:25,,353212.39999999997,,
2025-07-29 13:12:30,,355619.19999999995,,
2025-07-29 13:12:35,,359844.94545454544,,
2025-07-29 13:12:40,,361736.61818181816,,
2025-07-29 13:12:45,,361539.2909090909,,
2025-07-29 13:12:50,,360113.32727272727,,
2025-07-29 13:12:55,,362056.81818181823,,
2025-07-29 13:13:00,,360602.2727272727,,
2025-07-29 13:13:05,,360618.8545454545,,
2025-07-29 13:13:10,,357764.0,,
2025-07-29 13:13:15,,355532.78181818174,,
2025-07-29 13:13:20,,357126.34545454546,,
2025-07-29 13:13:25,,358716.2545454545,,
2025-07-29 13:13:30,,355340.0181818182,,
2025-07-29 13:13:35,,355170.90909090906,,
2025-07-29 13:13:40,,358974.5818181818,,
2025-07-29 13:13:45,,357863.70909090905,,
2025-07-29 13:13:50,,356531.92727272725,,
2025-07-29 13:13:55,,358262.70909090905,,
2025-07-29 13:14:00,,356276.87272727274,,
2025-07-29 13:14:05,,359243.32727272727,,
2025-07-29 13:14:10,,358143.2545454545,,
2025-07-29 13:14:15,,356370.8727272727,,
2025-07-29 13:14:20,,353937.0363636363,,
2025-07-29 13:14:25,,346479.7818181818,,
2025-07-29 13:14:30,,346983.4545454546,,
2025-07-29 13:14:35,,345888.61818181816,,
2025-07-29 13:14:40,,345790.19999999995,,
2025-07-29 13:14:45,,341078.7454545454,,
2025-07-29 13:14:50,,338401.32727272727,,
2025-07-29 13:14:55,,338544.0363636363,,
2025-07-29 13:15:00,,331706.39999999997,,
2025-07-29 13:15:05,,329241.8545454545,,
2025-07-29 13:15:10,,332495.1636363636,,
2025-07-29 13:15:15,,341554.0727272727,,
2025-07-29 13:15:20,,348803.90909090906,,
2025-07-29 13:15:25,,346291.5818181818,,
2025-07-29 13:15:30,,350207.5636363636,,
2025-07-29 13:22:00,,,372777.23636363633,
2025-07-29 13:22:05,,,369325.1636363636,
2025-07-29 13:22:10,,,370964.9818181818,
2025-07-29 13:22:15,,,381068.21818181814,
2025-07-29 13:22:20,,,380142.0727272727,
2025-07-29 13:22:25,,,377509.2727272727,
2025-07-29 13:22:30,,,377294.9818181818,
2025-07-29 13:22:35,,,379560.49090909085,
2025-07-29 13:22:40,,,385336.16363636364,
2025-07-29 13:22:45,,,380980.8181818182,
2025-07-29 13:22:50,,,378915.70909090905,
2025-07-29 13:22:55,,,378831.2545454545,
2025-07-29 13:23:00,,,376879.14545454545,
2025-07-29 13:23:05,,,375944.4,
2025-07-29 13:23:10,,,373078.61818181816,
2025-07-29 13:23:15,,,378580.2545454545,
2025-07-29 13:23:20,,,382735.7454545454,
2025-07-29 13:23:25,,,381220.80000000005,
2025-07-29 13:23:30,,,379756.39999999997,
2025-07-29 13:23:35,,,373207.63636363635,
2025-07-29 13:23:40,,,377462.45454545453,
2025-07-29 13:23:45,,,378231.2545454545,
2025-07-29 13:23:50,,,377913.4545454545,
2025-07-29 13:23:55,,,376612.65454545454,
2025-07-29 13:24:00,,,379759.8727272727,
2025-07-29 13:24:05,,,371504.8363636363,
2025-07-29 13:24:10,,,368673.78181818174,
2025-07-29 13:24:15,,,370053.9818181818,
2025-07-29 13:24:20,,,374238.0363636363,
2025-07-29 13:24:25,,,373951.12727272726,
2025-07-29 13:24:30,,,374820.63636363635,
2025-07-29 13:24:35,,,363054.3454545454,
2025-07-29 13:24:40,,,370032.01818181813,
2025-07-29 13:24:45,,,368020.1272727272,
