Time,{},{},{},{}
2025-08-11 12:24:00,170033152.0,,,
2025-08-11 12:25:00,206274560.0,,,
2025-08-11 12:26:00,65699840.0,,,
2025-08-11 12:27:00,131825664.0,,,
2025-08-11 12:28:00,180846592.0,,,
2025-08-11 12:29:00,227704832.0,,,
2025-08-11 12:30:00,286359552.0,,,
2025-08-11 12:31:00,140541952.0,,,
2025-08-11 12:32:00,189890560.0,,,
2025-08-11 12:33:00,236290048.0,,,
2025-08-11 12:34:00,295469056.0,,,
2025-08-11 12:54:00,,111706112.0,,
2025-08-11 12:55:00,,171671552.0,,
2025-08-11 12:56:00,,183468032.0,,
2025-08-11 12:57:00,,243499008.0,,
2025-08-11 12:58:00,,302284800.0,,
2025-08-11 12:59:00,,361201664.0,,
2025-08-11 13:00:00,,408977408.0,,
2025-08-11 13:01:00,,191922176.0,,
2025-08-11 13:02:00,,251101184.0,,
2025-08-11 13:03:00,,310673408.0,,
2025-08-11 13:04:00,,357728256.0,,
2025-08-11 13:21:00,,,75988992.0,
2025-08-11 13:22:00,,,108888064.0,
2025-08-11 13:23:00,,,144539648.0,
2025-08-11 13:24:00,,,186286080.0,
2025-08-11 13:25:00,,,229539840.0,
2025-08-11 13:26:00,,,74612736.0,
2025-08-11 13:27:00,,,102727680.0,
2025-08-11 13:28:00,,,130187264.0,
2025-08-11 13:29:00,,,162496512.0,
2025-08-11 13:30:00,,,197033984.0,
2025-08-11 13:31:00,,,70680576.0,
2025-08-11 13:50:00,,,,186351616.0
2025-08-11 13:51:00,,,,214138880.0
2025-08-11 13:52:00,,,,280920064.0
2025-08-11 13:53:00,,,,346456064.0
2025-08-11 13:54:00,,,,346456064.0
2025-08-11 13:55:00,,,,411140096.0
2025-08-11 13:56:00,,,,101613568.0
2025-08-11 13:57:00,,,,167084032.0
2025-08-11 13:58:00,,,,232292352.0
2025-08-11 13:59:00,,,,298483712.0
2025-08-11 14:00:00,,,,324042752.0
