Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-11 12:24:00,39248.0,177.0,144.0,575.0,304.0,50.0,153.0,,133.0,142.0,299.0,4696.0,2799.0,983.0,3063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:25:00,35370.0,182.0,228.0,871.0,335.0,39.0,106.0,,149.0,207.0,326.0,5237.0,3068.0,946.0,3180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:26:00,38295.0,180.0,219.0,1175.0,368.0,37.0,372.0,,174.0,160.0,269.0,5264.0,2949.0,975.0,3232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:27:00,39581.0,166.0,152.0,923.0,277.0,56.0,124.0,,143.0,172.0,277.0,5303.0,3293.0,855.0,4054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:28:00,35685.0,182.0,138.0,581.0,289.0,43.0,109.0,,125.0,141.0,333.0,4581.0,1948.0,644.0,3495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:29:00,33384.0,200.0,163.0,840.0,339.0,35.0,115.0,,145.0,209.0,365.0,4729.0,2715.0,935.0,3368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:30:00,37729.0,235.0,214.0,1624.0,310.0,23.0,251.0,118.0,146.0,188.0,230.0,5105.0,5994.0,950.0,6065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:31:00,37722.0,138.0,130.0,807.0,266.0,36.0,104.0,,119.0,164.0,234.0,5627.0,2678.0,852.0,3089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:32:00,35600.0,191.0,132.0,586.0,283.0,41.0,162.0,,118.0,164.0,329.0,5093.0,2086.0,641.0,2799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:33:00,34117.0,163.0,227.0,790.0,311.0,36.0,94.0,,125.0,155.0,340.0,4688.0,3231.0,795.0,3464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:34:00,36298.0,183.0,151.0,1299.0,366.0,31.0,118.0,,137.0,284.0,288.0,5580.0,2030.0,972.0,2921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:54:00,,,,,,,,,,,,,,,,448377.0,184.0,168.0,630.0,361.0,51.0,72.0,,163.0,216.0,275.0,6620.0,2526.0,897.0,4166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:55:00,,,,,,,,,,,,,,,,39397.0,178.0,140.0,1169.0,303.0,54.0,2097.0,48.0,139.0,158.0,309.0,4818.0,2773.0,786.0,3169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:56:00,,,,,,,,,,,,,,,,45577.0,208.0,128.0,1135.0,398.0,49.0,254.0,,98.0,261.0,325.0,5792.0,2041.0,847.0,4314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:57:00,,,,,,,,,,,,,,,,41820.0,159.0,200.0,1063.0,298.0,43.0,115.0,,113.0,169.0,266.0,5463.0,2716.0,897.0,3241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:58:00,,,,,,,,,,,,,,,,37341.0,241.0,135.0,840.0,202.0,56.0,249.0,,141.0,147.0,421.0,7601.0,2714.0,1042.0,3285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 12:59:00,,,,,,,,,,,,,,,,41899.0,166.0,207.0,863.0,314.0,65.0,116.0,,129.0,229.0,282.0,4954.0,2696.0,886.0,3959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11 13:00:00,,,,,,,,,,,,,,,,36238.0,183.0,155.0,1053.0,292.0,51.0,98.0,31.0,140.0,354.0,293.0,4660.0,2315.0,778.0,3255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
