Time,"{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}","{container=""minio"",endpoint=""http-minio"",instance=""myminio-pool-0-0"",job=""minio"",namespace=""minio-tenant"",pod=""myminio-pool-0-0"",server=""127.0.0.1:9000"",service=""minio""}"
2025-08-06 11:41:00,151405.26956521737,,,
2025-08-06 11:42:00,240013.97391304345,,,
2025-08-06 11:43:00,373798.83478260867,,,
2025-08-06 11:44:00,498999.1739130435,,,
2025-08-06 11:45:00,362017.252173913,,,
2025-08-06 11:46:00,233933.2956521739,,,
2025-08-06 11:47:00,332186.23478260863,,,
2025-08-06 11:48:00,713953.852173913,,,
2025-08-06 11:49:00,613146.1913043478,,,
2025-08-06 11:50:00,228434.8956521739,,,
2025-08-06 11:51:00,348944.85217391304,,,
2025-08-06 11:59:00,,133013.5043478261,,
2025-08-06 12:00:00,,189141.50434782606,,
2025-08-06 12:01:00,,425908.31304347824,,
2025-08-06 12:02:00,,370176.9130434783,,
2025-08-06 12:03:00,,134114.94782608695,,
2025-08-06 12:04:00,,161626.57391304348,,
2025-08-06 12:05:00,,622981.9913043478,,
2025-08-06 12:06:00,,596597.9217391305,,
2025-08-06 12:07:00,,136426.57391304348,,
2025-08-06 12:08:00,,158348.11304347825,,
2025-08-06 12:09:00,,823061.8260869565,,
2025-08-06 12:19:00,,,338664.71304347826,
2025-08-06 12:20:00,,,552253.7565217392,
2025-08-06 12:21:00,,,641976.2782608696,
2025-08-06 12:22:00,,,702332.9130434783,
2025-08-06 12:23:00,,,788446.6260869565,
2025-08-06 12:24:00,,,861301.5304347825,
2025-08-06 12:25:00,,,1055545.1304347825,
2025-08-06 12:26:00,,,1216996.1652173912,
2025-08-06 12:27:00,,,1308615.9217391305,
2025-08-06 12:28:00,,,1370963.6260869566,
2025-08-06 12:29:00,,,1307871.6695652173,
2025-08-06 12:41:00,,,,239303.26956521737
2025-08-06 12:42:00,,,,348341.6608695652
2025-08-06 12:43:00,,,,526134.2608695652
2025-08-06 12:44:00,,,,411806.1043478261
2025-08-06 12:45:00,,,,231970.73043478263
2025-08-06 12:46:00,,,,330186.7739130435
2025-08-06 12:47:00,,,,749823.3217391304
2025-08-06 12:48:00,,,,652268.5826086956
2025-08-06 12:49:00,,,,233070.96521739132
2025-08-06 12:50:00,,,,271436.53043478256
2025-08-06 12:51:00,,,,974538.9652173913
