Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_1_13"",instance=""10.42.1.13:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_1_14"",instance=""10.42.1.14:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_1_15"",instance=""10.42.1.15:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_1_16"",instance=""10.42.1.16:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-07-31 08:44:00,0.3275,,,
2025-07-31 08:44:05,0.2265,,,
2025-07-31 08:44:10,0.2335,,,
2025-07-31 08:44:15,0.227,,,
2025-07-31 08:44:20,0.251,,,
2025-07-31 08:44:25,0.2285,,,
2025-07-31 08:44:30,0.2905,,,
2025-07-31 08:44:35,0.217,,,
2025-07-31 08:44:40,0.222,,,
2025-07-31 08:44:45,0.2285,,,
2025-07-31 08:44:50,0.2385,,,
2025-07-31 08:44:55,0.232,,,
2025-07-31 08:45:00,0.2815,,,
2025-07-31 08:45:05,0.228,,,
2025-07-31 08:45:10,0.229,,,
2025-07-31 08:45:15,0.2205,,,
2025-07-31 08:45:20,0.227,,,
2025-07-31 08:45:25,0.229,,,
2025-07-31 08:45:30,0.266,,,
2025-07-31 08:45:35,0.2275,,,
2025-07-31 08:45:40,0.2255,,,
2025-07-31 08:45:45,0.2295,,,
2025-07-31 08:45:50,0.2275,,,
2025-07-31 08:45:55,0.2255,,,
2025-07-31 08:46:00,0.308,,,
2025-07-31 08:46:05,0.2245,,,
2025-07-31 08:46:10,0.2225,,,
2025-07-31 08:46:15,0.228,,,
2025-07-31 08:46:20,0.234,,,
2025-07-31 08:46:25,0.2305,,,
2025-07-31 08:46:30,0.287,,,
2025-07-31 08:46:35,0.2235,,,
2025-07-31 08:46:40,0.2155,,,
2025-07-31 08:46:45,0.217,,,
2025-07-31 08:46:50,0.2145,,,
2025-07-31 08:46:55,0.229,,,
2025-07-31 08:47:00,0.2865,,,
2025-07-31 08:47:05,0.2285,,,
2025-07-31 08:47:10,0.224,,,
2025-07-31 08:47:15,0.2375,,,
2025-07-31 08:47:20,0.256,,,
2025-07-31 08:47:25,0.2375,,,
2025-07-31 08:47:30,0.27,,,
2025-07-31 08:47:35,0.223,,,
2025-07-31 08:47:40,0.2205,,,
2025-07-31 08:47:45,0.218,,,
2025-07-31 08:47:50,0.224,,,
2025-07-31 08:47:55,0.226,,,
2025-07-31 08:48:00,0.3175,,,
2025-07-31 08:48:05,0.227,,,
2025-07-31 08:48:10,0.226,,,
2025-07-31 08:48:15,0.238,,,
2025-07-31 08:48:20,0.224,,,
2025-07-31 08:48:25,0.2235,,,
2025-07-31 08:48:30,0.2815,,,
2025-07-31 08:48:35,0.243,,,
2025-07-31 08:48:40,0.2305,,,
2025-07-31 08:48:45,0.225,,,
2025-07-31 08:48:50,0.223,,,
2025-07-31 08:48:55,0.236,,,
2025-07-31 08:49:00,0.2955,,,
2025-07-31 08:49:05,0.23,,,
2025-07-31 08:49:10,0.2285,,,
2025-07-31 08:49:15,0.2335,,,
2025-07-31 08:49:20,0.223,,,
2025-07-31 08:49:25,0.2225,,,
2025-07-31 08:49:30,0.2675,,,
2025-07-31 08:49:35,0.2245,,,
2025-07-31 08:49:40,0.221,,,
2025-07-31 08:49:45,0.215,,,
2025-07-31 08:49:50,0.2195,,,
2025-07-31 08:49:55,0.215,,,
2025-07-31 08:50:00,0.308,,,
2025-07-31 08:50:05,0.2305,,,
2025-07-31 08:50:10,0.2295,,,
2025-07-31 08:50:15,0.2275,,,
2025-07-31 08:50:20,0.224,,,
2025-07-31 08:50:25,0.2205,,,
2025-07-31 08:50:30,0.294,,,
2025-07-31 08:50:35,0.2175,,,
2025-07-31 08:50:40,0.227,,,
2025-07-31 08:50:45,0.224,,,
2025-07-31 08:50:50,0.2175,,,
2025-07-31 08:50:55,0.2195,,,
2025-07-31 08:51:00,0.265,,,
2025-07-31 08:51:05,0.2285,,,
2025-07-31 08:51:10,0.228,,,
2025-07-31 08:51:15,0.228,,,
2025-07-31 08:51:20,0.2505,,,
2025-07-31 08:51:25,0.233,,,
2025-07-31 08:51:30,0.269,,,
2025-07-31 08:51:35,0.224,,,
2025-07-31 08:51:40,0.2295,,,
2025-07-31 08:51:45,0.2295,,,
2025-07-31 08:51:50,0.2195,,,
2025-07-31 08:51:55,0.222,,,
2025-07-31 08:52:00,0.3095,,,
2025-07-31 08:52:05,0.2395,,,
2025-07-31 08:52:10,0.225,,,
2025-07-31 08:52:15,0.2305,,,
2025-07-31 08:52:20,0.235,,,
2025-07-31 08:52:25,0.216,,,
2025-07-31 08:52:30,0.287,,,
2025-07-31 08:52:35,0.2295,,,
2025-07-31 08:52:40,0.2285,,,
2025-07-31 08:52:45,0.2195,,,
2025-07-31 08:52:50,0.224,,,
2025-07-31 08:52:55,0.226,,,
2025-07-31 08:53:00,0.2575,,,
2025-07-31 08:53:05,0.2255,,,
2025-07-31 08:53:10,0.225,,,
2025-07-31 08:53:15,0.2115,,,
2025-07-31 08:53:20,0.215,,,
2025-07-31 08:53:25,0.2425,,,
2025-07-31 08:53:30,0.2675,,,
2025-07-31 08:53:35,0.228,,,
2025-07-31 08:53:40,0.233,,,
2025-07-31 08:53:45,0.234,,,
2025-07-31 08:53:50,0.233,,,
2025-07-31 08:53:55,0.231,,,
2025-07-31 08:54:00,0.329,,,
2025-07-31 08:58:00,,0.3411764705882353,,
2025-07-31 08:58:05,,0.34030612244897956,,
2025-07-31 08:58:10,,0.3395,,
2025-07-31 08:58:15,,0.4,,
2025-07-31 08:58:20,,0.32941176470588235,,
2025-07-31 08:58:25,,0.35408163265306125,,
2025-07-31 08:58:30,,0.3385,,
2025-07-31 08:58:35,,0.3382352941176471,,
2025-07-31 08:58:40,,0.34285714285714286,,
2025-07-31 08:58:45,,0.397,,
2025-07-31 08:58:50,,0.354,,
2025-07-31 08:58:55,,0.3535,,
2025-07-31 08:59:00,,0.3375,,
2025-07-31 08:59:05,,0.3505,,
2025-07-31 08:59:10,,0.34,,
2025-07-31 08:59:15,,0.373,,
2025-07-31 08:59:20,,0.339,,
2025-07-31 08:59:25,,0.342,,
2025-07-31 08:59:30,,0.3365,,
2025-07-31 08:59:35,,0.349,,
2025-07-31 08:59:40,,0.3415,,
2025-07-31 08:59:45,,0.4055,,
2025-07-31 08:59:50,,0.3505,,
2025-07-31 08:59:55,,0.3425,,
2025-07-31 09:00:00,,0.338,,
2025-07-31 09:00:05,,0.345,,
2025-07-31 09:00:10,,0.3425,,
2025-07-31 09:00:15,,0.3925,,
2025-07-31 09:00:20,,0.3435,,
2025-07-31 09:00:25,,0.3505,,
2025-07-31 09:00:30,,0.33,,
2025-07-31 09:00:35,,0.336,,
2025-07-31 09:00:40,,0.3405,,
2025-07-31 09:00:45,,0.4005,,
2025-07-31 09:00:50,,0.364,,
2025-07-31 09:00:55,,0.35343137254901963,,
2025-07-31 09:01:00,,0.3525510204081633,,
2025-07-31 09:01:05,,0.3345,,
2025-07-31 09:01:10,,0.383,,
2025-07-31 09:01:15,,0.3845,,
2025-07-31 09:01:20,,0.337,,
2025-07-31 09:01:25,,0.354,,
2025-07-31 09:01:30,,0.345,,
2025-07-31 09:01:35,,0.3485,,
2025-07-31 09:01:40,,0.3515,,
2025-07-31 09:01:45,,0.3825,,
2025-07-31 09:01:50,,0.3355,,
2025-07-31 09:01:55,,0.3385,,
2025-07-31 09:02:00,,0.3295,,
2025-07-31 09:02:05,,0.348,,
2025-07-31 09:02:10,,0.3335,,
2025-07-31 09:02:15,,0.3895,,
2025-07-31 09:02:20,,0.3303921568627451,,
2025-07-31 09:02:25,,0.3448979591836735,,
2025-07-31 09:02:30,,0.341,,
2025-07-31 09:02:35,,0.34,,
2025-07-31 09:02:40,,0.35,,
2025-07-31 09:02:45,,0.385,,
2025-07-31 09:02:50,,0.353,,
2025-07-31 09:02:55,,0.356,,
2025-07-31 09:03:00,,0.3385,,
2025-07-31 09:03:05,,0.3555,,
2025-07-31 09:03:10,,0.3415,,
2025-07-31 09:03:15,,0.412,,
2025-07-31 09:03:20,,0.3415,,
2025-07-31 09:03:25,,0.361,,
2025-07-31 09:03:30,,0.3285,,
2025-07-31 09:03:35,,0.3575,,
2025-07-31 09:03:40,,0.354,,
2025-07-31 09:03:45,,0.4215,,
2025-07-31 09:03:50,,0.353,,
2025-07-31 09:03:55,,0.368,,
2025-07-31 09:04:00,,0.3525,,
2025-07-31 09:04:05,,0.335,,
2025-07-31 09:04:10,,0.33578431372549017,,
2025-07-31 09:04:15,,0.39540816326530615,,
2025-07-31 09:04:20,,0.3445,,
2025-07-31 09:04:25,,0.3325,,
2025-07-31 09:04:30,,0.328921568627451,,
2025-07-31 09:04:35,,0.34846938775510206,,
2025-07-31 09:04:40,,0.3475,,
2025-07-31 09:04:45,,0.3945,,
2025-07-31 09:04:50,,0.3515,,
2025-07-31 09:04:55,,0.3505,,
2025-07-31 09:05:00,,0.3515,,
2025-07-31 09:05:05,,0.3525,,
2025-07-31 09:05:10,,0.3720588235294118,,
2025-07-31 09:05:15,,0.3852040816326531,,
2025-07-31 09:05:20,,0.3545,,
2025-07-31 09:05:25,,0.3435,,
2025-07-31 09:05:30,,0.3338235294117647,,
2025-07-31 09:05:35,,0.35408163265306125,,
2025-07-31 09:05:40,,0.3425,,
2025-07-31 09:05:45,,0.38823529411764707,,
2025-07-31 09:05:50,,0.35714285714285715,,
2025-07-31 09:05:55,,0.345,,
2025-07-31 09:06:00,,0.3605,,
2025-07-31 09:06:05,,0.348,,
2025-07-31 09:06:10,,0.3426470588235294,,
2025-07-31 09:06:15,,0.3862244897959184,,
2025-07-31 09:06:20,,0.34,,
2025-07-31 09:06:25,,0.3485,,
2025-07-31 09:06:30,,0.3455,,
2025-07-31 09:06:35,,0.3485,,
2025-07-31 09:06:40,,0.3525,,
