Time,{},{},{},{}
2025-07-30 14:10:00,30836441.284448817,,,
2025-07-30 14:10:05,30835824.69393635,,,
2025-07-30 14:10:10,30547566.540213637,,,
2025-07-30 14:10:15,30802174.298797958,,,
2025-07-30 14:10:20,30035782.15556764,,,
2025-07-30 14:10:25,30524068.090881854,,,
2025-07-30 14:10:30,30527010.1634292,,,
2025-07-30 14:10:35,30529952.235976547,,,
2025-07-30 14:10:40,30498973.018706888,,,
2025-07-30 14:10:45,30245331.94385123,,,
2025-07-30 14:10:50,29978219.50391773,,,
2025-07-30 14:10:55,30780107.48309977,,,
2025-07-30 14:11:00,30783345.372479964,,,
2025-07-30 14:11:05,30786583.261860166,,,
2025-07-30 14:11:10,30660633.7863732,,,
2025-07-30 14:11:15,30658587.307400208,,,
2025-07-30 14:11:20,29774141.1130293,,,
2025-07-30 14:11:25,31035005.619995747,,,
2025-07-30 14:11:30,31053391.8748436,,,
2025-07-30 14:11:35,30955369.189063873,,,
2025-07-30 14:11:40,31010367.522532854,,,
2025-07-30 14:11:45,31150780.61648486,,,
2025-07-30 14:11:50,32603116.617420997,,,
2025-07-30 14:11:55,33695674.53709178,,,
2025-07-30 14:12:00,34183989.50679364,,,
2025-07-30 14:12:05,34672304.47649551,,,
2025-07-30 14:12:10,35160619.44619738,,,
2025-07-30 14:12:15,35906953.09827238,,,
2025-07-30 14:12:20,36818914.37330744,,,
2025-07-30 14:12:25,38330039.69245112,,,
2025-07-30 14:12:30,38819170.83015794,,,
2025-07-30 14:12:35,39308301.967864774,,,
2025-07-30 14:12:40,39797332.50283237,,,
2025-07-30 14:12:45,40307814.82650945,,,
2025-07-30 14:12:50,42092856.640954725,,,
2025-07-30 14:12:55,42695518.188526355,,,
2025-07-30 14:13:00,43185136.27879476,,,
2025-07-30 14:13:05,43674754.36906315,,,
2025-07-30 14:13:10,44489585.70667171,,,
2025-07-30 14:13:15,44387526.11975936,,,
2025-07-30 14:13:20,45182141.098129794,,,
2025-07-30 14:13:25,45414144.09640448,,,
2025-07-30 14:13:30,45414144.09640448,,,
2025-07-30 14:13:35,45414144.09640448,,,
2025-07-30 14:13:40,44645534.16665488,,,
2025-07-30 14:13:45,45592148.58411631,,,
2025-07-30 14:13:50,45301046.90583054,,,
2025-07-30 14:13:55,45768974.42828995,,,
2025-07-30 14:14:00,45768974.42828995,,,
2025-07-30 14:14:05,45768974.42828995,,,
2025-07-30 14:14:10,45707313.414170876,,,
2025-07-30 14:14:15,45311376.79772203,,,
2025-07-30 14:14:20,45234973.952010885,,,
2025-07-30 14:14:25,45857963.07236985,,,
2025-07-30 14:14:30,45857963.07236985,,,
2025-07-30 14:14:35,45857963.07236985,,,
2025-07-30 14:14:40,45986969.36637934,,,
2025-07-30 14:14:45,44905912.53224148,,,
2025-07-30 14:14:50,44982339.192259595,,,
2025-07-30 14:14:55,46303394.10628173,,,
2025-07-30 14:15:00,46303394.10628173,,,
2025-07-30 14:15:05,46303394.10628173,,,
2025-07-30 14:15:10,46351763.94957348,,,
2025-07-30 14:15:15,45861209.654262446,,,
2025-07-30 14:15:20,46503841.91354008,,,
2025-07-30 14:15:25,46668872.66784544,,,
2025-07-30 14:15:30,46668872.66784544,,,
2025-07-30 14:15:35,46717929.99184758,,,
2025-07-30 14:15:40,46121526.528767824,,,
2025-07-30 14:15:45,46267321.66444396,,,
2025-07-30 14:15:50,46910744.25083005,,,
2025-07-30 14:15:55,46944196.89109084,,,
2025-07-30 14:16:00,46944196.89109084,,,
2025-07-30 14:16:05,46944196.89109084,,,
2025-07-30 14:16:10,45471015.72457532,,,
2025-07-30 14:16:15,46432592.671799794,,,
2025-07-30 14:16:20,46451470.53487638,,,
2025-07-30 14:16:25,47413402.76894089,,,
2025-07-30 14:16:30,47413402.76894089,,,
2025-07-30 14:16:35,47413402.76894089,,,
2025-07-30 14:16:40,46941145.67843274,,,
2025-07-30 14:16:45,46856836.310691856,,,
2025-07-30 14:16:50,46752079.5765477,,,
2025-07-30 14:16:55,47481207.5229868,,,
2025-07-30 14:17:00,47481207.5229868,,,
2025-07-30 14:17:05,47481207.52298679,,,
2025-07-30 14:17:10,47601079.11689686,,,
2025-07-30 14:17:15,47552081.0855116,,,
2025-07-30 14:17:20,48271082.10247887,,,
2025-07-30 14:17:25,48525439.665128924,,,
2025-07-30 14:17:30,48525439.665128924,,,
2025-07-30 14:17:35,48525439.665128924,,,
2025-07-30 14:17:40,48463445.81911801,,,
2025-07-30 14:17:45,47450851.694693044,,,
2025-07-30 14:17:50,47685076.35218458,,,
2025-07-30 14:17:55,48012434.312018596,,,
2025-07-30 14:18:00,48012434.312018596,,,
