Time,{},{},{},{}
2025-08-05 08:05:00,6668288.0,,,
2025-08-05 08:06:00,16957440.0,,,
2025-08-05 08:07:00,13418496.0,,,
2025-08-05 08:08:00,50905088.0,,,
2025-08-05 08:09:00,51691520.0,,,
2025-08-05 08:10:00,89243648.0,,,
2025-08-05 08:11:00,90030080.0,,,
2025-08-05 08:12:00,129482752.0,,,
2025-08-05 08:13:00,130269184.0,,,
2025-08-05 08:14:00,248758272.0,,,
2025-08-05 08:15:00,249544704.0,,,
2025-08-05 08:24:00,,5095424.0,,
2025-08-05 08:25:00,,12500992.0,,
2025-08-05 08:26:00,,13287424.0,,
2025-08-05 08:27:00,,46645248.0,,
2025-08-05 08:28:00,,47431680.0,,
2025-08-05 08:29:00,,84983808.0,,
2025-08-05 08:30:00,,85770240.0,,
2025-08-05 08:31:00,,131842048.0,,
2025-08-05 08:32:00,,113033216.0,,
2025-08-05 08:33:00,,230146048.0,,
2025-08-05 08:34:00,,230932480.0,,
2025-08-05 08:39:00,,,6012928.0,
2025-08-05 08:40:00,,,6799360.0,
2025-08-05 08:41:00,,,33800192.0,
2025-08-05 08:42:00,,,34586624.0,
2025-08-05 08:43:00,,,72073216.0,
2025-08-05 08:44:00,,,110149632.0,
2025-08-05 08:45:00,,,104579072.0,
2025-08-05 08:46:00,,,153796608.0,
2025-08-05 08:47:00,,,154583040.0,
2025-08-05 08:48:00,,,288145408.0,
2025-08-05 08:49:00,,,288931840.0,
2025-08-05 08:58:00,,,,5226496.0
2025-08-05 08:59:00,,,,6012928.0
2025-08-05 09:00:00,,,,37797888.0
2025-08-05 09:01:00,,,,34390016.0
2025-08-05 09:02:00,,,,71876608.0
2025-08-05 09:03:00,,,,72663040.0
2025-08-05 09:04:00,,,,109887488.0
2025-08-05 09:05:00,,,,110673920.0
2025-08-05 09:06:00,,,,136691712.0
2025-08-05 09:07:00,,,,137478144.0
2025-08-05 09:08:00,,,,272351232.0
