Time,{},{},{},{}
2025-08-06 11:41:00,33472512.0,,,
2025-08-06 11:42:00,135053312.0,,,
2025-08-06 11:43:00,235913216.0,,,
2025-08-06 11:44:00,383434752.0,,,
2025-08-06 11:45:00,506085376.0,,,
2025-08-06 11:46:00,337985536.0,,,
2025-08-06 11:47:00,438583296.0,,,
2025-08-06 11:48:00,572473344.0,,,
2025-08-06 11:49:00,914767872.0,,,
2025-08-06 11:50:00,608518144.0,,,
2025-08-06 11:51:00,780222464.0,,,
2025-08-06 11:59:00,,110510080.0,,
2025-08-06 12:00:00,,163135488.0,,
2025-08-06 12:01:00,,233127936.0,,
2025-08-06 12:02:00,,388382720.0,,
2025-08-06 12:03:00,,440877056.0,,
2025-08-06 12:04:00,,493240320.0,,
2025-08-06 12:05:00,,566509568.0,,
2025-08-06 12:06:00,,681197568.0,,
2025-08-06 12:07:00,,733822976.0,,
2025-08-06 12:08:00,,787300352.0,,
2025-08-06 12:09:00,,848904192.0,,
2025-08-06 12:19:00,,,184352768.0,
2025-08-06 12:20:00,,,246611968.0,
2025-08-06 12:21:00,,,246611968.0,
2025-08-06 12:22:00,,,441581568.0,
2025-08-06 12:23:00,,,642908160.0,
2025-08-06 12:24:00,,,879181824.0,
2025-08-06 12:25:00,,,1149632512.0,
2025-08-06 12:26:00,,,721420288.0,
2025-08-06 12:27:00,,,1133969408.0,
2025-08-06 12:28:00,,,1602879488.0,
2025-08-06 12:29:00,,,2028584960.0,
2025-08-06 12:41:00,,,,137101312.0
2025-08-06 12:42:00,,,,239403008.0
2025-08-06 12:43:00,,,,383582208.0
2025-08-06 12:44:00,,,,535429120.0
2025-08-06 12:45:00,,,,635764736.0
2025-08-06 12:46:00,,,,572588032.0
2025-08-06 12:47:00,,,,917377024.0
2025-08-06 12:48:00,,,,1016070144.0
2025-08-06 12:49:00,,,,1116340224.0
2025-08-06 12:50:00,,,,687538176.0
2025-08-06 12:51:00,,,,1276968960.0
